Agency,Sector,Records,Unique_Companies,ULTRA_HOT,HOT,MEDIUM,Total_Amt_Cr
ICRA,Other,165,82,69,66,30,2425.33
ICRA,Construction,49,31,19,23,7,5497.139999999999
ICRA,Manufacturing,40,17,26,9,5,236.13
ICRA,Agro/Food,39,28,21,12,6,354.24
ICRA,Steel & Metals,30,18,12,13,5,922.52
ICRA,Chemicals/Pharma,27,15,8,9,10,313.88
ICRA,Automobiles,19,14,6,8,5,325.31
ICRA,Healthcare,15,11,5,4,6,225.14000000000001
ICRA,IT/Technology,14,9,2,8,4,191.64
ICRA,Logistics,11,7,7,4,0,418.56
ICRA,Paper/Packaging,9,5,3,4,2,202.87
ICRA,Energy,8,5,0,5,3,185.55
ICRA,Hotels/Tourism,8,5,7,0,1,682.55
ICRA,Textiles,8,5,4,1,3,40.2
ICRA,Mining/Minerals,7,3,0,3,4,72.5
ICRA,Education,4,2,0,4,0,40.1
ICRA,BFSI,3,2,0,2,1,26.0
ICRA,Jewellery/Gems,3,2,0,2,1,68.5
ICRA,Media/Retail,3,1,0,3,0,17.0
ICRA,Infrastructure,1,1,1,0,0,10.0
IND-RA,Other,92,78,42,49,1,3525.38
IND-RA,Construction,37,27,13,21,3,1489.68
IND-RA,Agro/Food,21,19,5,16,0,1613.4099999999999
IND-RA,Manufacturing,21,19,7,12,2,526.1
IND-RA,Textiles,21,17,4,11,6,3365.31
IND-RA,Steel & Metals,17,17,4,12,1,419.65
IND-RA,Energy,15,11,4,8,3,1473.42
IND-RA,IT/Technology,12,11,0,10,2,397.91999999999996
IND-RA,Chemicals/Pharma,11,11,3,8,0,121.59
IND-RA,Automobiles,10,10,2,8,0,305.79
IND-RA,Paper/Packaging,10,9,5,5,0,249.93
IND-RA,Healthcare,7,6,5,2,0,238.32
IND-RA,Jewellery/Gems,5,5,1,4,0,84.0
IND-RA,Hotels/Tourism,3,2,3,0,0,54.08
IND-RA,Logistics,3,3,2,1,0,69.4
IND-RA,BFSI,1,1,1,0,0,25.0
IND-RA,Infrastructure,1,1,0,1,0,457.11
IND-RA,Mining/Minerals,1,1,1,0,0,40.0
IND-RA,Trading/Exports,1,1,0,1,0,14.5
