Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle,Call Week
Alpine Shoes Pvt. Ltd.,IND-RA,Term Loan,BB-,05-Nov-2025,MEDIUM,ULTRA HOT,2026-11-05,November 2026,232,22.58,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,Nov Wk1 (Nov 1-7)
J V S Comatsco Inds. Pvt. Ltd.,IND-RA,Term Loan,BBB+,05-Nov-2025,MEDIUM,ULTRA HOT,2026-11-05,November 2026,232,80.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,Nov Wk1 (Nov 1-7)
M P Entertainment & Developers Pvt. Ltd.,IND-RA,Term Loan,B-,05-Nov-2025,MEDIUM,ULTRA HOT,2026-11-05,November 2026,232,100.0,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-11-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,Nov Wk1 (Nov 1-7)
Shrinath Rotopack Pvt. Ltd.,IND-RA,Non-Fund-Based,A 4+,04-Nov-2025,MEDIUM,ULTRA HOT,2026-11-04,November 2026,233,6.3,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,Nov Wk1 (Nov 1-7)
Shrinath Rotopack Pvt. Ltd.,IND-RA,Term Loan,BB,04-Nov-2025,MEDIUM,ULTRA HOT,2026-11-04,November 2026,233,67.96,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,Nov Wk1 (Nov 1-7)
Siddhi Vinayak Knots & Prints Pvt. Ltd.,IND-RA,NCD/Bond,B+/A4,09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,119.47,Paper/Packaging,D365,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,Nov Wk1 (Nov 1-7)
Wave Beverages Pvt. Ltd.,IND-RA,Term Loan,BB+,06-Nov-2025,MEDIUM,ULTRA HOT,2026-11-06,November 2026,231,197.5,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,Nov Wk1 (Nov 1-7)
Bansal Ship Breakers Pvt. Ltd.,IND-RA,Non-Fund-Based,BB+,12-Nov-2025,MEDIUM,ULTRA HOT,2026-11-12,November 2026,225,227.46,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-12 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,Nov Wk2 (Nov 8-14)
Four Star International Ltd.,IND-RA,Non-Fund-Based,A 4+,10-Nov-2025,MEDIUM,ULTRA HOT,2026-11-10,November 2026,227,12.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-10 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,Nov Wk2 (Nov 8-14)
Four Star International Ltd.,IND-RA,Term Loan,BB+,10-Nov-2025,MEDIUM,ULTRA HOT,2026-11-10,November 2026,227,28.05,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-10 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,Nov Wk2 (Nov 8-14)
