Sector,Records,Unique,UH,HOT,Total_Amt_Cr
Other,119,68,50,69,8533.53
Construction,83,41,39,44,5576.61
Steel & Metals,45,24,26,19,1622.3
Agro/Food,23,14,10,13,2074.92
Manufacturing,23,14,7,16,897.6700000000001
Textiles,22,9,6,16,455.8
IT/Technology,20,10,13,7,840.5
Chemicals/Pharma,17,9,12,5,632.38
Energy,17,8,7,10,606.44
Automobiles,14,8,9,5,582.23
Logistics,10,7,6,4,498.73
Paper/Packaging,10,5,5,5,204.76999999999998
BFSI,9,5,4,5,274.0
Mining/Minerals,7,3,5,2,826.64
Trading/Exports,7,4,1,6,140.28
Hotels/Tourism,6,4,3,3,311.28000000000003
Infrastructure,6,2,2,4,230.57
Jewellery/Gems,4,3,1,3,399.33
Education,3,2,3,0,139.92000000000002
Healthcare,2,2,0,2,85.0
