Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle,Call Week,ACER_Pitch_Infomerics
Ahaaram Mills Private Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC)(Reaffirmed),06-Feb-2026,LOW,HOT,2026-11-03,November 2026,139,41.0,Other,Infomerics,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Anil Buildcon India Private Limited,Infomerics,Long Term /Short Term Bank Facility,IVR B+/IVR A4; (INC)(Downgraded),09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,28.0,Construction,Infomerics,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Anil Buildcon India Private Limited,Infomerics,Short Term Bank Facility,IVR A4 (INC)(Reaffirmed),09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,0.6,Construction,Infomerics,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Annai Resorts and Spa Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,8.73,Hotels/Tourism,Infomerics,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Arunachal Timber Traders Private Limited,Infomerics,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,4.5,Trading/Exports,Infomerics,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Arunachal Timber Traders Private Limited,Infomerics,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,4.5,Trading/Exports,Infomerics,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
BGR Construction LLP,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),06-Feb-2026,LOW,HOT,2026-11-03,November 2026,139,99.5,Construction,Infomerics,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Baba PuranDass Financial Services Limited,Infomerics,Proposed Fixed Deposit,IVR C- (INC) (Reaffirmed),10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,4.0,BFSI,Infomerics,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Babulal Edible Oils Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,35.0,Agro/Food,Infomerics,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Babulal Edible Oils Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,35.0,Agro/Food,Infomerics,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Babulal Edible Oils Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,35.0,Agro/Food,Infomerics,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Data Ingenious Global Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,12.0,IT/Technology,Infomerics,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Duke Fabrics India Limited,Infomerics,Long Term Bank Facilities,IVR B (INC) (Downgraded),04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,12.5,Textiles,Infomerics,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Duke Fabrics India Limited,Infomerics,Long Term/ Short Term Bank Facilities,IVR B/IVR A4; (INC) (Downgraded/Reaffirmed),04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,4.3,Textiles,Infomerics,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
EM Square Homes Private Limited,Infomerics,Long Term Bank Facility,IVR BB (INC)(Downgraded),09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,75.0,Other,Infomerics,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
ETO Motors Private Limited,Infomerics,Long Term Bank Facilities (Proposed),IVR B- (INC)(Downgraded),04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,50.0,Automobiles,Infomerics,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Emperial Films LLP,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,46.02,Other,Infomerics,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Emperial Films LLP,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,1.0,Other,Infomerics,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Enzotech Solutions Private Limited,Infomerics,Long Term /Short Term Bank Facilities,IVR C+/IVR A4; (INC)(Downgraded),09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,3.0,IT/Technology,Infomerics,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Global Ores & Alloys Industries Private Limited,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),07-Nov-2025,MEDIUM,ULTRA HOT,2026-11-07,November 2026,230,25.0,Steel & Metals,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Global Ores & Alloys Industries Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),07-Nov-2025,MEDIUM,ULTRA HOT,2026-11-07,November 2026,230,40.0,Steel & Metals,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
JHV Construction Company Private Limited,Infomerics,Long Term Bank Facilities,IVR B (INC)(Downgraded),09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,63.94,Construction,Infomerics,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
JHV Construction Company Private Limited,Infomerics,Short Term Bank Facilities,IVR A4  (INC)(Reaffirmed),09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,2.0,Construction,Infomerics,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
JSE Infotech Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),06-Feb-2026,LOW,HOT,2026-11-03,November 2026,139,93.1,IT/Technology,Infomerics,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
JSE Infotech Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),06-Feb-2026,LOW,HOT,2026-11-03,November 2026,139,6.9,IT/Technology,Infomerics,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
KLSR Infratech Limited,Infomerics,Long Term Fund Based Facility - CC,IVR BB (INC)(Downgraded),03-Nov-2025,MEDIUM,ULTRA HOT,2026-11-03,November 2026,234,17.0,Construction,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
