Company Name,Agency,Instrument Type,Rating,Rating Date,Escalates To,Escalation Date,Call Week,Tier_Rank,Tier_Label,Agency_Count,Amount Cr,Amt_num,Sector,SEBI_Action,Pre_License_Pitch
Khedut Solvexp Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,HOT,2026-10-13,Oct Wk2 (Oct 8-14),1,TIER 1 — Triple-agency (3+ raters),3,75.0,75.0,Other,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 16-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Telawne Power Equipments Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,28-Oct-2025,ULTRA HOT,2026-10-28,Oct Wk4 (Oct 22-31),1,TIER 1 — Triple-agency (3+ raters),3,2.3,2.3,Manufacturing,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 28-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Khedut Solvexp Pvt. Ltd.,CARE,NCD/Bond,B+/A4,03-Feb-2026,HOT,2026-10-31,Oct Wk4 (Oct 22-31),1,TIER 1 — Triple-agency (3+ raters),3,45.0,45.0,Other,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 03-Feb-2026) needs renewal. We fast-track the process — speak to our analyst today.
Dee Vee Projects Ltd.,CARE,NCD/Bond,BB-/A4,19-Feb-2026,HOT,2026-11-16,Nov Wk3 (Nov 15-21),1,TIER 1 — Triple-agency (3+ raters),3,170.0,170.0,Construction,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 19-Feb-2026) needs renewal. We fast-track the process — speak to our analyst today.
Telawne Power Equipments Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,24-Nov-2025,ULTRA HOT,2026-11-24,Nov Wk4 (Nov 22-30),1,TIER 1 — Triple-agency (3+ raters),3,28.0,28.0,Manufacturing,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 24-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Ananya Engineering Pvt. Ltd.,CARE,NCD/Bond,B-/A4,06-Jan-2026,HOT,2026-10-03,Oct Wk1 (Oct 1-7),2,TIER 2 — Dual-agency (2 raters),2,4.0,4.0,Manufacturing,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 06-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Jaipur Rugs Co. Ltd.,CARE,NCD/Bond,BB-/A4,08-Jan-2026,HOT,2026-10-05,Oct Wk1 (Oct 1-7),2,TIER 2 — Dual-agency (2 raters),2,75.0,75.0,Other,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 08-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Classic Enterprises Pvt. Ltd.,CARE,NCD/Bond,B-/A4,09-Jan-2026,HOT,2026-10-06,Oct Wk1 (Oct 1-7),2,TIER 2 — Dual-agency (2 raters),2,5.9,5.9,Other,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 09-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Jai Gears Pvt. Ltd.,CARE,NCD/Bond,B-/A4,07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),2,TIER 2 — Dual-agency (2 raters),2,4.0,4.0,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 07-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Uttarakhand Engineering Products Pvt. Ltd.,CARE,NCD/Bond,B+/A4,12-Jan-2026,HOT,2026-10-09,Oct Wk2 (Oct 8-14),2,TIER 2 — Dual-agency (2 raters),2,24.0,24.0,Manufacturing,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 12-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Amarpali Cylinders Pvt. Ltd.,CARE,NCD/Bond,B+/A4,12-Jan-2026,HOT,2026-10-09,Oct Wk2 (Oct 8-14),2,TIER 2 — Dual-agency (2 raters),2,12.56,12.56,Other,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 12-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
A P R Constructions Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,HOT,2026-10-13,Oct Wk2 (Oct 8-14),2,TIER 2 — Dual-agency (2 raters),2,150.0,150.0,Construction,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 16-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Lanson Motors Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,HOT,2026-10-13,Oct Wk2 (Oct 8-14),2,TIER 2 — Dual-agency (2 raters),2,136.0,136.0,Automobiles,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 16-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Neeraj Paper Mktg. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,HOT,2026-10-13,Oct Wk2 (Oct 8-14),2,TIER 2 — Dual-agency (2 raters),2,55.0,55.0,Paper/Packaging,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 16-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Mani Export Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,HOT,2026-10-13,Oct Wk2 (Oct 8-14),2,TIER 2 — Dual-agency (2 raters),2,30.4,30.4,Logistics,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 16-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Pafetech Enterprises Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,HOT,2026-10-13,Oct Wk2 (Oct 8-14),2,TIER 2 — Dual-agency (2 raters),2,25.0,25.0,IT/Technology,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 16-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
K P M Processing Mill Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,HOT,2026-10-13,Oct Wk2 (Oct 8-14),2,TIER 2 — Dual-agency (2 raters),2,22.59,22.59,Other,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 16-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Mandar Health & Hygiene Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,HOT,2026-10-13,Oct Wk2 (Oct 8-14),2,TIER 2 — Dual-agency (2 raters),2,19.0,19.0,Healthcare,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 16-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Sagar Metallics Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,HOT,2026-10-13,Oct Wk2 (Oct 8-14),2,TIER 2 — Dual-agency (2 raters),2,13.39,13.39,Steel & Metals,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 16-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Malwa Automotives Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,HOT,2026-10-13,Oct Wk2 (Oct 8-14),2,TIER 2 — Dual-agency (2 raters),2,13.0,13.0,Automobiles,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 16-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Kaizen Cold Formed Steel Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,HOT,2026-10-13,Oct Wk2 (Oct 8-14),2,TIER 2 — Dual-agency (2 raters),2,11.07,11.07,Steel & Metals,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 16-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
K M K Global Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,HOT,2026-10-13,Oct Wk2 (Oct 8-14),2,TIER 2 — Dual-agency (2 raters),2,6.8,6.8,Other,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 16-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Element Chemilink Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,HOT,2026-10-13,Oct Wk2 (Oct 8-14),2,TIER 2 — Dual-agency (2 raters),2,6.58,6.58,Chemicals/Pharma,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 16-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Ribbel International Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,HOT,2026-10-13,Oct Wk2 (Oct 8-14),2,TIER 2 — Dual-agency (2 raters),2,6.5,6.5,Other,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 16-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Ganapati Fishing Lines Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,17-Oct-2025,ULTRA HOT,2026-10-17,Oct Wk3 (Oct 15-21),2,TIER 2 — Dual-agency (2 raters),2,16.14,16.14,Agro/Food,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 17-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Sri Narayani Plastics Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,20-Oct-2025,ULTRA HOT,2026-10-20,Oct Wk3 (Oct 15-21),2,TIER 2 — Dual-agency (2 raters),2,29.5,29.5,Chemicals/Pharma,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 20-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Haryana Conductors Pvt. Ltd.,CARE,NCD/Bond,B-/A4,23-Jan-2026,HOT,2026-10-20,Oct Wk3 (Oct 15-21),2,TIER 2 — Dual-agency (2 raters),2,7.5,7.5,Other,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 23-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Haryana Conductors Pvt. Ltd.,CARE,NCD/Bond,B-/A4,23-Jan-2026,HOT,2026-10-20,Oct Wk3 (Oct 15-21),2,TIER 2 — Dual-agency (2 raters),2,3.0,3.0,Other,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 23-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Pan Synthetics Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,22-Oct-2025,ULTRA HOT,2026-10-22,Oct Wk4 (Oct 22-31),2,TIER 2 — Dual-agency (2 raters),2,8.5,8.5,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 22-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Reliance Commercial Finance Ltd.,CARE,NCD/Bond,PP-MLD D,27-Jan-2026,HOT,2026-10-24,Oct Wk4 (Oct 22-31),2,TIER 2 — Dual-agency (2 raters),2,38.0,38.0,BFSI,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 27-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Srinivasa Sales & Service Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,27-Jan-2026,HOT,2026-10-24,Oct Wk4 (Oct 22-31),2,TIER 2 — Dual-agency (2 raters),2,1.61,1.61,Other,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 27-Jan-2026) needs renewal. We fast-track the process — speak to our analyst today.
Reliance Home Finance Ltd.,BRICKWORK,NCD/Bond,PP-MLD D,28-Oct-2025,ULTRA HOT,2026-10-28,Oct Wk4 (Oct 22-31),2,TIER 2 — Dual-agency (2 raters),2,100.0,100.0,BFSI,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by BRICKWORK (INC since 28-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Dipanshu Promoter & Builder Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,29-Oct-2025,ULTRA HOT,2026-10-29,Oct Wk4 (Oct 22-31),2,TIER 2 — Dual-agency (2 raters),2,22.5,22.5,Construction,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 29-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Mohit Ispat Pvt. Ltd.,CARE,NCD/Bond,B-/A4,29-Oct-2025,ULTRA HOT,2026-10-29,Oct Wk4 (Oct 22-31),2,TIER 2 — Dual-agency (2 raters),2,5.0,5.0,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 29-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Rangoli Industries Pvt. Ltd.,CARE,NCD/Bond,B-/A4,31-Oct-2025,ULTRA HOT,2026-10-31,Oct Wk4 (Oct 22-31),2,TIER 2 — Dual-agency (2 raters),2,0.43,0.43,Manufacturing,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 31-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Milton Industries Ltd.,CARE,NCD/Bond,B+/A4,04-Feb-2026,HOT,2026-11-01,Nov Wk1 (Nov 1-7),2,TIER 2 — Dual-agency (2 raters),2,10.0,10.0,Manufacturing,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 04-Feb-2026) needs renewal. We fast-track the process — speak to our analyst today.
Reliance Commercial Finance Ltd.,BRICKWORK,NCD/Bond,PP-MLD D,06-Nov-2025,ULTRA HOT,2026-11-06,Nov Wk1 (Nov 1-7),2,TIER 2 — Dual-agency (2 raters),2,50.0,50.0,BFSI,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by BRICKWORK (INC since 06-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
