Agency,Call Week,Records,Unique,UH,HOT,Amt_Cr
ACUITE,Nov Wk1 (Nov 1-7),64,35,26,38,833.8
ACUITE,Nov Wk2 (Nov 8-14),49,24,19,30,2216.0
ACUITE,Nov Wk3 (Nov 15-21),69,31,30,39,4820.6
ACUITE,Nov Wk4 (Nov 22-30),62,32,19,43,1413.2
ACUITE,Oct Wk1 (Oct 1-7),95,45,18,23,1515.3
ACUITE,Oct Wk2 (Oct 8-14),91,50,11,22,2344.9
ACUITE,Oct Wk3 (Oct 15-21),123,60,42,38,20633.5
ACUITE,Oct Wk4 (Oct 22-31),135,68,67,56,3897.3
BRICKWORK,Nov Wk1 (Nov 1-7),48,30,14,34,997.2
BRICKWORK,Nov Wk2 (Nov 8-14),95,54,73,22,1470.4
BRICKWORK,Nov Wk3 (Nov 15-21),120,65,35,85,5770.4
BRICKWORK,Nov Wk4 (Nov 22-30),133,78,55,78,3182.0
BRICKWORK,Oct Wk1 (Oct 1-7),135,75,22,36,2561.3
BRICKWORK,Oct Wk2 (Oct 8-14),65,42,47,18,1941.5
BRICKWORK,Oct Wk3 (Oct 15-21),88,49,29,59,1857.3
BRICKWORK,Oct Wk4 (Oct 22-31),138,80,91,47,3880.8
CARE,Nov Wk1 (Nov 1-7),113,70,64,49,1949.6
CARE,Nov Wk2 (Nov 8-14),104,58,34,70,1687.8
CARE,Nov Wk3 (Nov 15-21),89,48,51,38,1424.8
CARE,Nov Wk4 (Nov 22-30),108,57,45,63,2877.3
CARE,Oct Wk1 (Oct 1-7),173,101,48,41,3165.3
CARE,Oct Wk2 (Oct 8-14),161,89,55,14,1912.2
CARE,Oct Wk3 (Oct 15-21),117,70,36,30,4141.5
CARE,Oct Wk4 (Oct 22-31),132,74,43,47,1527.9
CRISIL,Nov Wk1 (Nov 1-7),104,59,65,39,2003.9
CRISIL,Nov Wk2 (Nov 8-14),223,123,211,12,2952.1
CRISIL,Nov Wk3 (Nov 15-21),233,126,132,101,3252.4
CRISIL,Nov Wk4 (Nov 22-30),383,215,114,269,5372.0
CRISIL,Oct Wk1 (Oct 1-7),179,92,62,34,2912.8
CRISIL,Oct Wk2 (Oct 8-14),227,126,111,85,3053.3
CRISIL,Oct Wk3 (Oct 15-21),390,220,77,161,6463.8
CRISIL,Oct Wk4 (Oct 22-31),516,290,181,178,8236.2
ICRA,Nov Wk1 (Nov 1-7),10,9,3,7,821.8
ICRA,Nov Wk2 (Nov 8-14),44,27,16,28,1593.5
ICRA,Nov Wk3 (Nov 15-21),56,31,29,27,735.7
ICRA,Nov Wk4 (Nov 22-30),85,43,45,40,3692.9
ICRA,Oct Wk1 (Oct 1-7),6,4,1,1,278.1
ICRA,Oct Wk2 (Oct 8-14),42,24,19,3,597.8
ICRA,Oct Wk3 (Oct 15-21),93,51,25,38,2137.0
ICRA,Oct Wk4 (Oct 22-31),127,77,52,36,2398.3
IND-RA,Nov Wk1 (Nov 1-7),7,6,6,1,593.8
IND-RA,Nov Wk2 (Nov 8-14),7,5,7,0,368.2
IND-RA,Nov Wk3 (Nov 15-21),1,1,0,1,27.8
IND-RA,Nov Wk4 (Nov 22-30),69,69,46,23,4334.6
IND-RA,Oct Wk1 (Oct 1-7),19,10,3,10,535.3
IND-RA,Oct Wk2 (Oct 8-14),148,138,14,127,7027.5
IND-RA,Oct Wk3 (Oct 15-21),26,18,20,3,925.6
IND-RA,Oct Wk4 (Oct 22-31),12,7,6,4,657.8
Infomerics,Nov Wk1 (Nov 1-7),76,42,26,50,3585.7
Infomerics,Nov Wk2 (Nov 8-14),25,14,25,0,1217.8
Infomerics,Nov Wk3 (Nov 15-21),30,15,30,0,767.9
Infomerics,Nov Wk4 (Nov 22-30),33,17,33,0,1515.4
Infomerics,Oct Wk1 (Oct 1-7),49,27,11,38,1953.1
Infomerics,Oct Wk2 (Oct 8-14),60,27,13,47,2401.6
Infomerics,Oct Wk3 (Oct 15-21),60,39,25,35,4541.4
Infomerics,Oct Wk4 (Oct 22-31),114,61,46,68,8950.0
