Company Name,Agency,Instrument Type,Rating,Rating Date,Escalates To,Escalation Date,Call Week,Tier_Rank,Tier_Label,Agency_Count,All_Agencies_In_Pool,Amount Cr,Amt_num,Sector,Current Urgency,NCD_Flag,Why Target,ACER Pitch Angle,Source
New Modern Technomech Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,08-Jan-2026,HOT,2026-10-05,Oct Wk1 (Oct 1-7),1,TIER 1 — Triple-agency (3+ raters),3,ACUITE + CARE + CRISIL,45.0,45.0,IT/Technology,LOW,Standard,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,D365
New Modern Technomech Pvt. Ltd.,CRISIL,Term Loan,BB+,08-Jan-2026,HOT,2026-10-05,Oct Wk1 (Oct 1-7),1,TIER 1 — Triple-agency (3+ raters),3,ACUITE + CARE + CRISIL,10.0,10.0,IT/Technology,LOW,Standard,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,D365
New Modern Technomech Pvt. Ltd.,CRISIL,Letter of Credit,A 4+,08-Jan-2026,HOT,2026-10-05,Oct Wk1 (Oct 1-7),1,TIER 1 — Triple-agency (3+ raters),3,ACUITE + CARE + CRISIL,5.0,5.0,IT/Technology,LOW,Standard,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,D365
Sree Astalaxmi Spinning Mills Pvt. Ltd.,CARE,Term Loan,B-,08-Apr-2026,MEDIUM,2026-10-05,Oct Wk1 (Oct 1-7),1,TIER 1 — Triple-agency (3+ raters),3,BRICKWORK + CARE + CRISIL,1.84,1.84,Textiles,LOW,Standard,INC rating hits MEDIUM threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,D365
Universal Seaport Pvt. Ltd.,CARE,Term Loan,B,10-Apr-2026,MEDIUM,2026-10-07,Oct Wk1 (Oct 1-7),1,TIER 1 — Triple-agency (3+ raters),3,BRICKWORK + CARE + CRISIL,6.4,6.4,Logistics,LOW,Standard,INC rating hits MEDIUM threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,D365
Universal Seaport Pvt. Ltd.,CARE,Fund-Based,B,10-Apr-2026,MEDIUM,2026-10-07,Oct Wk1 (Oct 1-7),1,TIER 1 — Triple-agency (3+ raters),3,BRICKWORK + CARE + CRISIL,1.1,1.1,Logistics,LOW,Standard,INC rating hits MEDIUM threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,D365
Khedut Solvexp Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,HOT,2026-10-13,Oct Wk2 (Oct 8-14),1,TIER 1 — Triple-agency (3+ raters),3,CARE + CRISIL + IND-RA,75.0,75.0,Other,LOW,NCD — SEBI License Required,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,D365
New Modern Technomech Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,16-Apr-2026,MEDIUM,2026-10-13,Oct Wk2 (Oct 8-14),1,TIER 1 — Triple-agency (3+ raters),3,ACUITE + CARE + CRISIL,50.0,50.0,IT/Technology,LOW,Standard,INC rating hits MEDIUM threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,D365
Dee Vee Projects Ltd.,IND-RA,Term Loan,B,16-Jan-2026,HOT,2026-10-13,Oct Wk2 (Oct 8-14),1,TIER 1 — Triple-agency (3+ raters),3,ACUITE + CARE + IND-RA,26.6,26.6,Construction,LOW,Standard,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,D365
Sree Astalaxmi Spinning Mills Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,13-Oct-2025,ULTRA HOT,2026-10-13,Oct Wk2 (Oct 8-14),1,TIER 1 — Triple-agency (3+ raters),3,BRICKWORK + CARE + CRISIL,1.0,1.0,Textiles,MEDIUM,Standard,INC rating hits ULTRA HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,D365
New Modern Technomech Pvt. Ltd.,CARE,NCD/Bond,C/A4,21-Apr-2026,MEDIUM,2026-10-18,Oct Wk3 (Oct 15-21),1,TIER 1 — Triple-agency (3+ raters),3,ACUITE + CARE + CRISIL,45.0,45.0,IT/Technology,LOW,NCD — SEBI License Required,INC rating hits MEDIUM threshold on 2026-10-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,D365
New Modern Technomech Pvt. Ltd.,CARE,Letter of Credit,A 4,21-Apr-2026,MEDIUM,2026-10-18,Oct Wk3 (Oct 15-21),1,TIER 1 — Triple-agency (3+ raters),3,ACUITE + CARE + CRISIL,5.0,5.0,IT/Technology,LOW,Standard,INC rating hits MEDIUM threshold on 2026-10-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,D365
