Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle,Call Week,Agency_Count,Agencies
Telawne Power Equipments Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,24-Nov-2025,MEDIUM,ULTRA HOT,2026-11-24,November 2026,213,28.0,Manufacturing,D365,INC rating hits ULTRA HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,Nov Wk4 (Nov 22-30),3,CRISIL + ICRA + IND-RA
Universal Seaport Pvt. Ltd.,CRISIL,Term Loan,B,30-Oct-2025,MEDIUM,ULTRA HOT,2026-10-30,October 2026,238,20.0,Logistics,D365,INC rating hits ULTRA HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,Oct Wk4 (Oct 22-31),3,BRICKWORK + CARE + CRISIL
Universal Seaport Pvt. Ltd.,BRICKWORK,Term Loan,C,23-Oct-2025,MEDIUM,ULTRA HOT,2026-10-23,October 2026,245,19.72,Logistics,D365,INC rating hits ULTRA HOT threshold on 2026-10-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Oct Wk4 (Oct 22-31),3,BRICKWORK + CARE + CRISIL
Telawne Power Equipments Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,28-Oct-2025,MEDIUM,ULTRA HOT,2026-10-28,October 2026,240,6.0,Manufacturing,D365,INC rating hits ULTRA HOT threshold on 2026-10-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Oct Wk4 (Oct 22-31),3,CRISIL + ICRA + IND-RA
Telawne Power Equipments Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,28-Oct-2025,MEDIUM,ULTRA HOT,2026-10-28,October 2026,240,2.3,Manufacturing,D365,INC rating hits ULTRA HOT threshold on 2026-10-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Oct Wk4 (Oct 22-31),3,CRISIL + ICRA + IND-RA
Sree Astalaxmi Spinning Mills Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,13-Oct-2025,MEDIUM,ULTRA HOT,2026-10-13,October 2026,255,1.0,Textiles,D365,INC rating hits ULTRA HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Oct Wk2 (Oct 8-14),3,BRICKWORK + CARE + CRISIL
Telawne Power Equipments Pvt. Ltd.,ICRA,Term Loan,B+,28-Oct-2025,MEDIUM,ULTRA HOT,2026-10-28,October 2026,240,0.2,Manufacturing,D365,INC rating hits ULTRA HOT threshold on 2026-10-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Oct Wk4 (Oct 22-31),3,CRISIL + ICRA + IND-RA
Dee Vee Projects Ltd.,ACUITE,Term Loan,BB-,11-Feb-2026,LOW,HOT,2026-11-08,November 2026,134,444.73,Construction,D365,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Nov Wk2 (Nov 8-14),3,ACUITE + CARE + IND-RA
Dee Vee Projects Ltd.,ACUITE,Bank Guarantee,A 4+,11-Feb-2026,LOW,HOT,2026-11-08,November 2026,134,199.87,Construction,D365,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Nov Wk2 (Nov 8-14),3,ACUITE + CARE + IND-RA
Dee Vee Projects Ltd.,CARE,NCD/Bond,BB-/A4,19-Feb-2026,LOW,HOT,2026-11-16,November 2026,126,170.0,Construction,D365,INC rating hits HOT threshold on 2026-11-16 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk3 (Nov 15-21),3,ACUITE + CARE + IND-RA
Khedut Solvexp Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,LOW,HOT,2026-10-13,October 2026,160,75.0,Other,D365,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,Oct Wk2 (Oct 8-14),3,CARE + CRISIL + IND-RA
Dee Vee Projects Ltd.,ACUITE,Bank Guarantee,A 4+,11-Feb-2026,LOW,HOT,2026-11-08,November 2026,134,45.0,Construction,D365,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Nov Wk2 (Nov 8-14),3,ACUITE + CARE + IND-RA
New Modern Technomech Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,08-Jan-2026,LOW,HOT,2026-10-05,October 2026,168,45.0,IT/Technology,D365,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,Oct Wk1 (Oct 1-7),3,ACUITE + CARE + CRISIL
Khedut Solvexp Pvt. Ltd.,CARE,NCD/Bond,B+/A4,03-Feb-2026,LOW,HOT,2026-10-31,October 2026,142,45.0,Other,D365,INC rating hits HOT threshold on 2026-10-31 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Oct Wk4 (Oct 22-31),3,CARE + CRISIL + IND-RA
Dee Vee Projects Ltd.,ACUITE,Term Loan,BB-,11-Feb-2026,LOW,HOT,2026-11-08,November 2026,134,38.4,Construction,D365,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Nov Wk2 (Nov 8-14),3,ACUITE + CARE + IND-RA
