Company Name,Agencies,Agency_Count,Total_Records,Instruments,Max_Urgency,Total_Amt_Cr,Sector,Max_Urgency_Label
Sree Astalaxmi Spinning Mills Pvt. Ltd.,BRICKWORK + CARE + CRISIL,3,3,Bank Guarantee | Term Loan,3,4.140000000000001,Textiles,ULTRA HOT
Telawne Power Equipments Pvt. Ltd.,CRISIL + ICRA + IND-RA,3,6,NCD/Bond | Non-Fund-Based | Term Loan | Letter of Credit,3,93.5,Manufacturing,ULTRA HOT
Universal Seaport Pvt. Ltd.,BRICKWORK + CARE + CRISIL,3,4,Term Loan | Fund-Based,3,47.22,Logistics,ULTRA HOT
Dee Vee Projects Ltd.,ACUITE + CARE + IND-RA,3,7,Term Loan | Bank Guarantee | NCD/Bond,2,932.2,Construction,HOT
Khedut Solvexp Pvt. Ltd.,CARE + CRISIL + IND-RA,3,4,NCD/Bond | Term Loan,2,125.03,Other,HOT
New Modern Technomech Pvt. Ltd.,ACUITE + CARE + CRISIL,3,8,Bank Guarantee | Term Loan | Letter of Credit | NCD/Bond,2,163.83,IT/Technology,HOT
A K Das Associates Ltd.,CRISIL + ICRA,2,4,Non-Fund-Based | Fund-Based | Bank Guarantee | Letter of Credit,3,132.0,Other,ULTRA HOT
Aadarsh Pvt. Ltd.,BRICKWORK + CRISIL,2,5,Bank Guarantee | Letter of Credit | Term Loan,3,7.0,Other,ULTRA HOT
Aakarshit Ice & Cold Storage Pvt. Ltd.,BRICKWORK + CRISIL,2,3,Term Loan,3,8.98,Other,ULTRA HOT
Adroit Pharmaceuticals Pvt. Ltd.,BRICKWORK + CARE,2,5,Letter of Credit | Term Loan | Bank Guarantee,3,78.5,Chemicals/Pharma,ULTRA HOT
Ajay Ingot Rolling Mill Pvt. Ltd.,BRICKWORK + CARE,2,3,Term Loan | Fund-Based,3,26.74,Steel & Metals,ULTRA HOT
Alok Buildtech Pvt. Ltd.,ACUITE + CRISIL,2,2,Bank Guarantee,3,60.45,Construction,ULTRA HOT
Anand Motor Agencies Ltd.,CARE + IND-RA,2,4,NCD/Bond | Fund-Based | Letter of Credit | Term Loan,3,59.39,Automobiles,ULTRA HOT
Anukool India Pvt. Ltd.,ACUITE + CRISIL,2,4,Bank Guarantee | Letter of Credit,3,14.0,Other,ULTRA HOT
Anup Malleables Ltd.,CARE + CRISIL,2,4,Term Loan | Bank Guarantee,3,15.83,Media/Retail,ULTRA HOT
Anvitha Life Care Pvt. Ltd.,CARE + CRISIL,2,2,Term Loan,3,13.98,Automobiles,ULTRA HOT
Ardhinusa Drilling Pvt. Ltd.,ACUITE + CRISIL,2,3,Bank Guarantee,3,20.0,Other,ULTRA HOT
Arora Construction Co. Pvt. Ltd.,BRICKWORK + CRISIL,2,2,Bank Guarantee,3,23.5,Construction,ULTRA HOT
Ashok Kumar Chhabra Constructions Pvt. Ltd.,CRISIL + IND-RA,2,3,Bank Guarantee | Non-Fund-Based | Term Loan,3,14.5,Construction,ULTRA HOT
Baddi Infrastructure,CRISIL + IND-RA,2,2,Term Loan,3,11.2,Construction,ULTRA HOT
Bakewell Biscuits Pvt. Ltd.,BRICKWORK + CRISIL,2,2,Term Loan,3,9.42,Agro/Food,ULTRA HOT
Bardhaman Agro Products (I) Pvt. Ltd.,CARE + ICRA,2,2,Bank Guarantee | Non-Fund-Based,3,0.4,Agro/Food,ULTRA HOT
Bell Tele Services India Pvt. Ltd.,CARE + CRISIL,2,2,Bank Guarantee,3,6.5,Infrastructure,ULTRA HOT
Bhandari Agrofeeds Pvt. Ltd.,CARE + CRISIL,2,5,Term Loan | Bank Guarantee,3,18.5,Agro/Food,ULTRA HOT
Cell Com Teleservices Pvt. Ltd.,CARE + CRISIL,2,4,Letter of Credit | Bank Guarantee,3,17.0,Infrastructure,ULTRA HOT
Chaudhary Timber Inds. Pvt. Ltd.,BRICKWORK + CRISIL,2,2,Letter of Credit,3,188.5,Other,ULTRA HOT
Clavecon ( India) Pvt. Ltd.,CRISIL + IND-RA,2,2,Term Loan | NCD/Bond,3,19.78,Other,ULTRA HOT
Dipanshu Promoter & Builder Pvt. Ltd.,BRICKWORK + ICRA,2,2,NCD/Bond | Bank Guarantee,3,60.0,Construction,ULTRA HOT
Drashti Cotspin Pvt. Ltd.,BRICKWORK + CARE,2,5,Term Loan | Bank Guarantee | Non-Fund-Based,3,31.45,Other,ULTRA HOT
Element Chemilink Pvt. Ltd.,CRISIL + IND-RA,2,5,Term Loan | Letter of Credit | Bank Guarantee | NCD/Bond,3,29.58,Chemicals/Pharma,ULTRA HOT
Envirad Projects Pvt. Ltd.,CARE + CRISIL,2,3,Bank Guarantee | NCD/Bond,3,79.0,Construction,ULTRA HOT
Four Star International Ltd.,CARE + IND-RA,2,5,Term Loan | Non-Fund-Based | Letter of Credit,3,53.54,Other,ULTRA HOT
Galaxy Life Care Services Pvt. Ltd.,CARE + CRISIL,2,2,Term Loan,3,17.06,Automobiles,ULTRA HOT
Ganapati Fishing Lines Pvt. Ltd.,CRISIL + ICRA,2,4,NCD/Bond | Non-Fund-Based | Letter of Credit | Term Loan,3,40.63,Agro/Food,ULTRA HOT
Gas Projects (India) Pvt. Ltd.,CARE + CRISIL,2,4,Bank Guarantee | Term Loan | Letter of Credit,3,14.75,Energy,ULTRA HOT
Gee Emm Spinfab Pvt. Ltd.,CARE + CRISIL,2,3,Term Loan | Fund-Based,3,41.35,Other,ULTRA HOT
