Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Trigger,Q1_Escalation_Date,Q1_Month,Days_Until_Escalation,Amount Cr,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle
Invreco Pvt. Ltd.,CARE,NCD/Bond,BBB+/A2,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs250.00 Cr,250.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
N S C Projects Pvt. Ld.,CRISIL,Bank Guarantee,A 2,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs218.00 Cr,218.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
India Mega Agro Anaj Limited,Infomerics,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs195.90 Cr,195.9,Agro/Food,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
S V P Industries Ltd.,BRICKWORK,Fund-Based,BB-,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs183.91 Cr,183.91,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Dhoot Infrastructure Projects Ltd.,BRICKWORK,Term Loan,B+,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs110.00 Cr,110.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mohite Industries Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC) (Downgraded),2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs86.15 Cr,86.15,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Narayani Coke Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs79.00 Cr,79.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kapeeshwar Sugars & Chemicals Ltd.,IND-RA,Term Loan,BB,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs74.50 Cr,74.5,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Viswaat Chemicals Ltd.,CARE,Term Loan,BB,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs61.46 Cr,61.46,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Viswaat Chemicals Ltd.,CARE,NCD/Bond,BB/A4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs44.00 Cr,44.0,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
