Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Trigger,Q1_Escalation_Date,Q1_Month,Days_Until_Escalation,Amount Cr,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle
T B E A Energy (India) Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,2025-12-30,MEDIUM,ULTRA HOT,2026-12-30,Dec 2026,186,₹678.50 Cr,678.5,Energy,Standard,D365,INC rating will hit ULTRA HOT on 2026-12-30 — call in advance to secure mandate,Your Bank Guarantee rating goes critical in Dec 2026. ACER can fast-track renewal before the rush hits.
Shahlon Silk Inds. Ltd.,CRISIL,Term Loan,B,2025-12-30,MEDIUM,ULTRA HOT,2026-12-30,Dec 2026,186,₹78.00 Cr,78.0,Other,Standard,D365,INC rating will hit ULTRA HOT on 2026-12-30 — call in advance to secure mandate,Your Term Loan rating goes critical in Dec 2026. ACER can fast-track renewal before the rush hits.
T B E A Energy (India) Pvt. Ltd.,ACUITE,Short-Term Loan,A 4+,2025-12-30,MEDIUM,ULTRA HOT,2026-12-30,Dec 2026,186,₹71.25 Cr,71.25,Energy,Standard,D365,INC rating will hit ULTRA HOT on 2026-12-30 — call in advance to secure mandate,Your Short-Term Loan rating goes critical in Dec 2026. ACER can fast-track renewal before the rush hits.
Rajsamadhiyala Spintex Pvt. Ltd.,ICRA,Term Loan,B,2025-12-30,MEDIUM,ULTRA HOT,2026-12-30,Dec 2026,186,₹62.00 Cr,62.0,Other,Standard,D365,INC rating will hit ULTRA HOT on 2026-12-30 — call in advance to secure mandate,Your Term Loan rating goes critical in Dec 2026. ACER can fast-track renewal before the rush hits.
Lanson Motors Pvt. Ltd.,ACUITE,Term Loan,B,2025-12-30,MEDIUM,ULTRA HOT,2026-12-30,Dec 2026,186,₹47.84 Cr,47.84,Other,Standard,D365,INC rating will hit ULTRA HOT on 2026-12-30 — call in advance to secure mandate,Your Term Loan rating goes critical in Dec 2026. ACER can fast-track renewal before the rush hits.
Lanson Motors Pvt. Ltd.,ACUITE,Fund-Based,B,2025-12-30,MEDIUM,ULTRA HOT,2026-12-30,Dec 2026,186,₹47.00 Cr,47.0,Other,Standard,D365,INC rating will hit ULTRA HOT on 2026-12-30 — call in advance to secure mandate,Your Fund-Based rating goes critical in Dec 2026. ACER can fast-track renewal before the rush hits.
T B E A Energy (India) Pvt. Ltd.,ACUITE,Term Loan,BB-,2025-12-30,MEDIUM,ULTRA HOT,2026-12-30,Dec 2026,186,₹35.00 Cr,35.0,Energy,Standard,D365,INC rating will hit ULTRA HOT on 2026-12-30 — call in advance to secure mandate,Your Term Loan rating goes critical in Dec 2026. ACER can fast-track renewal before the rush hits.
Bagkiya Constructions Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-30,MEDIUM,ULTRA HOT,2026-12-30,Dec 2026,186,₹25.00 Cr,25.0,Construction,Standard,D365,INC rating will hit ULTRA HOT on 2026-12-30 — call in advance to secure mandate,Your Bank Guarantee rating goes critical in Dec 2026. ACER can fast-track renewal before the rush hits.
Lanson Motors Pvt. Ltd.,ACUITE,Term Loan,B,2025-12-30,MEDIUM,ULTRA HOT,2026-12-30,Dec 2026,186,₹21.66 Cr,21.66,Other,Standard,D365,INC rating will hit ULTRA HOT on 2026-12-30 — call in advance to secure mandate,Your Term Loan rating goes critical in Dec 2026. ACER can fast-track renewal before the rush hits.
Siddhi Weaves Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-30,MEDIUM,ULTRA HOT,2026-12-30,Dec 2026,186,₹20.58 Cr,20.58,Other,Standard,D365,INC rating will hit ULTRA HOT on 2026-12-30 — call in advance to secure mandate,Your Term Loan rating goes critical in Dec 2026. ACER can fast-track renewal before the rush hits.
S B Cars Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-30,MEDIUM,ULTRA HOT,2026-12-30,Dec 2026,186,₹14.03 Cr,14.03,Other,Standard,D365,INC rating will hit ULTRA HOT on 2026-12-30 — call in advance to secure mandate,Your Term Loan rating goes critical in Dec 2026. ACER can fast-track renewal before the rush hits.
S B Cars Pvt. Ltd.,BRICKWORK,Fund-Based,C,2025-12-30,MEDIUM,ULTRA HOT,2026-12-30,Dec 2026,186,₹14.00 Cr,14.0,Other,Standard,D365,INC rating will hit ULTRA HOT on 2026-12-30 — call in advance to secure mandate,Your Fund-Based rating goes critical in Dec 2026. ACER can fast-track renewal before the rush hits.
Shell Apparels Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-30,MEDIUM,ULTRA HOT,2026-12-30,Dec 2026,186,₹8.14 Cr,8.14,Textiles,Standard,D365,INC rating will hit ULTRA HOT on 2026-12-30 — call in advance to secure mandate,Your Term Loan rating goes critical in Dec 2026. ACER can fast-track renewal before the rush hits.
Shahlon Silk Inds. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-30,MEDIUM,ULTRA HOT,2026-12-30,Dec 2026,186,₹8.00 Cr,8.0,Other,Standard,D365,INC rating will hit ULTRA HOT on 2026-12-30 — call in advance to secure mandate,Your Letter of Credit rating goes critical in Dec 2026. ACER can fast-track renewal before the rush hits.
Srinivasa Farms Pvt. Ltd.,CARE,Term Loan,B+,2025-12-30,MEDIUM,ULTRA HOT,2026-12-30,Dec 2026,186,₹5.56 Cr,5.56,Agro/Food,Standard,D365,INC rating will hit ULTRA HOT on 2026-12-30 — call in advance to secure mandate,Your Term Loan rating goes critical in Dec 2026. ACER can fast-track renewal before the rush hits.
Rajsamadhiyala Spintex Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-30,MEDIUM,ULTRA HOT,2026-12-30,Dec 2026,186,₹3.90 Cr,3.9,Other,Standard,D365,INC rating will hit ULTRA HOT on 2026-12-30 — call in advance to secure mandate,Your Non-Fund-Based rating goes critical in Dec 2026. ACER can fast-track renewal before the rush hits.
