Company Name,Agency,Instrument Type,Rating,Rating Date,Escalates To,Escalation Date,Call Week,Amount Cr,Sector,Why Target,ACER Pitch Angle,September_Action,Priority_Score
Akbar Travels Of India Pvt. Ltd.,BRICKWORK,Fund-Based,BB,07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),544.5,Hotels/Tourism,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with BRICKWORK displacement pitch.,4
Akbar Travels Of India Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),268.0,Hotels/Tourism,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with BRICKWORK displacement pitch.,4
Mapsko Builders Pvt. Ltd.,CARE,Term Loan,B-,03-Oct-2025,ULTRA HOT,2026-10-03,Oct Wk1 (Oct 1-7),250.56,Construction,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CARE displacement pitch.,4
Standard Infratech India Pvt. Ltd.,IND-RA,NCD/Bond,BB+/A4+,06-Oct-2025,ULTRA HOT,2026-10-06,Oct Wk1 (Oct 1-7),163.05,Construction,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with IND-RA displacement pitch.,4
Lok Chemicals Pvt. Ltd.,CARE,NCD/Bond,BB+/A4,01-Oct-2025,ULTRA HOT,2026-10-01,Oct Wk1 (Oct 1-7),151.0,Chemicals/Pharma,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CARE displacement pitch.,4
Satluj Spintex Ltd.,CRISIL,Term Loan,B,06-Oct-2025,ULTRA HOT,2026-10-06,Oct Wk1 (Oct 1-7),113.75,Other,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CRISIL displacement pitch.,4
A R L Infratech Ltd.,CARE,NCD/Bond,A/A1,01-Oct-2025,ULTRA HOT,2026-10-01,Oct Wk1 (Oct 1-7),110.0,Construction,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CARE displacement pitch.,4
Rajasthan Liquors Ltd.,CRISIL,Term Loan,A,07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),96.33,Other,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CRISIL displacement pitch.,4
Ganges Internationale Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),95.0,Other,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with BRICKWORK displacement pitch.,4
Aruppukottai Sri Jaya Vilas Pvt. Ltd.,BRICKWORK,Fund-Based,C,07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),81.59,Other,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with BRICKWORK displacement pitch.,4
Aavri Overseas Private Limited (erstwhile Logan Minerals Private Limited),Infomerics,Short Term Bank Facilities,IVR A3 (INC)(Downgraded),06-Oct-2025,ULTRA HOT,2026-10-06,Oct Wk1 (Oct 1-7),76.14,Mining/Minerals,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with Infomerics displacement pitch.,4
Rajasthan Liquors Ltd.,CRISIL,Term Loan,A,07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),73.67,Other,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CRISIL displacement pitch.,4
Vishal Papertech India Limited,Infomerics,Long Term Bank Facilities,IVR C (INC)(Downgraded),03-Oct-2025,ULTRA HOT,2026-10-03,Oct Wk1 (Oct 1-7),60.52,IT/Technology,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with Infomerics displacement pitch.,4
Snow World Marine Exports Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),60.5,Logistics,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with Infomerics displacement pitch.,4
Gowra Ventures Pvt. Ltd.,CARE,Fund-Based,B+,07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),58.7,Other,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CARE displacement pitch.,4
A R L Infratech Ltd.,CARE,Term Loan,A,01-Oct-2025,ULTRA HOT,2026-10-01,Oct Wk1 (Oct 1-7),57.8,Construction,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CARE displacement pitch.,4
K K Silk Mills Ltd.,CARE,Fund-Based,BB+,06-Oct-2025,ULTRA HOT,2026-10-06,Oct Wk1 (Oct 1-7),52.5,Textiles,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CARE displacement pitch.,4
Masterchef Exports,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),50.0,Logistics,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with Infomerics displacement pitch.,4
Prolific Papers Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),48.97,Paper/Packaging,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with Infomerics displacement pitch.,4
K B S Industries Ltd.,ACUITE,Letter of Credit,A 4+,06-Oct-2025,ULTRA HOT,2026-10-06,Oct Wk1 (Oct 1-7),48.5,Manufacturing,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with ACUITE displacement pitch.,4
Space Wood Furnishers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,01-Oct-2025,ULTRA HOT,2026-10-01,Oct Wk1 (Oct 1-7),46.5,Other,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CARE displacement pitch.,4
Gowra Ventures Pvt. Ltd.,CARE,Term Loan,B+,07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),46.3,Other,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CARE displacement pitch.,4
Accord Vitrified Pvt. Ltd.,CRISIL,Term Loan,B,06-Oct-2025,ULTRA HOT,2026-10-06,Oct Wk1 (Oct 1-7),42.6,Other,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CRISIL displacement pitch.,4
Space Wood Furnishers Pvt. Ltd.,CARE,Bank Guarantee,A 4+,01-Oct-2025,ULTRA HOT,2026-10-01,Oct Wk1 (Oct 1-7),40.0,Other,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CARE displacement pitch.,4
Royal Orchid Hotels Ltd.,CARE,Term Loan,C,01-Oct-2025,ULTRA HOT,2026-10-01,Oct Wk1 (Oct 1-7),38.48,Hotels/Tourism,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CARE displacement pitch.,4
B R F M India Pvt. Ltd.,ACUITE,Term Loan,C,07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),37.88,Other,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with ACUITE displacement pitch.,4
Farm India Impex Pvt. Ltd.,ICRA,Letter of Credit,A 4+,06-Oct-2025,ULTRA HOT,2026-10-06,Oct Wk1 (Oct 1-7),37.0,Agro/Food,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with ICRA displacement pitch.,4
Guntur Spinning Mills Pvt. Ltd.,ACUITE,Term Loan,BB-,03-Oct-2025,ULTRA HOT,2026-10-03,Oct Wk1 (Oct 1-7),33.47,Textiles,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with ACUITE displacement pitch.,4
Mapsko Builders Pvt. Ltd.,CARE,Bank Guarantee,A 4,03-Oct-2025,ULTRA HOT,2026-10-03,Oct Wk1 (Oct 1-7),30.0,Construction,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CARE displacement pitch.,4
Sagar Industries & Distilleries Pvt. Ltd.,CARE,Fund-Based,BB+,06-Oct-2025,ULTRA HOT,2026-10-06,Oct Wk1 (Oct 1-7),30.0,Manufacturing,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CARE displacement pitch.,4
Space Wood Furnishers Pvt. Ltd.,CARE,Term Loan,BB+,01-Oct-2025,ULTRA HOT,2026-10-01,Oct Wk1 (Oct 1-7),29.88,Other,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CARE displacement pitch.,4
King Yarns Pvt. Ltd.,BRICKWORK,Term Loan,B+,07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),29.65,Textiles,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with BRICKWORK displacement pitch.,4
Dali & Samir Engg. Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,01-Oct-2025,ULTRA HOT,2026-10-01,Oct Wk1 (Oct 1-7),28.22,Agro/Food,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CARE displacement pitch.,4
Meenakshi Udyog (India) Pvt. Ltd.,IND-RA,Term Loan,BBB-,06-Oct-2025,ULTRA HOT,2026-10-06,Oct Wk1 (Oct 1-7),27.87,Other,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with IND-RA displacement pitch.,4
Suryodaya Infra Projects (I) Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,03-Oct-2025,ULTRA HOT,2026-10-03,Oct Wk1 (Oct 1-7),27.0,Construction,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with ACUITE displacement pitch.,4
Sai Shipping Co. Pvt. Ltd.,CRISIL,Term Loan,BB-,07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),26.5,Logistics,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CRISIL displacement pitch.,4
Msjathin Infra Pvt. Ltd.,CARE,Bank Guarantee,BB,03-Oct-2025,ULTRA HOT,2026-10-03,Oct Wk1 (Oct 1-7),25.72,Construction,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CARE displacement pitch.,4
Trinity Cleantech Pvt. Ltd.,CRISIL,Term Loan,B+,06-Oct-2025,ULTRA HOT,2026-10-06,Oct Wk1 (Oct 1-7),25.1,IT/Technology,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CRISIL displacement pitch.,4
Snow World Marine Exports Private Limited,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),25.0,Logistics,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with Infomerics displacement pitch.,4
Uma Motors Pvt. Ltd.,CRISIL,Fund-Based,A 4+,06-Oct-2025,ULTRA HOT,2026-10-06,Oct Wk1 (Oct 1-7),23.5,Automobiles,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CRISIL displacement pitch.,4
Begorra Infrastructure & Developers Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,06-Oct-2025,ULTRA HOT,2026-10-06,Oct Wk1 (Oct 1-7),22.5,Construction,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,URGENT: Call first week of September — escalates to ULTRA HOT by 2026-10. Lead with CRISIL displacement pitch.,4
