Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalation_Date,Calendar_Period,Call Week,Tier_Rank,Priority_Tier,Amt_num,Amount_Cr_Display,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle,Calendar_Pool,Target_Call_Month
Khedut Solvexp Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,LOW,2026-10-13,Oct 2026,Oct Wk2 (Oct 8-14),1,TIER 1 — Triple-agency (3+ raters),75.0,75.0,Other,NCD — SEBI License Required,D365,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,October Pool,Oct 2026
New Modern Technomech Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,16-Apr-2026,LOW,2026-10-13,Oct 2026,Oct Wk2 (Oct 8-14),1,TIER 1 — Triple-agency (3+ raters),50.0,50.0,IT/Technology,Standard,D365,INC rating hits MEDIUM threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,October Pool,Oct 2026
New Modern Technomech Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,08-Jan-2026,LOW,2026-10-05,Oct 2026,Oct Wk1 (Oct 1-7),1,TIER 1 — Triple-agency (3+ raters),45.0,45.0,IT/Technology,Standard,D365,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,October Pool,Oct 2026
New Modern Technomech Pvt. Ltd.,CARE,NCD/Bond,C/A4,21-Apr-2026,LOW,2026-10-18,Oct 2026,Oct Wk3 (Oct 15-21),1,TIER 1 — Triple-agency (3+ raters),45.0,45.0,IT/Technology,NCD — SEBI License Required,D365,INC rating hits MEDIUM threshold on 2026-10-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,October Pool,Oct 2026
Khedut Solvexp Pvt. Ltd.,CARE,NCD/Bond,B+/A4,03-Feb-2026,LOW,2026-10-31,Oct 2026,Oct Wk4 (Oct 22-31),1,TIER 1 — Triple-agency (3+ raters),45.0,45.0,Other,NCD — SEBI License Required,D365,INC rating hits HOT threshold on 2026-10-31 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,October Pool,Oct 2026
Telawne Power Equipments Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,28-Apr-2026,LOW,2026-10-25,Oct 2026,Oct Wk4 (Oct 22-31),1,TIER 1 — Triple-agency (3+ raters),28.0,28.0,Manufacturing,NCD — SEBI License Required,D365,INC rating hits MEDIUM threshold on 2026-10-25 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,October Pool,Oct 2026
Dee Vee Projects Ltd.,IND-RA,Term Loan,B,16-Jan-2026,LOW,2026-10-13,Oct 2026,Oct Wk2 (Oct 8-14),1,TIER 1 — Triple-agency (3+ raters),26.6,26.6,Construction,Standard,D365,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,October Pool,Oct 2026
Universal Seaport Pvt. Ltd.,CRISIL,Term Loan,B,30-Oct-2025,MEDIUM,2026-10-30,Oct 2026,Oct Wk4 (Oct 22-31),1,TIER 1 — Triple-agency (3+ raters),20.0,20.0,Logistics,Standard,D365,INC rating hits ULTRA HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,October Pool,Oct 2026
Universal Seaport Pvt. Ltd.,BRICKWORK,Term Loan,C,23-Oct-2025,MEDIUM,2026-10-23,Oct 2026,Oct Wk4 (Oct 22-31),1,TIER 1 — Triple-agency (3+ raters),19.72,19.72,Logistics,Standard,D365,INC rating hits ULTRA HOT threshold on 2026-10-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,October Pool,Oct 2026
New Modern Technomech Pvt. Ltd.,CRISIL,Term Loan,BB+,08-Jan-2026,LOW,2026-10-05,Oct 2026,Oct Wk1 (Oct 1-7),1,TIER 1 — Triple-agency (3+ raters),10.0,10.0,IT/Technology,Standard,D365,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,October Pool,Oct 2026
Universal Seaport Pvt. Ltd.,CARE,Term Loan,B,10-Apr-2026,LOW,2026-10-07,Oct 2026,Oct Wk1 (Oct 1-7),1,TIER 1 — Triple-agency (3+ raters),6.4,6.4,Logistics,Standard,D365,INC rating hits MEDIUM threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,October Pool,Oct 2026
Telawne Power Equipments Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,28-Oct-2025,MEDIUM,2026-10-28,Oct 2026,Oct Wk4 (Oct 22-31),1,TIER 1 — Triple-agency (3+ raters),6.0,6.0,Manufacturing,Standard,D365,INC rating hits ULTRA HOT threshold on 2026-10-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,October Pool,Oct 2026
New Modern Technomech Pvt. Ltd.,CRISIL,Letter of Credit,A 4+,08-Jan-2026,LOW,2026-10-05,Oct 2026,Oct Wk1 (Oct 1-7),1,TIER 1 — Triple-agency (3+ raters),5.0,5.0,IT/Technology,Standard,D365,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,October Pool,Oct 2026
New Modern Technomech Pvt. Ltd.,CARE,Letter of Credit,A 4,21-Apr-2026,LOW,2026-10-18,Oct 2026,Oct Wk3 (Oct 15-21),1,TIER 1 — Triple-agency (3+ raters),5.0,5.0,IT/Technology,Standard,D365,INC rating hits MEDIUM threshold on 2026-10-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,October Pool,Oct 2026
Khedut Solvexp Pvt. Ltd.,CARE,Term Loan,B+,03-Feb-2026,LOW,2026-10-31,Oct 2026,Oct Wk4 (Oct 22-31),1,TIER 1 — Triple-agency (3+ raters),3.43,3.43,Other,Standard,D365,INC rating hits HOT threshold on 2026-10-31 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,October Pool,Oct 2026
