Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Trigger,Q1_Escalation_Date,Q1_Month,Days_Until_Escalation,Amount Cr,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle
Chandresh Cables Ltd.,ACUITE,Term Loan,BB+,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs31.16 Cr,31.16,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jagaran Microfin Pvt. Ltd.,ACUITE,Term Loan,BB,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs27.50 Cr,27.5,BFSI,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Orient Steel & Inds. Ltd.,ACUITE,Letter of Credit,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs12.00 Cr,12.0,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jagaran Microfin Pvt. Ltd.,ACUITE,Term Loan,BB,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs11.35 Cr,11.35,BFSI,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Chandresh Cables Ltd.,ACUITE,Letter of Credit,A 4+,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs5.50 Cr,5.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Yash Metal Impex Pvt. Ltd.,ACUITE,Letter of Credit,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs4.25 Cr,4.25,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Chandresh Cables Ltd.,ACUITE,Bank Guarantee,A 4+,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs4.00 Cr,4.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Orient Steel & Inds. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs3.50 Cr,3.5,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Aryavrata Steel Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs1.50 Cr,1.5,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sri Satyanarayana Raw And Boiled Rice Mill Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs33.00 Cr,33.0,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Goa Sponge & Power Ltd.,ACUITE,Bank Guarantee,A 4+,2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs2.50 Cr,2.5,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Micron Enterprises Pvt. Ltd.,ACUITE,Term Loan,B,2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs1.00 Cr,1.0,BFSI,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ridings Consulting Engineers India Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs0.85 Cr,0.85,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ridings Consulting Engineers India Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs0.60 Cr,0.6,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Trishul Buildtech & Infrastructures Pvt. Ltd.,ACUITE,Term Loan,BB+,2025-12-03,HOT,ULTRA HOT,2026-12-03,Dec 2026,159,Rs10.22 Cr,10.22,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-03 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
