Company Name,Agency,Instrument Type,Rating,Rating Date,Amount_Cr,NCD_Flag,Sector,August_Priority,Call_Reason,August_Call_Group,ACER Pitch Angle,Urgency_Aug,Week_Sequence
Invreco Pvt. Ltd.,CARE,NCD/Bond,BBB+/A2,2025-12-01,250.0,NCD — SEBI License Required,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
N S C Projects Pvt. Ld.,CRISIL,Bank Guarantee,A 2,2025-12-01,218.0,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
India Mega Agro Anaj Limited,Infomerics,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-12-01,195.9,Standard,Agro/Food,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
S V P Industries Ltd.,BRICKWORK,Fund-Based,BB-,2025-12-01,183.91,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Dhoot Infrastructure Projects Ltd.,BRICKWORK,Term Loan,B+,2025-12-01,110.0,Standard,Construction,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Mohite Industries Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC) (Downgraded),2025-12-01,86.15,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Narayani Coke Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-01,79.0,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Kapeeshwar Sugars & Chemicals Ltd.,IND-RA,Term Loan,BB,2025-12-01,74.5,Standard,Agro/Food,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Viswaat Chemicals Ltd.,CARE,Term Loan,BB,2025-12-01,61.46,Standard,Chemicals/Pharma,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Viswaat Chemicals Ltd.,CARE,NCD/Bond,BB/A4,2025-12-01,44.0,NCD — SEBI License Required,Chemicals/Pharma,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
