Company Name,Agency,Instrument Type,Rating,Rating Date,Amount_Cr,Sector,NCD_Flag,ACER Pitch Angle
Invreco Pvt. Ltd.,CARE,NCD/Bond,BBB+/A2,2025-12-01,250.0,Other,NCD — SEBI License Required,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
N S C Projects Pvt. Ld.,CRISIL,Bank Guarantee,A 2,2025-12-01,218.0,Other,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
India Mega Agro Anaj Limited,Infomerics,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-12-01,195.9,Agro/Food,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
S V P Industries Ltd.,BRICKWORK,Fund-Based,BB-,2025-12-01,183.91,Other,Standard,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Dhoot Infrastructure Projects Ltd.,BRICKWORK,Term Loan,B+,2025-12-01,110.0,Construction,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mohite Industries Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC) (Downgraded),2025-12-01,86.15,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Narayani Coke Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-01,79.0,Other,Standard,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kapeeshwar Sugars & Chemicals Ltd.,IND-RA,Term Loan,BB,2025-12-01,74.5,Agro/Food,Standard,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Viswaat Chemicals Ltd.,CARE,Term Loan,BB,2025-12-01,61.46,Chemicals/Pharma,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Indraprastha Foods Limited,Infomerics,Long Term Bank Facilities,IVR B (INC) (Downgraded),2025-12-01,42.25,Agro/Food,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Chandresh Cables Ltd.,ACUITE,Term Loan,BB+,2025-12-01,31.16,Other,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
A B Grain Spirits Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-01,28.0,Agro/Food,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jagaran Microfin Pvt. Ltd.,ACUITE,Term Loan,BB,2025-12-01,27.5,BFSI,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
J R M Foods Pvt. Ltd.,BRICKWORK,Fund-Based,A 4,2025-12-01,25.0,Agro/Food,Standard,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Turbhe Chemicals Pvt. Ltd.,CARE,NCD/Bond,B+/A4,2025-12-01,21.0,Chemicals/Pharma,NCD — SEBI License Required,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Inox World Inds. Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-01,20.0,Other,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mehar Mediserve LLP,Infomerics,Long Term Bank Facilities,IVR C+ (INC) (Downgraded),2025-12-01,20.0,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Mathan Caar Decors,Infomerics,Long Term Bank Facilities,IVR B- (INC) (Downgraded),2025-12-01,20.0,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Vision India Tech Services Limited (Erstwhile Vision India Software Exports Limited),Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-01,18.48,IT/Technology,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Livenza Granito LLP,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),2025-12-01,16.33,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Orient Steel & Inds. Ltd.,ACUITE,Letter of Credit,A 4,2025-12-01,12.0,Steel & Metals,Standard,Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sunil Sponge Pvt. Ltd.,CARE,Letter of Credit,A 4,2025-12-01,10.0,Other,Standard,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Adachi Natural Polymer Ltd.,CARE,NCD/Bond,B-/A4,2025-12-01,6.5,Chemicals/Pharma,NCD — SEBI License Required,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
G D Dyestuff Inds. Ltd.,IND-RA,Letter of Credit,A 4,2025-12-01,5.0,Other,Standard,Your Letter of Credit at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Yash Metal Impex Pvt. Ltd.,ACUITE,Letter of Credit,A 4,2025-12-01,4.25,Steel & Metals,Standard,Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ronak Processors Pvt. Ltd.,CARE,Term Loan,B-,2025-12-01,3.44,Other,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Alfa-Therm Ltd.,CARE,NCD/Bond,B-/A4,2025-12-01,2.67,Other,NCD — SEBI License Required,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Aryavrata Steel Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-01,1.5,Steel & Metals,Standard,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sonamoti Agrotech Pvt. Ltd.,CARE,Term Loan,B-,2025-12-01,1.23,Agro/Food,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
T C S & Associates Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-01,0.71,Other,Standard,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Krishna Constellation Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-02,223.0,Other,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Laxmiroop Private Limited,Infomerics,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-12-02,123.56,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Manohar Lal Sarraf & Sons Jewellers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4,2025-12-02,83.0,Jewellery,NCD — SEBI License Required,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
M R L Tyres Ltd.,CRISIL,Letter of Credit,A 4+,2025-12-02,65.0,Other,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Meenakshi Ammal Trust,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),2025-12-02,55.0,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Goodwill Advance Construction Company Private Limited,Infomerics,Short Term Bank Facility,IVR A4+ (INC)(Downgraded),2025-12-02,40.0,Construction,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
K S D Construction,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-02,39.0,Construction,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
