Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Trigger,Q1_Escalation_Date,Q1_Month,Days_Until_Escalation,Amount Cr,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle
S V P Industries Ltd.,BRICKWORK,Fund-Based,BB-,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs183.91 Cr,183.91,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Dhoot Infrastructure Projects Ltd.,BRICKWORK,Term Loan,B+,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs110.00 Cr,110.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
A B Grain Spirits Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs28.00 Cr,28.0,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
J R M Foods Pvt. Ltd.,BRICKWORK,Fund-Based,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs25.00 Cr,25.0,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Inox World Inds. Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs20.00 Cr,20.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
J R M Foods Pvt. Ltd.,BRICKWORK,Term Loan,B+,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs8.25 Cr,8.25,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
S V P Industries Ltd.,BRICKWORK,Non-Fund-Based,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs4.00 Cr,4.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Non-Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
A B Grain Spirits Pvt. Ltd.,BRICKWORK,Term Loan,B+,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs2.84 Cr,2.84,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Inox World Inds. Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs0.40 Cr,0.4,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Fuji Silvertech Concrete Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs30.00 Cr,30.0,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Fuji Silvertech Concrete Pvt. Ltd.,BRICKWORK,Term Loan,BB,2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs27.48 Cr,27.48,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kashipur Infrastructure & Freight Terminal Pvt. Ltd.,BRICKWORK,Term Loan,BB-,2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs18.49 Cr,18.49,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
S R Tranzcars Pvt. Ltd.,BRICKWORK,Fund-Based,C,2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs18.00 Cr,18.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
P M I Coaches Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs15.00 Cr,15.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Global Poly Bags Inds. Pvt. Ltd.,BRICKWORK,Term Loan,B+,2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs13.30 Cr,13.3,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
