Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Trigger,Q1_Escalation_Date,Q1_Month,Days_Until_Escalation,Amount Cr,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle
Invreco Pvt. Ltd.,CARE,NCD/Bond,BBB+/A2,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs250.00 Cr,250.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Narayani Coke Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs79.00 Cr,79.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Viswaat Chemicals Ltd.,CARE,Term Loan,BB,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs61.46 Cr,61.46,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Viswaat Chemicals Ltd.,CARE,NCD/Bond,BB/A4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs44.00 Cr,44.0,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Turbhe Chemicals Pvt. Ltd.,CARE,NCD/Bond,B+/A4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs21.00 Cr,21.0,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sunil Sponge Pvt. Ltd.,CARE,Letter of Credit,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs10.00 Cr,10.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Narayani Coke Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs9.00 Cr,9.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Adachi Natural Polymer Ltd.,CARE,NCD/Bond,B-/A4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs6.50 Cr,6.5,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ronak Processors Pvt. Ltd.,CARE,Term Loan,B-,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs3.44 Cr,3.44,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Viswaat Chemicals Ltd.,CARE,NCD/Bond,BB/A4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs3.00 Cr,3.0,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
