Sector,Records,Unique_Companies,Total_Cr,UltraHOT,HOT,NCD_Records
Other,256,134,5875.9,0,144,0
Agro/Food,81,48,544.4,0,42,0
Construction,81,46,2121.0,0,46,1
Manufacturing,78,41,1046.8,0,47,0
IT/Technology,51,26,899.4,0,36,0
Steel & Metals,50,26,580.5,0,24,0
Chemicals/Pharma,45,24,378.2,0,31,0
Automobiles,30,15,485.8,0,12,0
Energy,27,17,677.5,0,14,0
Textiles,26,13,322.3,0,12,0
Logistics,21,12,160.6,0,11,0
Healthcare,19,10,175.7,0,13,0
Paper/Packaging,9,5,64.8,0,3,0
Jewellery,6,4,28.0,0,3,0
Mining,6,3,184.2,0,1,0
Trading/Exports,4,2,28.7,0,2,0
Hotels/Tourism,2,2,9.5,0,1,0
BFSI,1,1,10.0,0,0,0
