Sector,Records,Unique_Companies,Total_Cr,Avg_Cr,NCD_Records
Other,426,214,12061.7,28.3,40
Agro/Food,129,80,2415.6,18.7,5
Construction,109,64,4766.6,43.7,5
Manufacturing,103,53,1714.0,16.6,5
Chemicals/Pharma,82,35,1194.0,14.6,7
Steel & Metals,65,39,1034.0,15.9,5
IT/Technology,60,29,906.3,15.1,5
Energy,48,28,2879.1,60.0,2
Logistics,22,14,171.8,7.8,3
Textiles,22,12,419.8,19.1,2
Automobiles,18,9,182.2,10.1,1
Paper/Packaging,18,10,324.1,18.0,0
Healthcare,17,9,153.0,9.0,1
Jewellery,15,8,176.4,11.8,5
Trading/Exports,12,8,180.1,15.0,2
Mining,8,5,260.6,32.6,0
Hotels/Tourism,7,4,576.0,82.3,0
BFSI,4,3,51.9,13.0,0
Education,4,2,253.9,63.5,0
