Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Trigger,Q1_Escalation_Date,Q1_Month,Days_Until_Escalation,Amount Cr,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle
T C S & Associates Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs0.71 Cr,0.71,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Chowgule Industries Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,2025-12-05,HOT,ULTRA HOT,2026-12-05,Dec 2026,161,Rs40.00 Cr,40.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kwality Pharmaceuticals Ltd.,ICRA,Term Loan,B+,2025-12-05,HOT,ULTRA HOT,2026-12-05,Dec 2026,161,Rs22.00 Cr,22.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kwality Pharmaceuticals Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-05,HOT,ULTRA HOT,2026-12-05,Dec 2026,161,Rs9.92 Cr,9.92,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kwality Pharmaceuticals Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,Dec 2026,161,Rs9.00 Cr,9.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Champion Commercial Co. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,Dec 2026,161,Rs5.50 Cr,5.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Champion Commercial Co. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-05,HOT,ULTRA HOT,2026-12-05,Dec 2026,161,Rs1.50 Cr,1.5,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Champion Commercial Co. Ltd.,ICRA,Short-Term Loan,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,Dec 2026,161,,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Bird Airport Hotel Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,164,Rs82.18 Cr,82.18,Hotels/Tourism,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Millenium Exim Pvt. Ltd.,ICRA,NCD/Bond,B/A4,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,164,Rs6.21 Cr,6.21,Agro/Food,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
