Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Trigger,Q1_Escalation_Date,Q1_Month,Days_Until_Escalation,Amount Cr,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle
Kapeeshwar Sugars & Chemicals Ltd.,IND-RA,Term Loan,BB,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs74.50 Cr,74.5,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
G D Dyestuff Inds. Ltd.,IND-RA,Letter of Credit,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs5.00 Cr,5.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Letter of Credit at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
G D Dyestuff Inds. Ltd.,IND-RA,Term Loan,B+,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs2.38 Cr,2.38,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
G D Dyestuff Inds. Ltd.,IND-RA,Bank Guarantee,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs0.30 Cr,0.3,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
C P L Pharmaceuticals Pvt. Ltd.,IND-RA,Term Loan,BBB+,2025-12-03,HOT,ULTRA HOT,2026-12-03,Dec 2026,159,Rs409.55 Cr,409.55,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-03 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
C P L Pharmaceuticals Pvt. Ltd.,IND-RA,Term Loan,BBB+,2025-12-03,HOT,ULTRA HOT,2026-12-03,Dec 2026,159,Rs80.00 Cr,80.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-03 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sky Spintex Pvt. Ltd.,IND-RA,Term Loan,BBB-,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,164,Rs146.98 Cr,146.98,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Radiant Textiles Pvt. Ltd.,IND-RA,NCD/Bond,BB/A4+,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,164,Rs121.00 Cr,121.0,Textiles,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Rabwin Industries Pvt. Ltd.,IND-RA,Term Loan,BB,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,164,Rs76.60 Cr,76.6,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jal Precision Products Ltd.,IND-RA,Term Loan,BB+,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,164,Rs15.50 Cr,15.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
