Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Trigger,Q1_Escalation_Date,Q1_Month,Days_Until_Escalation,Amount Cr,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle
India Mega Agro Anaj Limited,Infomerics,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs195.90 Cr,195.9,Agro/Food,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Mohite Industries Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC) (Downgraded),2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs86.15 Cr,86.15,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Indraprastha Foods Limited,Infomerics,Long Term Bank Facilities,IVR B (INC) (Downgraded),2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs42.25 Cr,42.25,Agro/Food,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Mehar Mediserve LLP,Infomerics,Long Term Bank Facilities,IVR C+ (INC) (Downgraded),2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs20.00 Cr,20.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Mathan Caar Decors,Infomerics,Long Term Bank Facilities,IVR B- (INC) (Downgraded),2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs20.00 Cr,20.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Vision India Tech Services Limited (Erstwhile Vision India Software Exports Limited),Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs18.48 Cr,18.48,IT/Technology,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Livenza Granito LLP,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs16.33 Cr,16.33,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Vision India Tech Services Limited (Erstwhile Vision India Software Exports Limited),Infomerics,Long Term Bank Facilities,IVR B (INC) (Downgraded),2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs5.90 Cr,5.9,IT/Technology,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Livenza Granito LLP,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs4.00 Cr,4.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Mohite Industries Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs2.00 Cr,2.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Indraprastha Foods Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-01,HOT,ULTRA HOT,2026-12-01,Dec 2026,157,Rs0.75 Cr,0.75,Agro/Food,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Laxmiroop Private Limited,Infomerics,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs123.56 Cr,123.56,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Meenakshi Ammal Trust,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs55.00 Cr,55.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Meenakshi Ammal Trust,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs55.00 Cr,55.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Goodwill Advance Construction Company Private Limited,Infomerics,Short Term Bank Facility,IVR A4+ (INC)(Downgraded),2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs40.00 Cr,40.0,Construction,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
K S D Construction,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs39.00 Cr,39.0,Construction,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Goodwill Advance Construction Company Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs26.61 Cr,26.61,Construction,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
OP Gupta Contractor Private Limited,Infomerics,Short Term Bank Facility,IVR A4 (INC) (Reaffirmed),2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs25.00 Cr,25.0,Construction,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Sewa Singh Oberoi and Company,Infomerics,Short Term Bank Facility,IVR A4 (INC) (Reaffirmed),2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs21.00 Cr,21.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
SVR Electricals Private Limited,Infomerics,Proposed Long Term/Short Term Non-Fund Based Bank Facility - Bank Guarantee,IVR C/IVR A4; (INC) (Downgraded/Reaffirmed),2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,158,Rs18.75 Cr,18.75,Energy,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
