Instrument Type,Records,Amount_Cr
Long Term Bank Facilities,164,11122.79
Short Term Bank Facilities,92,5480.21
Long Term Facilities,41,2906.6
Short Term Facilities,21,662.4300000000001
Long Term Bank Facility,15,1922.15
Long Term/ Short Term Bank Facilities,11,1150.99
Short Term Bank Facility,10,218.3
Long Term/Short Term (Proposed) bank facilities,6,14.78
Long Term/ Short Term Facilities,5,941.0
Long Term Bank Facilities â€“ Cash Credit,4,198.81
Long Term Bank Facilities - Term Loan,3,69.92
Long Term Fund Based Bank Facilities,3,605.86
Long/ Short Term Bank Facilities,3,35.0
Long/Short Term Bank Facilities (Proposed),3,42.010000000000005
Proposed Long Term/ Short Term Bank Facilities,3,11.15
Long Term  Fund Based  Facility â€“ Cash Credit,2,2.0
Long Term/Short Term (Proposed),2,2.64
Long Term/Short Term Bank Facilities,2,27.07
Non - Convertible Debentures,2,1200.0
Proposed Long Term Bank Facilities,2,167.38
Proposed Long Term/Short Term Non-Fund Based Bank Facility - Bank Guarantee,2,23.75
Proposed Short Term Non- Fund Based Bank Facility - Letter of Credit,2,2.0
Short term  Fund Based  Facility â€“ EPC/PCFC,2,18.0
Short Term Facility,2,140.0
Short Term  Non-Fund  Based  Facility â€“ Letter of  Credit,2,20.0
Short Term Bank Facilities (Proposed),2,4.640000000000001
Proposed Long Term Fund Based Bank Facility - Cash Credit,2,9.75
Non-Convertible Debentures (NCDs),2,82.11
Long Term Fund Based Limits - Cash Credit,2,120.5
Long Term Bank Facilities â€“ Term Loan,2,42.34
External Commercial Borrowings (ECBs),1,49.26
Fixed Deposit,1,50.0
Long Term /Short Term Bank Facility,1,28.0
Long Term /Short Term Bank Facilities,1,3.0
Long Term Bank Facilities â€“ Dropline Overdraft,1,19.9
Long Term Bank Facilities / Short Term Bank Facilities,1,13.0
Long Term Bank Facilities (incl. Proposed facility),1,10.8
Long Term Bank Facilities - Proposed Term Loan,1,3.0
Long Term Bank Facilities (Proposed),1,50.0
Long Term Bank Facilities (Incl. Proposed Facility),1,45.0
Long Term Bank  Facilities,1,30.57
Long Term Bank  Facilities (Including  proposed facility of  Rs. 0.46 crore),1,22.57
Fund Based Bank Facilities â€“ Term Loan,1,356.1
Long / Short Term Bank Facilities,1,30.0
Long Term Fund Based Facility â€“ Term Loans,1,51.71
Long Term Facilities/ Short Term Facilities,1,101.0
Long Term Bank Facilities-Proposed,1,18.3
Long Term Bank Facilities- Term Loan,1,15.04
Long Term Facilities Term Loan,1,34.29
Long Term Bank Facilities- Proposed,1,50.3
Long/Short Term Bank Facilities,1,0.18
Long term Bank Facilities - Term Loan,1,2.19
Long term Bank Facilities - Cash Credit,1,16.5
Long term Bank Facilities,1,15.0
Long term / Short Term Bank Facilities,1,21.0
Long Term Fund based facilities â€“ Cash Credit,1,7.0
Long Term Fund Based Limits â€“ Term Loan,1,15.4
Long Term Instruments /Facilities,1,39.0
Long Term Instruments  Non-Convertible Debenture- Proposed,1,25.0
Long Term Facility,1,15.0
Long Term Facility - Fund Based - Cash Credit,1,15.0
Long Term Fund Based Bank Facilities â€“ Proposed Term Loan,1,3.0
Long Term Fund Based Bank Facility - OD,1,4.0
Long Term Fund Based Bank Facility - Term Loans,1,11.95
Long Term Fund Based Facility â€“ Cash Credit,1,11.0
Non-Convertible Debenture,1,19.93
Proposed Short Term Bank Facility,1,0.6
Proposed Short Term Bank Facilities,1,0.17
Proposed Non-Convertible Debentures (NCDs),1,50.0
Proposed Long Term Facilities,1,40.0
Proposed Long Term Fund Based Bank Facility,1,4.05
Proposed Commercial Paper,1,10.0
Proposed Fixed Deposit,1,4.0
Proposed Long Term Bank Facility,1,11.75
Short Term Bank Facilities â€“ Short Term Loan,1,23.0
Short Term Bank Facilities â€“ ILC/FLC/ BG,1,85.0
Short Term Bank Facilities â€“ Bank Guarantee,1,2.0
Proposed short term bank facilities,1,7.3
Short Term Bank Facilities- Bank Guarantee,1,0.1
Short Term Fund Based Bank Facilities,1,3.65
Short Term Instruments /Facilities,1,10.0
Short Term Non-Fund Based Facilities - LC,1,29.1
