Company Name,Date,Agency,Instrument,Grade,Rating,Status,Amount,INC_Flag,Rating_Date,Amount_Num,Is_INC,Sector,Days_INC,Current_Urgency,MEDIUM_Date,HOT_Date,ULTRA_HOT_Date,Q2_Escalation_Month,NCD_Flag,Why_Target,ACER_Pitch,Source
Ashok Bricks Inds. Pvt. Ltd.,02-04-2026,IND-RA,Non-government debt,Default,D,Reaffirmed,44.00,Y,2026-04-02,44.0,True,Other,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,NCD — SEBI License Required,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Asian Hotels (West) Ltd.,02-04-2026,IND-RA,Term loans,Default,D,Reaffirmed,247.76,Y,2026-04-02,247.76,True,Hotels/Tourism,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Associated Appliances Ltd.,03-04-2026,BRICKWORK,Bank Guarantee,Default,D,Reaffirmed,3.00,Y,2026-04-03,3.0,True,Other,86,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (86 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Associated Appliances Ltd.,03-04-2026,BRICKWORK,Letter Of credit,Default,D,Reaffirmed,11.00,Y,2026-04-03,11.0,True,Other,86,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (86 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Assorted Plastics Pvt. Ltd.,06-04-2026,BRICKWORK,Term loans,Substantial Risk,C,Downgraded,2.76,Y,2026-04-06,2.76,True,Other,83,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (83 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Atul Generators Pvt. Ltd.,08-04-2026,BRICKWORK,Bank Guarantee,Substantial Risk,C,Reaffirmed,0.95,Y,2026-04-08,0.95,True,Other,81,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (81 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Auro Industries Ltd.,02-04-2026,ACUITE,Bank Guarantee,High Risk,A 4,Reaffirmed,0.75,Y,2026-04-02,0.75,True,Other,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Auro Industries Ltd.,02-04-2026,ACUITE,Letter Of credit,High Risk,A 4,Reaffirmed,2.25,Y,2026-04-02,2.25,True,Other,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Auro Industries Ltd.,02-04-2026,ACUITE,Long term Loans,High Risk,B-,Downgraded,0.43,Y,2026-04-02,0.43,True,Other,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Auto Hitech Pvt. Ltd.,17-04-2026,ICRA,Term loans,High Risk,B+,Reaffirmed,2.00,Y,2026-04-17,2.0,True,Automobiles,72,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Avian Infrastructure & Energy Pvt. Ltd.,21-04-2026,CRISIL,Bank Guarantee,High Risk,A 4,Downgraded,55.00,Y,2026-04-21,55.0,True,Construction/Infra,68,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (68 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Azam Rubber Products Pvt. Ltd.,15-04-2026,CARE,Non-fund-based financial facility/instrument,Default,D,Reaffirmed,30.80,Y,2026-04-15,30.8,True,Other,74,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-fund-based financial facility/instrument at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Azam Rubber Products Pvt. Ltd.,15-04-2026,CARE,Term loans,Default,D,Reaffirmed,29.48,Y,2026-04-15,29.48,True,Other,74,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B A S S Minerals India Pvt. Ltd.,02-04-2026,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,5.00,Y,2026-04-02,5.0,True,Mining/Minerals,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,NCD — SEBI License Required,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B C L Secure Premises Pvt. Ltd.,22-04-2026,CRISIL,Bank Guarantee,High Risk,A 4,Downgraded,10.00,Y,2026-04-22,10.0,True,Other,67,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (67 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B C L Secure Premises Pvt. Ltd.,22-04-2026,CRISIL,Long term Loans,High Risk,B,Downgraded,1.00,Y,2026-04-22,1.0,True,Other,67,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (67 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B D Steels Pvt. Ltd.,17-04-2026,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,Reaffirmed,3.00,Y,2026-04-17,3.0,True,Steel & Metals,72,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-fund-based financial facility/instrument at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B K Sons Infrastructure Pvt. Ltd.,21-04-2026,CARE,Bank Guarantee,Default,D,Reaffirmed,50.00,Y,2026-04-21,50.0,True,Construction/Infra,68,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (68 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B N S R Inds. Ltd.,02-04-2026,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,4.90,Y,2026-04-02,4.9,True,Other,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,NCD — SEBI License Required,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
