Company Name,Agency,Instrument Type,Rating,Rating Date,Amount Cr,Sector,Current Urgency,NCD_Flag,Source,Pipeline_Window,Escalation_Date,Escalation_Month,Call_Window,Tier_Label,Agency_Count,Why Target,ACER Pitch Angle,Window_Order,Multi_Window_Flag
New Modern Technomech Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,08-Jan-2026,45.0,IT/Technology,LOW,Standard,D365,October 2026,2026-10-05,Oct 2026,Oct Wk1 (Oct 1-7),TIER 1 — Triple-agency (3+ raters),3,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority
New Modern Technomech Pvt. Ltd.,CRISIL,Term Loan,BB+,08-Jan-2026,10.0,IT/Technology,LOW,Standard,D365,October 2026,2026-10-05,Oct 2026,Oct Wk1 (Oct 1-7),TIER 1 — Triple-agency (3+ raters),3,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority
New Modern Technomech Pvt. Ltd.,CRISIL,Letter of Credit,A 4+,08-Jan-2026,5.0,IT/Technology,LOW,Standard,D365,October 2026,2026-10-05,Oct 2026,Oct Wk1 (Oct 1-7),TIER 1 — Triple-agency (3+ raters),3,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority
Sree Astalaxmi Spinning Mills Pvt. Ltd.,CARE,Term Loan,B-,08-Apr-2026,1.84,Textiles,LOW,Standard,D365,October 2026,2026-10-05,Oct 2026,Oct Wk1 (Oct 1-7),TIER 1 — Triple-agency (3+ raters),3,INC rating hits MEDIUM threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,1,Multi-Window Priority
Universal Seaport Pvt. Ltd.,CARE,Term Loan,B,10-Apr-2026,6.4,Logistics,LOW,Standard,D365,October 2026,2026-10-07,Oct 2026,Oct Wk1 (Oct 1-7),TIER 1 — Triple-agency (3+ raters),3,INC rating hits MEDIUM threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,1,Multi-Window Priority
Universal Seaport Pvt. Ltd.,CARE,Fund-Based,B,10-Apr-2026,1.1,Logistics,LOW,Standard,D365,October 2026,2026-10-07,Oct 2026,Oct Wk1 (Oct 1-7),TIER 1 — Triple-agency (3+ raters),3,INC rating hits MEDIUM threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,1,Multi-Window Priority
Khedut Solvexp Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,75.0,Other,LOW,NCD — SEBI License Required,D365,October 2026,2026-10-13,Oct 2026,Oct Wk2 (Oct 8-14),TIER 1 — Triple-agency (3+ raters),3,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,1,Single Window
New Modern Technomech Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,16-Apr-2026,50.0,IT/Technology,LOW,Standard,D365,October 2026,2026-10-13,Oct 2026,Oct Wk2 (Oct 8-14),TIER 1 — Triple-agency (3+ raters),3,INC rating hits MEDIUM threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,1,Multi-Window Priority
Dee Vee Projects Ltd.,IND-RA,Term Loan,B,16-Jan-2026,26.6,Construction,LOW,Standard,D365,October 2026,2026-10-13,Oct 2026,Oct Wk2 (Oct 8-14),TIER 1 — Triple-agency (3+ raters),3,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,1,Single Window
Sree Astalaxmi Spinning Mills Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,13-Oct-2025,1.0,Textiles,MEDIUM,Standard,D365,October 2026,2026-10-13,Oct 2026,Oct Wk2 (Oct 8-14),TIER 1 — Triple-agency (3+ raters),3,INC rating hits ULTRA HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,1,Multi-Window Priority
