Company Name,Agency,Instrument Type,Rating,Rating Date,Amount_Cr,Quarter,Escalation_Month,Call_Window,Tier,NCD_Flag
Dee Vee Projects Ltd.,IND-RA,Term Loan,B,16-Jan-2026,26.6,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 1 — Triple-agency (3+ raters),Standard
Dee Vee Projects Ltd.,ACUITE,Term Loan,BB-,11-Feb-2026,444.73,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 1 — Triple-agency (3+ raters),Standard
Dee Vee Projects Ltd.,ACUITE,Bank Guarantee,A 4+,11-Feb-2026,199.87,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 1 — Triple-agency (3+ raters),Standard
Dee Vee Projects Ltd.,ACUITE,Bank Guarantee,A 4+,11-Feb-2026,45.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 1 — Triple-agency (3+ raters),Standard
Dee Vee Projects Ltd.,ACUITE,Term Loan,BB-,11-Feb-2026,38.4,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 1 — Triple-agency (3+ raters),Standard
Dee Vee Projects Ltd.,CARE,NCD/Bond,BB-/A4,19-Feb-2026,170.0,October 2026,Oct–Nov 2026,Nov Wk3 (Nov 15-21),TIER 1 — Triple-agency (3+ raters),NCD — SEBI License Required
Dee Vee Projects Ltd.,CARE,Term Loan,BB-,19-Feb-2026,7.6,October 2026,Oct–Nov 2026,Nov Wk3 (Nov 15-21),TIER 1 — Triple-agency (3+ raters),Standard
Mapsko Builders Pvt. Ltd.,CARE,Term Loan,B-,03-Oct-2025,250.56,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 2 — Dual-agency (2 raters),Standard
Alok Buildtech Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,06-Jan-2026,45.45,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 2 — Dual-agency (2 raters),Standard
Mapsko Builders Pvt. Ltd.,CARE,Bank Guarantee,A 4,03-Oct-2025,30.0,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 2 — Dual-agency (2 raters),Standard
Archon Powerinfra India Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,06-Jan-2026,4.5,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 2 — Dual-agency (2 raters),Standard
Apurvakriti Infrastructure Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,09-Apr-2026,15.0,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 2 — Dual-agency (2 raters),Standard
