Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Amount_Cr,Quarter,Escalation_Month,Escalation_Date,Call_Window,Tier,Priority_Score,Agency_Count,NCD_Flag,Source,Why Target,ACER Pitch Angle,Dual_Quarter
H E S Infra Ltd.,IND-RA,Fund-Based,A 4+,2025-12-17,HOT,802.0,Q1 2027,Dec 2026,2026-12-17,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,7,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Atlas Constructions Pvt. Ltd.,CRISIL,NCD/Bond,BBB/A3+,2025-12-12,HOT,363.0,Q1 2027,Dec 2026,2026-12-12,Sep–Oct 2026 — Call 3 months ahead,Tier 3 — NCD Priority,7,1,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your NCD/Bond at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Jaypee Projects Ltd.,CRISIL,Term Loan,B+,2025-12-11,HOT,8.0,Q1 2027,Dec 2026,2026-12-11,Sep 2026 — RM,Tier 2 — Dual Agency,7,2,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Jaypee Projects Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-11,HOT,7.0,Q1 2027,Dec 2026,2026-12-11,Sep 2026 — RM,Tier 2 — Dual Agency,7,2,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Eversendai Construction Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,2025-12-05,HOT,290.0,Q1 2027,Dec 2026,2026-12-05,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,6,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
H E S Infra Ltd.,IND-RA,Fund-Based,A 4+,2025-12-17,HOT,289.0,Q1 2027,Dec 2026,2026-12-17,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,6,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
N S C Projects Pvt. Ld.,CRISIL,Bank Guarantee,A 2,2025-12-01,HOT,218.0,Q1 2027,Dec 2026,2026-12-01,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,6,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
M R K R Constructions & Inds. Pvt. Ltd.,IND-RA,Fund-Based,A 3,2025-12-15,HOT,200.0,Q1 2027,Dec 2026,2026-12-15,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,6,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-15 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Both Q1+Q2
P C Snehal Construction Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-26,HOT,135.5,Q1 2027,Dec 2026,2026-12-26,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,6,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
P C Patel Infra Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-17,HOT,135.0,Q1 2027,Dec 2026,2026-12-17,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,6,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
