Company Name,Total_Cr,Records,Agencies,Instruments,Quarters,Earliest_Escalation,Priority_Score,Dual_Quarter
Gupta Power Infrastructure Limited,3960.0,2,Infomerics,Long Term Bank Facilities / Short Term Bank Facilities,Q1 2027,Jan 2027,5,Single Quarter
Sew Infrastructure Ltd.,3400.0,2,BRICKWORK,Fund based financial facility/instrument / Non-fund-based financial facility/instrument,Q2 2027,Apr 2027,3,Single Quarter
I L & F S Engg. & Construction Co. Ltd.,2541.33,2,CARE,Non-fund based working capital limit / Term loans,Q2 2027,Apr 2027,3,Single Quarter
Jaymala Infrastructure Pvt. Ltd.,1986.87,2,IND-RA,Term Loan,Q1 2027,Mar 2027,3,Single Quarter
L & W Construction Pvt. Ltd.,1900.0,2,ICRA,NCD/Bond / Term Loan,Q1 2027,Mar 2027,4,Single Quarter
H E S Infra Ltd.,1091.0,2,IND-RA,Fund-Based,Q1 2027,Dec 2026,7,Single Quarter
Gama Infraprop Pvt. Ltd.,696.0699999999999,7,CARE + CRISIL,Bank Guarantee / Letter Of credit / Letter of Credit / Long term Loans / Term Loan / Term loans,Q1 2027 + Q2 2027,Apr 2027,3,Both Q1+Q2
Sintex Prefab & Infra Ltd.,543.63,1,ACUITE,Short-Term Loan,Q1 2027,Feb 2027,4,Single Quarter
Sadbhav Vidarbha Highway Ltd.,514.0,1,CARE,Term loans,Q2 2027,Apr 2027,3,Single Quarter
K M Toll Road Pvt. Ltd.,481.03,2,BRICKWORK,Fund based financial facility/instrument / Term loans,Q2 2027,Apr 2027,3,Single Quarter
M R K R Constructions & Inds. Pvt. Ltd.,430.0,3,CRISIL + IND-RA,Bank Guarantee / Fund-Based / Long term Loans,Q1 2027 + Q2 2027,Apr 2027,6,Both Q1+Q2
Shree Hari Infraprojects Pvt. Ltd.,420.0,4,CARE,Letter Of credit / Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
Supreme Manor Wada Bhiwandi Infrastructure Pvt. Ltd.,377.0,1,CRISIL,Term loans,Q2 2027,Apr 2027,3,Single Quarter
Globus Warehousing & Trdg. Pvt. Ltd.,371.0,2,BRICKWORK,Bank Guarantee / Term Loan,Q1 2027,Jan 2027,4,Single Quarter
T K Toll Road Pvt. Ltd.,370.95,1,ICRA,Term loans,Q2 2027,Apr 2027,3,Single Quarter
Atlas Constructions Pvt. Ltd.,368.0,2,CRISIL,NCD/Bond / Term Loan,Q1 2027,Dec 2026,7,Single Quarter
Cabbana Infrastructures Pvt. Ltd.,363.72,1,IND-RA,Term loans,Q2 2027,Apr 2027,3,Single Quarter
J P Infra Realty Pvt. Ltd.,350.0,1,IND-RA,Term loans,Q2 2027,Apr 2027,3,Single Quarter
Eversendai Construction Pvt. Ltd.,338.82,3,ACUITE,Bank Guarantee / Letter of Credit / Term Loan,Q1 2027,Dec 2026,6,Single Quarter
MFAR Constructions Private Limited,309.6,4,Infomerics,Long Term Bank Facilities / Short Term Bank Facilities,Q1 2027,Jan 2027,3,Single Quarter
K G S Sugar & Infra Corpn. Ltd.,280.67,2,ICRA,Non-government debt / Term loans,Q2 2027,Apr 2027,3,Single Quarter
Krishna Buildestates Pvt. Ltd.,275.1,2,CARE,NCD/Bond,Q1 2027,Mar 2027,3,Single Quarter
Abhishek Propbuild Pvt. Ltd.,258.6,2,CARE,Term loans,Q2 2027,Apr 2027,3,Single Quarter
Inderjit Mehta Constructions Private Limited,245.0,1,Infomerics,Long Term Bank Facilities,Q1 2027,Jan 2027,4,Single Quarter
KCP Infra Limited,220.0,4,Infomerics,Fixed Deposit / Long Term Facilities / Long Term Facilities/ Short Term Facilities / Short Term Facilities,Q1 2027,Jan 2027,4,Single Quarter
N S C Projects Pvt. Ld.,218.0,1,CRISIL,Bank Guarantee,Q1 2027,Dec 2026,6,Single Quarter
L & W Building Solutions Pvt. Ltd.,205.0,1,ICRA,NCD/Bond,Q1 2027,Mar 2027,3,Single Quarter
Shreeji Infrastructure India Pvt. Ltd.,199.0,1,IND-RA,Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
Agrawal Infrabuild Private Limited,192.19,2,Infomerics,Long Term Facilities / Short Term Facility,Q1 2027,Jan 2027,4,Single Quarter
Cybercity Builders & Developers Pvt. Ltd.,175.0,1,IND-RA,Term loans,Q2 2027,Apr 2027,3,Single Quarter
Mahakaleshwar Tollways Pvt. Ltd.,164.84,1,CARE,Term loans,Q2 2027,Apr 2027,3,Single Quarter
R M N Infrastructures Ltd.,160.0,2,CARE,NCD/Bond,Q1 2027,Mar 2027,3,Single Quarter
Aparna Constructions & Estates Pvt. Ltd.,150.0,2,CRISIL,Long term Loans / Term loans,Q2 2027,Apr 2027,3,Single Quarter
GRN Constructions Private Limited,150.0,2,Infomerics,Long Term Bank Facilities / Short Term Bank Facilities,Q1 2027,Dec 2026,6,Single Quarter
V M Matere Infrastructures (India) Pvt. Ltd.,148.8,3,ACUITE,Bank Guarantee / Long term Loans / Term loans,Q2 2027,Apr 2027,3,Single Quarter
Manisha Projects Pvt. Ltd.,148.0,4,CRISIL,Bank Guarantee / Fund-Based / Non-Fund-Based,Q1 2027,Mar 2027,1,Single Quarter
Sattva Engineering Construction Private Limited,138.24,4,Infomerics,Long Term Facilities / Short Term Facilities,Q1 2027,Dec 2026,5,Single Quarter
P C Patel Infra Pvt. Ltd.,138.0,2,BRICKWORK,Bank Guarantee / Term Loan,Q1 2027,Dec 2026,6,Single Quarter
P C Snehal Construction Pvt. Ltd.,135.5,1,BRICKWORK,Bank Guarantee,Q1 2027,Dec 2026,6,Single Quarter
Shah Group Builders Ltd.,135.0,1,IND-RA,Term loans,Q2 2027,Apr 2027,3,Single Quarter
Srijan Realty Pvt. Ltd.,132.37,3,CRISIL,Term Loan,Q1 2027,Dec 2026,5,Single Quarter
