Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Quarter,Escalation_Month,Escalation_Date,HOT_Date,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle,Call_Window,Also_In_Other_Quarter
A & T Infracon Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-05,HOT,Q1 2027,Dec 2026,2026-12-05,,10.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
A & T Infracon Pvt. Ltd.,IND-RA,Term loans,BBB-,2026-04-08,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,1.1,Construction/Infra,Standard,D365,"INC since Apr 2026 (81 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
A & T Infracon Pvt. Ltd.,IND-RA,Term loans,BBB-,2026-04-08,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,0.9,Construction/Infra,Standard,D365,"INC since Apr 2026 (81 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
A & T Infracon Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 3,2026-04-08,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,45.0,Construction/Infra,Standard,D365,"INC since Apr 2026 (81 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-fund based working capital limit at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Affluence Commodities Pvt. Ltd.,CARE,Bank Guarantee,A 4,2026-03-11,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-11,,25.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Affluence Commodities Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2026-04-15,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,9.43,Other,Standard,D365,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Anand Motor Agencies Ltd.,CRISIL,Fund-Based,B,2026-03-17,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-17,,29.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-17 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Anand Motor Agencies Ltd.,CARE,Term loans,B+,2026-04-10,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,1.59,Automobiles,Standard,D365,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Anand Motor Agencies Ltd.,CARE,Letter Of credit,A 4,2026-04-10,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,3.0,Automobiles,Standard,D365,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Anand Motor Agencies Ltd.,CARE,Fund based financial facility/instrument,B+,2026-04-10,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,25.0,Automobiles,Standard,D365,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Fund based financial facility/instrument at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Anmol Industries Ltd.,CRISIL,Short-term loan,A 4,2026-04-15,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,5.0,Other,Standard,D365,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Short-term loan at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Anmol Industries Ltd.,CRISIL,Long term Loans,B,2026-04-15,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,16.0,Other,Standard,D365,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Anmol Industries Ltd.,CRISIL,Short-Term Loan,A 4,2025-12-05,HOT,Q1 2027,Dec 2026,2026-12-05,,5.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Short-Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Anubhav Plast Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-23,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,1.5,Other,Standard,D365,"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Anubhav Plast Ltd.,IND-RA,NCD/Bond,B-/A4,2025-12-19,HOT,Q1 2027,Dec 2026,2026-12-19,,8.5,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Aries Corporate Services Pvt. Ltd.,CARE,Non-government debt,B-/A4,2026-04-09,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,13.0,Other,NCD — SEBI License Required,D365,"INC since Apr 2026 (80 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Aries Corporate Services Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-03,HOT,Q1 2027,Dec 2026,2026-12-03,,5.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-03 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Chenduran Cotspin (India) Pvt. Ltd.,ACUITE,Term loans,BB-,2026-04-07,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,2.46,Other,Standard,D365,"INC since Apr 2026 (82 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Chenduran Cotspin (India) Pvt. Ltd.,ACUITE,Short-term loan,A 4+,2026-04-07,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,9.72,Other,Standard,D365,"INC since Apr 2026 (82 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Short-term loan at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Chenduran Cotspin (India) Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-03-11,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-11,,0.85,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Chenduran Cotspin (India) Pvt. Ltd.,CRISIL,Term Loan,B,2026-03-11,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-11,,1.8,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Chenduran Cotspin (India) Pvt. Ltd.,CRISIL,Term Loan,B,2026-03-11,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-11,,7.76,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
