Company Name,Total_Cr,Q1_Cr,Q2_Cr,Q1_Agencies,Q2_Agencies,All_Agencies,Different_Agencies_Q1_vs_Q2,Q1_Instruments,Q2_Instruments,Q1_Escalation_Month,Q2_Escalation_Month,Q1_Urgency,Q2_Urgency,Sector,NCD_Flag,Priority,Agency_Context,Pitch_Hook,Pitch_Close,Q1_Call_Window,Q2_Call_Window,First_Contact_Window,Why_Target
Vijai Electricals Ltd.,895.18,399.12,496.06,IND-RA,CARE,"CARE, IND-RA",True,Fund-Based / Term Loan,Non-government debt / Term loans,Dec 2026,Apr 2027,HOT,LOW (<90 days),Energy,NCD in Q2,TOP PRIORITY — High Value,"Q1 rated by IND-RA, Q2 rated by CARE — uses multiple agencies","Your company already works with multiple rating agencies (CARE, IND-RA). ACER can compete on speed and cost — let us give you a third option.","With ₹895.2 Cr in rated instruments across two quarters, adding ACER's name strengthens your credibility with lenders.",Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at CARE, IND-RA in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹895.2 Cr."
Pushpit Steels Pvt. Ltd.,821.63,105.0,716.63,BRICKWORK,ACUITE,"ACUITE, BRICKWORK",True,Letter of Credit / Term Loan,Letter Of credit / Short-term loan / Term loans,Dec 2026,Apr 2027,HOT,LOW (<90 days),Steel & Metals,Standard,TOP PRIORITY — High Value,"Q1 rated by BRICKWORK, Q2 rated by ACUITE — uses multiple agencies","Your company already works with multiple rating agencies (ACUITE, BRICKWORK). ACER can compete on speed and cost — let us give you a third option.","With ₹821.6 Cr in rated instruments across two quarters, adding ACER's name strengthens your credibility with lenders.",Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at ACUITE, BRICKWORK in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹821.6 Cr."
Gama Infraprop Pvt. Ltd.,696.07,81.07,615.0,CARE,CRISIL,"CARE, CRISIL",True,Bank Guarantee / Letter of Credit / Term Loan,Bank Guarantee / Letter Of credit / Long term Loans / Term loans,Mar 2027,Apr 2027,LOW/MEDIUM,LOW (<90 days),Construction/Infra,Standard,TOP PRIORITY — High Value,"Q1 rated by CARE, Q2 rated by CRISIL — uses multiple agencies","Your company already works with multiple rating agencies (CARE, CRISIL). ACER can compete on speed and cost — let us give you a third option.","With ₹696.1 Cr in rated instruments across two quarters, adding ACER's name strengthens your credibility with lenders.",Dec 2026–Jan 2027,Jan–Feb 2027,Dec 2026–Jan 2027,"Company INC at CARE, CRISIL in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹696.1 Cr."
M R K R Constructions & Inds. Pvt. Ltd.,430.0,200.0,230.0,IND-RA,CRISIL,"CRISIL, IND-RA",True,Fund-Based,Bank Guarantee / Long term Loans,Dec 2026,Apr 2027,HOT,LOW (<90 days),Construction/Infra,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by IND-RA, Q2 rated by CRISIL — uses multiple agencies","Your company already works with multiple rating agencies (CRISIL, IND-RA). ACER can compete on speed and cost — let us give you a third option.","With ₹430.0 Cr in rated instruments across two quarters, adding ACER's name strengthens your credibility with lenders.",Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at CRISIL, IND-RA in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹430.0 Cr."
Premier Plasmotec Pvt. Ltd.,209.63,207.47,2.16,CARE,BRICKWORK,"BRICKWORK, CARE",True,NCD/Bond / Term Loan,Term loans,Mar 2027,Apr 2027,LOW/MEDIUM,LOW (<90 days),Other,NCD in Q1,HIGH PRIORITY — Multi-Agency,"Q1 rated by CARE, Q2 rated by BRICKWORK — uses multiple agencies","Your company already works with multiple rating agencies (BRICKWORK, CARE). ACER can compete on speed and cost — let us give you a third option.","With ₹209.6 Cr in rated instruments across two quarters, adding ACER's name strengthens your credibility with lenders.",Dec 2026–Jan 2027,Jan–Feb 2027,Dec 2026–Jan 2027,"Company INC at BRICKWORK, CARE in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹209.6 Cr."
Shinde Developers Pvt. Ltd.,123.0,70.0,53.0,BRICKWORK,IND-RA,"BRICKWORK, IND-RA",True,Bank Guarantee,Non-government debt,Mar 2027,Apr 2027,LOW/MEDIUM,LOW (<90 days),Other,NCD in Q2,HIGH PRIORITY — Multi-Agency,"Q1 rated by BRICKWORK, Q2 rated by IND-RA — uses multiple agencies","Your company already works with multiple rating agencies (BRICKWORK, IND-RA). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Dec 2026–Jan 2027,Jan–Feb 2027,Dec 2026–Jan 2027,"Company INC at BRICKWORK, IND-RA in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹123.0 Cr."
Deep (India) Enterprises Pvt. Ltd.,116.77,41.5,75.27,BRICKWORK,CARE,"BRICKWORK, CARE",True,Fund-Based / Term Loan,Fund based financial facility/instrument / Term loans,Dec 2026,May 2027,HOT,LOW (<90 days),Other,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by BRICKWORK, Q2 rated by CARE — uses multiple agencies","Your company already works with multiple rating agencies (BRICKWORK, CARE). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at BRICKWORK, CARE in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹116.8 Cr."
Ramiya Constructions Pvt. Ltd.,108.43,31.43,77.0,BRICKWORK,CRISIL,"BRICKWORK, CRISIL",True,Bank Guarantee,Bank Guarantee / Long term Loans,Mar 2027,Apr 2027,LOW/MEDIUM,LOW (<90 days),Construction/Infra,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by BRICKWORK, Q2 rated by CRISIL — uses multiple agencies","Your company already works with multiple rating agencies (BRICKWORK, CRISIL). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Dec 2026–Jan 2027,Jan–Feb 2027,Dec 2026–Jan 2027,"Company INC at BRICKWORK, CRISIL in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹108.4 Cr."
Anand Motor Agencies Ltd.,59.09,29.5,29.59,CRISIL,CARE,"CARE, CRISIL",True,Fund-Based,Fund based financial facility/instrument / Letter Of credit / Term loans,Mar 2027,Apr 2027,LOW/MEDIUM,LOW (<90 days),Automobiles,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by CRISIL, Q2 rated by CARE — uses multiple agencies","Your company already works with multiple rating agencies (CARE, CRISIL). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Dec 2026–Jan 2027,Jan–Feb 2027,Dec 2026–Jan 2027,"Company INC at CARE, CRISIL in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹59.1 Cr."
A & T Infracon Pvt. Ltd.,57.0,10.0,47.0,CARE,IND-RA,"CARE, IND-RA",True,Bank Guarantee,Non-fund based working capital limit / Term loans,Dec 2026,Apr 2027,HOT,LOW (<90 days),Construction/Infra,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by CARE, Q2 rated by IND-RA — uses multiple agencies","Your company already works with multiple rating agencies (CARE, IND-RA). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at CARE, IND-RA in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹57.0 Cr."
