Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Month,Escalation_Date,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle
L & W Construction Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-31,LOW/MEDIUM,Mar 2027,2027-03-31,1830.0,Construction,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Cloudtail India Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2026-03-31,LOW/MEDIUM,Mar 2027,2027-03-31,1750.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Nandan Petrochem Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-20,LOW/MEDIUM,Mar 2027,2027-03-20,245.0,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
J G Hosiery Pvt. Ltd.,ICRA,NCD/Bond,A/A2+,2025-12-23,HOT,Dec 2026,2026-12-23,230.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
L & W Building Solutions Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-31,LOW/MEDIUM,Mar 2027,2027-03-31,205.0,Construction,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Gina Engineering Co. Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-19,LOW/MEDIUM,Mar 2027,2027-03-19,130.0,Manufacturing,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-19 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Davariya Brothers Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,115.19,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
V S Ferrous Enterprises Pvt. Ltd.,ICRA,NCD/Bond,B+,2026-03-12,LOW/MEDIUM,Mar 2027,2027-03-12,50.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-12 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Chowgule Industries Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,2025-12-05,HOT,Dec 2026,2026-12-05,40.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Surajbhan Rajkumar Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2026-03-16,LOW/MEDIUM,Mar 2027,2027-03-16,35.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-16 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Savla Foods & Cold Storage Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-26,LOW/MEDIUM,Mar 2027,2027-03-26,29.39,Agro/Food,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-26 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Mor Alloys Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-10,HOT,Dec 2026,2026-12-10,16.55,Steel & Metals,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Grentex & Co. Pvt. Ltd.,ICRA,NCD/Bond,BB/A4+,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,15.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Weener Empire Plastics Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-24,HOT,Dec 2026,2026-12-24,15.0,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Strawberry Studio Exports Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2026-03-16,LOW/MEDIUM,Mar 2027,2027-03-16,12.7,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-16 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Rasi Electrodes Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,10.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Glitter Metals Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2026-03-18,LOW/MEDIUM,Mar 2027,2027-03-18,10.0,Steel & Metals,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-18 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
