Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Month,Escalation_Date,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle,Amount_Display
L & W Construction Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-31,LOW/MEDIUM,Mar 2027,2027-03-31,1830.0,Construction,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹1830.0 Cr
Cloudtail India Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2026-03-31,LOW/MEDIUM,Mar 2027,2027-03-31,1750.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹1750.0 Cr
Nandan Petrochem Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-20,LOW/MEDIUM,Mar 2027,2027-03-20,245.0,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹245.0 Cr
J G Hosiery Pvt. Ltd.,ICRA,NCD/Bond,A/A2+,2025-12-23,HOT,Dec 2026,2026-12-23,230.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹230.0 Cr
L & W Building Solutions Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-31,LOW/MEDIUM,Mar 2027,2027-03-31,205.0,Construction,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹205.0 Cr
Machino Plastics Ltd.,ICRA,Term Loan,BB+,2026-03-11,LOW/MEDIUM,Mar 2027,2027-03-11,162.2,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹162.2 Cr
Sterling Distillers Pvt. Ltd.,ICRA,Term Loan,BB+,2026-03-19,LOW/MEDIUM,Mar 2027,2027-03-19,150.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-19 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹150.0 Cr
Gina Engineering Co. Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-19,LOW/MEDIUM,Mar 2027,2027-03-19,130.0,Manufacturing,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-19 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹130.0 Cr
Davariya Brothers Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,115.19,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹115.2 Cr
Therapiva Pvt. Ltd.,ICRA,Term Loan,B-,2026-03-20,LOW/MEDIUM,Mar 2027,2027-03-20,103.8,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹103.8 Cr
