Pipeline_Window,Agency,Records,Unique,Total_Cr
October 2026,ACUITE,688,340,37674.52
October 2026,BRICKWORK,822,471,21660.95
October 2026,CARE,997,566,18686.43
October 2026,CRISIL,2255,1220,34246.44
October 2026,ICRA,463,263,12255.16
October 2026,IND-RA,289,249,14470.59
October 2026,Infomerics,447,242,24932.9
Q1 2027,ACUITE,209,113,4757.41
Q1 2027,BRICKWORK,483,248,10397.93
Q1 2027,CARE,275,147,11003.81
Q1 2027,CRISIL,793,429,13593.15
Q1 2027,ICRA,165,94,6418.38
Q1 2027,IND-RA,84,68,14033.14
Q1 2027,Infomerics,466,246,28727.89
Q2 2027,ACUITE,258,128,4279.03
Q2 2027,BRICKWORK,153,94,8138.9
Q2 2027,CARE,393,239,19886.23
Q2 2027,CRISIL,519,285,10885.04
Q2 2027,ICRA,148,85,12057.84
Q2 2027,IND-RA,186,177,9748.88
