Company Name,Agency,Instrument Type,Rating,Rating Date,Amount Cr,Sector,Current Urgency,NCD_Flag,Source,Pipeline_Window,Escalation_Date,Escalation_Month,Call_Window,Tier_Label,Agency_Count,Why Target,ACER Pitch Angle,Window_Order,Multi_Window_Flag
A & T Infracon Pvt. Ltd.,IND-RA,Non-Fund-Based,A 3,08-Apr-2026,45.0,Construction,LOW,Standard,D365,October 2026,2026-10-05,Oct 2026,Oct Wk1 (Oct 1-7),TIER 6 — MEDIUM,1,INC rating hits MEDIUM threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,1,Multi-Window Priority
A & T Infracon Pvt. Ltd.,IND-RA,Term Loan,BBB-,08-Apr-2026,1.1,Construction,LOW,Standard,D365,October 2026,2026-10-05,Oct 2026,Oct Wk1 (Oct 1-7),TIER 6 — MEDIUM,1,INC rating hits MEDIUM threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,1,Multi-Window Priority
A & T Infracon Pvt. Ltd.,IND-RA,Term Loan,BBB-,08-Apr-2026,0.9,Construction,LOW,Standard,D365,October 2026,2026-10-05,Oct 2026,Oct Wk1 (Oct 1-7),TIER 6 — MEDIUM,1,INC rating hits MEDIUM threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,1,Multi-Window Priority
A & T Infracon Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-05,10.0,Construction,HOT,Standard,D365,Q1 2027,2026-12-05,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority
A & T Infracon Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 3,2026-04-08,45.0,Construction,LOW (<90 days),Standard,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (81 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-fund based working capital limit at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority
A & T Infracon Pvt. Ltd.,IND-RA,Term loans,BBB-,2026-04-08,0.9,Construction,LOW (<90 days),Standard,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (81 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority
A & T Infracon Pvt. Ltd.,IND-RA,Term loans,BBB-,2026-04-08,1.1,Construction,LOW (<90 days),Standard,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (81 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority
A F P Manufacturing Co. Pvt. Ltd.,IND-RA,Term Loan,B-,16-Jan-2026,39.5,Manufacturing,LOW,Standard,D365,October 2026,2026-10-13,Oct 2026,Oct Wk2 (Oct 8-14),TIER 5 — HOT,1,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,1,Multi-Window Priority
A F P Manufacturing Co. Pvt. Ltd.,ACUITE,Term Loan,BB,2026-03-23,23.46,Manufacturing,LOW/MEDIUM,Standard,D365,Q1 2027,2027-03-23,Mar 2027,Dec 2026 – Jan 2027,Tier 6 — Medium/Low,1,INC rating hits ULTRA HOT on 2027-03-23 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority
A F P Manufacturing Co. Pvt. Ltd.,ACUITE,Term Loan,BB-,2026-03-23,2.64,Manufacturing,LOW/MEDIUM,Standard,D365,Q1 2027,2027-03-23,Mar 2027,Dec 2026 – Jan 2027,Tier 6 — Medium/Low,1,INC rating hits ULTRA HOT on 2027-03-23 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority
