Sector,Pipeline_Window,Records,Unique,Total_Cr
Agro & Food,October 2026,514,287,9494.3
Agro & Food,Q1 2027,238,148,6646.44
Agro & Food,Q2 2027,102,64,1749.85
Automobiles,October 2026,369,191,5602.43
Automobiles,Q1 2027,30,15,485.76
Automobiles,Q2 2027,81,51,1089.95
BFSI,October 2026,60,35,1566.53
BFSI,Q1 2027,14,10,310.33
BFSI/NBFC,Q2 2027,22,12,1396.96
Chemicals & Pharma,October 2026,279,148,3437.27
Chemicals & Pharma,Q1 2027,148,63,2466.17
Chemicals & Pharma,Q2 2027,61,32,998.86
Construction,October 2026,632,344,53421.62
Construction,Q1 2027,239,135,17964.95
Construction,Q2 2027,155,100,13938.26
Education,October 2026,9,5,252.02
Energy,October 2026,212,108,12967.4
Energy,Q1 2027,93,51,9561.25
Energy/Power,Q2 2027,77,37,13147.22
Healthcare,October 2026,147,89,2412.19
Healthcare,Q1 2027,40,26,495.83
Healthcare,Q2 2027,27,18,1009.04
Hotels & Tourism,October 2026,73,45,3035.1
Hotels & Tourism,Q1 2027,14,9,861.1600000000001
Hotels & Tourism,Q2 2027,8,7,443.71
IT/Technology,October 2026,216,108,3673.66
IT/Technology,Q1 2027,98,50,1786.12
IT/Technology,Q2 2027,63,33,1203.63
Infrastructure,October 2026,39,20,1883.54
Jewellery,Q1 2027,30,17,731.03
Jewellery/Gems,October 2026,52,38,1507.46
Logistics,October 2026,121,72,2225.85
Logistics,Q1 2027,39,21,536.14
Logistics,Q2 2027,8,6,203.88
Manufacturing,October 2026,445,222,7275.3
Manufacturing,Q1 2027,142,70,2115.82
Media/Retail,October 2026,17,9,277.94
Mining,Q1 2027,19,10,478.2
Mining & Minerals,October 2026,35,16,1190.19
Mining & Minerals,Q2 2027,43,21,845.98
Other,October 2026,1882,990,37339.82
Other,Q1 2027,1107,576,40812.75
Other,Q2 2027,834,509,25409.3
Paper/Packaging,October 2026,141,78,1484.6299999999999
Paper/Packaging,Q1 2027,29,17,505.96999999999997
Paper/Packaging,Q2 2027,26,16,369.13
Steel & Metals,October 2026,430,226,8056.54
Steel & Metals,Q1 2027,134,76,2235.38
Steel & Metals,Q2 2027,90,49,2190.18
Textiles,October 2026,244,121,6252.9400000000005
Textiles,Q1 2027,57,29,909.72
Textiles,Q2 2027,60,35,999.97
Trading/Exports,October 2026,44,27,570.26
Trading/Exports,Q1 2027,4,2,28.69
