Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Month,Escalation_Date,Tier,Priority_Score,Agency_Count,Calling_Sequence,Amount_Cr,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle
T B E A Energy (India) Pvt. Ltd.,BRICKWORK,Non-Fund-Based,A 4,2025-12-15,HOT,Dec 2026,2026-12-15,Tier 2 — Dual Agency,9,2,Sep 2026 — RM,959.34,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-15 — prime Q1 2027 renewal target,Your Non-Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
T B E A Energy (India) Pvt. Ltd.,BRICKWORK,Fund-Based,B+,2025-12-15,HOT,Dec 2026,2026-12-15,Tier 2 — Dual Agency,8,2,Sep 2026 — RM,393.3,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-15 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
T B E A Energy (India) Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,2025-12-30,LOW/MEDIUM,Dec 2026,2026-12-30,Tier 2 — Dual Agency,8,2,Sep 2026 — RM,678.5,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Dembla Valves Ltd.,IND-RA,Fund-Based,A 4,2025-12-19,HOT,Dec 2026,2026-12-19,Tier 2 — Dual Agency,8,2,Sep 2026 — RM,100.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Goa Sponge & Power Ltd.,IND-RA,NCD/Bond,B/A4,2025-12-19,HOT,Dec 2026,2026-12-19,Tier 2 — Dual Agency,8,2,Sep 2026 — RM,80.0,Energy,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Abhiraj Engicon Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,2025-12-19,HOT,Dec 2026,2026-12-19,Tier 2 — Dual Agency,8,2,Sep 2026 — RM,16.39,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mahalaxmi Automotives Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-05,HOT,Dec 2026,2026-12-05,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,73.5,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jay Bharat Spices Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-08,HOT,Dec 2026,2026-12-08,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,42.0,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
G S R Ventures Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-11,HOT,Dec 2026,2026-12-11,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,35.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mahalaxmi Automotives Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,HOT,Dec 2026,2026-12-05,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,16.2,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
