Sector,Records,Unique,Total_Cr,Avg_Cr
Other,1107,576,40812.8,36.9
Construction,239,135,17965.0,75.2
Energy,93,51,9561.2,102.8
Agro/Food,238,148,6646.4,27.9
Chemicals/Pharma,148,63,2466.2,16.7
Steel & Metals,134,76,2235.4,16.7
Manufacturing,142,70,2115.8,14.9
IT/Technology,98,50,1786.1,18.2
Textiles,57,29,909.7,16.0
Hotels/Tourism,14,9,861.2,61.5
Jewellery,30,17,731.0,24.4
Logistics,39,21,536.1,13.7
Paper/Packaging,29,17,506.0,17.4
Healthcare,40,26,495.8,12.4
Automobiles,30,15,485.8,16.2
Mining,19,10,478.2,25.2
BFSI,14,10,310.3,22.2
Trading/Exports,4,2,28.7,7.2
