Company Name,Total_Cr,Agency,Agency_Count,Tier,Priority_Score,Q1_Month,Sector,NCD_Any
I H B Ltd.,6725.0,IND-RA,1,Tier 6 — Medium/Low,3,Mar 2027,Other,No
Gupta Power Infrastructure Limited,3960.0,Infomerics,1,Tier 6 — Medium/Low,5,Jan 2027,Construction,No
Senvion Wind Technology Pvt. Ltd.,3000.0,CARE,1,Tier 3 — NCD Priority,4,Mar 2027,Energy,YES
Schwing Stetter (India) Pvt. Ltd.,2221.8,CRISIL,1,Tier 5 — HOT,7,Dec 2026,Other,No
T B E A Energy (India) Pvt. Ltd.,2137.4,ACUITE + BRICKWORK,2,Tier 2 — Dual Agency,9,Dec 2026,Energy,No
Jaymala Infrastructure Pvt. Ltd.,1986.9,IND-RA,1,Tier 6 — Medium/Low,3,Mar 2027,Construction,No
L & W Construction Pvt. Ltd.,1900.0,ICRA,1,Tier 3 — NCD Priority,4,Mar 2027,Construction,YES
Cloudtail India Pvt. Ltd.,1750.0,ICRA,1,Tier 3 — NCD Priority,4,Mar 2027,Other,YES
Madhya Pradesh Power Generating Company Limited,1300.0,Infomerics,1,Tier 6 — Medium/Low,6,Dec 2026,Energy,No
Magnite Developers Private Limited,1200.0,Infomerics,1,Tier 3 — NCD Priority,6,Jan 2027,Other,YES
H E S Infra Ltd.,1091.0,IND-RA,1,Tier 5 — HOT,7,Dec 2026,Construction,No
Garden Court Distilleries Private Limited,1035.3,Infomerics,1,Tier 6 — Medium/Low,4,Jan 2027,Other,No
Kanpur Edibles Pvt. Ltd.,838.2,CARE,1,Tier 6 — Medium/Low,3,Mar 2027,Agro/Food,No
Shri Prabhulingeshwar Sugars and Chemicals Limited,817.6,Infomerics,1,Tier 6 — Medium/Low,5,Jan 2027,Agro/Food,No
Caprihans India Ltd.,622.8,CARE,1,Tier 3 — NCD Priority,3,Mar 2027,Other,YES
Dodhia Synthetics Limited,602.3,Infomerics,1,Tier 5 — HOT,6,Dec 2026,Other,No
Southern Power Distribution Co. Of Telangana Ltd.,593.4,CARE,1,Tier 6 — Medium/Low,2,Mar 2027,Energy,No
Aristo Securities Private Limited,547.5,Infomerics,1,Tier 3 — NCD Priority,6,Dec 2026,Other,YES
Sintex Prefab & Infra Ltd.,543.6,ACUITE,1,Tier 6 — Medium/Low,4,Feb 2027,Construction,No
Shri Rathna Akshaya Estates Private Limited,531.1,Infomerics,1,Tier 5 — HOT,7,Dec 2026,Other,No
Jaywant Sugars Limited,524.4,Infomerics,1,Tier 5 — HOT,7,Dec 2026,Agro/Food,No
Electronics Corpn. Of Tamil Nadu Ltd.,520.0,IND-RA,1,Tier 6 — Medium/Low,3,Mar 2027,Other,No
C P L Pharmaceuticals Pvt. Ltd.,489.6,IND-RA,1,Tier 5 — HOT,6,Dec 2026,Chemicals/Pharma,No
Krishna Constellation Pvt. Ltd.,446.0,CRISIL,1,Tier 5 — HOT,6,Dec 2026,Other,No
W F B Baird & Co. India Pvt. Ltd.,433.7,CARE,1,Tier 3 — NCD Priority,6,Dec 2026,Other,YES
Sanvijay Rolling & Engg. Ltd.,429.5,BRICKWORK,1,Tier 5 — HOT,6,Dec 2026,Steel & Metals,No
