Sector,Q1_Cr,Q1_Cos,Q2_Cr,Q2_Cos,Combined_Cr
Other,42929.7,638.0,25409.3,509.0,68339.0
Construction,17332.2,124.0,0.0,0.0,17332.2
Construction/Infra,0.0,0.0,13938.3,100.0,13938.3
Energy/Power,0.0,0.0,13147.2,37.0,13147.2
Energy,9422.2,49.0,0.0,0.0,9422.2
Agro/Food,6603.2,146.0,1749.8,64.0,8353.0
Steel & Metals,2135.9,74.0,2190.2,49.0,4326.1
Chemicals/Pharma,2411.2,60.0,998.9,32.0,3410.0
IT/Technology,1757.2,47.0,1203.6,33.0,2960.9
Textiles,796.7,24.0,1000.0,35.0,1796.7
Manufacturing,1634.2,53.0,0.0,0.0,1634.2
Healthcare,495.8,26.0,1009.0,18.0,1504.9
BFSI/NBFC,0.0,0.0,1397.0,12.0,1397.0
Hotels/Tourism,851.7,7.0,443.7,7.0,1295.4
Automobiles,0.0,0.0,1090.0,51.0,1090.0
Paper/Packaging,506.0,17.0,369.1,16.0,875.1
Mining/Minerals,0.0,0.0,846.0,21.0,846.0
Logistics,536.1,21.0,203.9,6.0,740.0
Jewellery,731.0,17.0,0.0,0.0,731.0
Mining,478.2,10.0,0.0,0.0,478.2
BFSI,310.3,10.0,0.0,0.0,310.3
