Company Name,Call_Group,RM_Tier,Aug_Week,Amt_Cr,NCD,Rev_Avg_Lakhs,Sector,Agency,Windows,Window_Count,Urgency,Why_Target,Pitch
Gupta Power Infrastructure Limited,Q1 CONSTRUCTION (C),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),3960.0,0,7.0,Construction,Infomerics,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2027-01-14 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.
Schwing Stetter (India) Pvt. Ltd.,GHOST HOT (D),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),2221.82,0,7.0,Other,CRISIL,October 2026,1,HOT → escalating to ULTRA HOT by Dec 2026,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Garden Court Distilleries Private Limited,MULTI-WINDOW (A),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),2070.68,0,7.0,Other,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Jaymala Infrastructure Pvt. Ltd.,Q1 CONSTRUCTION (C),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1986.87,0,7.0,Construction,IND-RA,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
L & W Construction Pvt. Ltd.,Q1 CONSTRUCTION (C),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1900.0,1,20.0,Construction,ICRA,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Shri Prabhulingeshwar Sugars and Chemicals Limited,MULTI-WINDOW (A),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1635.1399999999999,0,7.0,Agro & Food,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Pushpit Steels Pvt. Ltd.,MULTI-WINDOW (A),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1538.26,0,7.0,Steel & Metals,ACUITE | BRICKWORK,October 2026 + Q1 2027 + Q2 2027,3,LOW,INC rating hits MEDIUM threshold on 2026-10-14 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Vijai Electricals Ltd.,MULTI-WINDOW (A),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1391.24,1,20.0,Energy,CARE | IND-RA,October 2026 + Q1 2027 + Q2 2027,3,LOW,INC rating hits MEDIUM threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
T B E A Energy (India) Pvt. Ltd.,GHOST HOT (D),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1352.64,0,7.0,Energy,BRICKWORK,October 2026,1,HOT → escalating to ULTRA HOT by Dec 2026,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,Your Non-Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Gama Infraprop Pvt. Ltd.,MULTI-WINDOW (A),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1311.0700000000002,0,7.0,Construction,CRISIL | CARE,October 2026 + Q1 2027 + Q2 2027,3,LOW,INC rating hits MEDIUM threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Mahendra Strips Pvt. Ltd.,MULTI-WINDOW (A),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1309.3,0,7.0,Other,ACUITE,October 2026 + Q1 2027,2,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-11-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Sintex Prefab & Infra Ltd.,MULTI-WINDOW (A),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1272.26,0,7.0,Construction,ACUITE,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-11-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Iron Triangle Ltd.,GHOST HOT (D),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1227.79,0,7.0,Steel & Metals,ICRA | CRISIL,October 2026,1,TIER 2 — Dual-agency (2 raters),Multi-agency INC — October deadline approaching; Aug pre-call secures relationship first,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Hubli Electricity Supply Co. Ltd.,MULTI-WINDOW (A),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1208.78,0,7.0,Energy,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-25 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
H E S Infra Ltd.,Q1 CONSTRUCTION (C),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1091.0,0,7.0,Construction,IND-RA,Q1 2027,1,HOT,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Dee Vee Projects Ltd.,GHOST HOT (D),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),932.2,1,20.0,Construction,IND-RA | ACUITE | CARE,October 2026,1,TIER 1 — Triple-agency (3+ raters),Multi-agency INC — October deadline approaching; Aug pre-call secures relationship first,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
Goel Ganga India Pvt. Ltd.,MULTI-WINDOW (A),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),923.92,0,7.0,Other,ACUITE,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Nectar Lifesciences Ltd.,GHOST HOT (D),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),915.31,0,7.0,Other,BRICKWORK | CARE,October 2026,1,TIER 2 — Dual-agency (2 raters),Multi-agency INC — October deadline approaching; Aug pre-call secures relationship first,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Vijai Electricals Ltd.,DUAL-QUARTER (B),TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),895.18,1,20.0,Energy,,Q1 2027 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
