Company Name,Agency,Instrument Type,Rating,Rating Date,Amount Cr,Sector,Current Urgency,NCD_Flag,Source,Pipeline_Window,Escalation_Date,Escalation_Month,Call_Window,Tier_Label,Agency_Count,Why Target,ACER Pitch Angle,Window_Order,Multi_Window_Flag,Sector_norm
Shri Vaari Electricals Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,12-Jan-2026,6.0,Energy,LOW,Standard,D365,October 2026,2026-10-09,Oct 2026,Oct Wk2 (Oct 8-14),TIER 2 — Dual-agency (2 raters),2,INC rating hits HOT threshold on 2026-10-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Kiri Oilfield Services Pvt. Ltd.,CRISIL,Term Loan,BBB-,15-Apr-2026,65.28,Energy,LOW,Standard,D365,October 2026,2026-10-12,Oct 2026,Oct Wk2 (Oct 8-14),TIER 2 — Dual-agency (2 raters),2,INC rating hits MEDIUM threshold on 2026-10-12 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority,Energy
Kiri Oilfield Services Pvt. Ltd.,CRISIL,Bank Guarantee,A 3,15-Apr-2026,15.35,Energy,LOW,Standard,D365,October 2026,2026-10-12,Oct 2026,Oct Wk2 (Oct 8-14),TIER 2 — Dual-agency (2 raters),2,INC rating hits MEDIUM threshold on 2026-10-12 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority,Energy
Kiri Oilfield Services Pvt. Ltd.,CRISIL,Fund-Based,BBB-,15-Apr-2026,0.88,Energy,LOW,Standard,D365,October 2026,2026-10-12,Oct 2026,Oct Wk2 (Oct 8-14),TIER 2 — Dual-agency (2 raters),2,INC rating hits MEDIUM threshold on 2026-10-12 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority,Energy
Su-Solartech Systems Pvt. Ltd.,ACUITE,Term Loan,A 4,23-Apr-2026,4.5,Energy,LOW,Standard,D365,October 2026,2026-10-20,Oct 2026,Oct Wk3 (Oct 15-21),TIER 2 — Dual-agency (2 raters),2,INC rating hits MEDIUM threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,1,Multi-Window Priority,Energy
Su-Solartech Systems Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,23-Apr-2026,3.0,Energy,LOW,Standard,D365,October 2026,2026-10-20,Oct 2026,Oct Wk3 (Oct 15-21),TIER 2 — Dual-agency (2 raters),2,INC rating hits MEDIUM threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,1,Multi-Window Priority,Energy
Su-Solartech Systems Pvt. Ltd.,ACUITE,Letter of Credit,A 4,23-Apr-2026,1.5,Energy,LOW,Standard,D365,October 2026,2026-10-20,Oct 2026,Oct Wk3 (Oct 15-21),TIER 2 — Dual-agency (2 raters),2,INC rating hits MEDIUM threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,1,Multi-Window Priority,Energy
Su-Solartech Systems Pvt. Ltd.,ACUITE,Term Loan,B-,23-Apr-2026,1.5,Energy,LOW,Standard,D365,October 2026,2026-10-20,Oct 2026,Oct Wk3 (Oct 15-21),TIER 2 — Dual-agency (2 raters),2,INC rating hits MEDIUM threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,1,Multi-Window Priority,Energy
Su-Solartech Systems Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,30-Apr-2026,7.0,Energy,LOW,Standard,D365,October 2026,2026-10-27,Oct 2026,Oct Wk4 (Oct 22-31),TIER 2 — Dual-agency (2 raters),2,INC rating hits MEDIUM threshold on 2026-10-27 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority,Energy
Su-Solartech Systems Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,30-Apr-2026,4.0,Energy,LOW,Standard,D365,October 2026,2026-10-27,Oct 2026,Oct Wk4 (Oct 22-31),TIER 2 — Dual-agency (2 raters),2,INC rating hits MEDIUM threshold on 2026-10-27 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority,Energy
