Company Name,Agency,Instrument Type,Rating,Rating Date,Amount Cr,Sector,Current Urgency,NCD_Flag,Source,Pipeline_Window,Escalation_Date,Escalation_Month,Call_Window,Tier_Label,Agency_Count,Why Target,ACER Pitch Angle,Window_Order,Multi_Window_Flag,Sector_norm,Fee_Avg_Lakhs,NCD_bool
Goa Sponge & Power Ltd.,IND-RA,NCD/Bond,B/A4,2025-12-19,80.0,Energy,HOT,NCD — SEBI License Required,D365,Q1 2027,2026-12-19,Dec 2026,Sep 2026 — RM,Tier 2 — Dual Agency,2,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,20.0,True
Luker Electric Technologies Pvt. Ltd.,CARE,NCD/Bond,BBB/A3,2025-12-08,9.0,Energy,HOT,NCD — SEBI License Required,D365,Q1 2027,2026-12-08,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 3 — NCD Priority,1,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,20.0,True
Senvion Wind Technology Pvt. Ltd.,CARE,NCD/Bond,BB/A4,2026-03-10,3000.0,Energy,LOW/MEDIUM,NCD — SEBI License Required,D365,Q1 2027,2027-03-10,Mar 2027,Dec 2026 – Jan 2027,Tier 3 — NCD Priority,1,INC rating hits ULTRA HOT on 2027-03-10 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,20.0,True
Eneroil Offshore Drilling Ltd.,CARE,NCD/Bond,BB-/A4,2026-03-20,20.0,Energy,LOW/MEDIUM,NCD — SEBI License Required,D365,Q1 2027,2027-03-20,Mar 2027,Dec 2026 – Jan 2027,Tier 3 — NCD Priority,1,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,20.0,True
Eneroil Offshore Drilling Ltd.,CARE,NCD/Bond,BB-/A4,2026-03-20,8.5,Energy,LOW/MEDIUM,NCD — SEBI License Required,D365,Q1 2027,2027-03-20,Mar 2027,Dec 2026 – Jan 2027,Tier 3 — NCD Priority,1,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,20.0,True
C S H Power Himoinsa Pvt. Ltd.,CARE,Non-government debt,A 4,2026-04-10,5.0,Energy/Power,LOW (<90 days),NCD — SEBI License Required,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority,Energy,20.0,True
Dhanlaxmi Electricals Pvt. Ltd.,IND-RA,Non-government debt,D,2026-04-02,23.0,Energy/Power,LOW (<90 days),NCD — SEBI License Required,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Single Window,Energy,20.0,True
Essem Auto Electricals Pvt. Ltd.,CARE,Non-government debt,BB+/A4,2026-04-08,0.0,Energy/Power,LOW (<90 days),NCD — SEBI License Required,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (81 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority,Energy,20.0,True
Everrenew Energy Pvt. Ltd.,IND-RA,Non-government debt,BB/A4+,2026-04-13,25.0,Energy/Power,LOW (<90 days),NCD — SEBI License Required,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority,Energy,20.0,True
Everrenew Energy Pvt. Ltd.,IND-RA,Non-government debt,BB/A4+,2026-04-13,141.0,Energy/Power,LOW (<90 days),NCD — SEBI License Required,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority,Energy,20.0,True
Power Max (India) Pvt. Ltd.,IND-RA,Non-government debt,D,2026-04-02,48.15,Energy/Power,LOW (<90 days),NCD — SEBI License Required,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Single Window,Energy,20.0,True
Savair Energy Ltd.,CARE,Non-government debt,D,2026-04-09,47.0,Energy/Power,LOW (<90 days),NCD — SEBI License Required,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (80 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Single Window,Energy,20.0,True
Sri Power Generation (India) Pvt. Ltd. [Merged],IND-RA,Non-government debt,B-/A4,2026-04-02,8.25,Energy/Power,LOW (<90 days),NCD — SEBI License Required,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Single Window,Energy,20.0,True
Telawne Power Equipments Pvt. Ltd.,IND-RA,Non-government debt,B/A4,2026-04-28,28.0,Energy/Power,LOW (<90 days),NCD — SEBI License Required,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (61 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority,Energy,20.0,True
Vijai Electricals Ltd.,CARE,Non-government debt,BB-/A4,2026-04-10,61.0,Energy/Power,LOW (<90 days),NCD — SEBI License Required,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority,Energy,20.0,True
Vijai Electricals Ltd.,CARE,Non-government debt,BB-/A4,2026-04-10,285.78,Energy/Power,LOW (<90 days),NCD — SEBI License Required,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority,Energy,20.0,True
