Company Name,Agency,Instrument Type,Rating,Rating Date,Amount Cr,Sector,Current Urgency,NCD_Flag,Source,Pipeline_Window,Escalation_Date,Escalation_Month,Call_Window,Tier_Label,Agency_Count,Why Target,ACER Pitch Angle,Window_Order,Multi_Window_Flag,Sector_norm,Fee_Avg_Lakhs,NCD_bool
T B E A Energy (India) Pvt. Ltd.,BRICKWORK,Non-Fund-Based,A 4,2025-12-15,959.34,Energy,HOT,Standard,D365,Q1 2027,2026-12-15,Dec 2026,Sep 2026 — RM,Tier 2 — Dual Agency,2,INC rating hits ULTRA HOT on 2026-12-15 — prime Q1 2027 renewal target,Your Non-Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,3.0,False
T B E A Energy (India) Pvt. Ltd.,BRICKWORK,Fund-Based,B+,2025-12-15,393.3,Energy,HOT,Standard,D365,Q1 2027,2026-12-15,Dec 2026,Sep 2026 — RM,Tier 2 — Dual Agency,2,INC rating hits ULTRA HOT on 2026-12-15 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,5.0,False
T B E A Energy (India) Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,2025-12-30,678.5,Energy,LOW/MEDIUM,Standard,D365,Q1 2027,2026-12-30,Dec 2026,Sep 2026 — RM,Tier 2 — Dual Agency,2,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,4.0,False
Goa Sponge & Power Ltd.,IND-RA,NCD/Bond,B/A4,2025-12-19,80.0,Energy,HOT,NCD — SEBI License Required,D365,Q1 2027,2026-12-19,Dec 2026,Sep 2026 — RM,Tier 2 — Dual Agency,2,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,20.0,True
Shrishaila Electricals (India) Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-16,11.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-16,Dec 2026,Sep 2026 — RM,Tier 2 — Dual Agency,2,INC rating hits ULTRA HOT on 2026-12-16 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,4.0,False
Goa Sponge & Power Ltd.,ACUITE,Bank Guarantee,A 4+,2025-12-02,2.5,Energy,HOT,Standard,D365,Q1 2027,2026-12-02,Dec 2026,Sep 2026 — RM,Tier 2 — Dual Agency,2,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,4.0,False
Shrishaila Electricals (India) Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-26,8.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-26,Dec 2026,Sep 2026 — RM,Tier 2 — Dual Agency,2,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,4.0,False
Shrishaila Electricals (India) Pvt. Ltd.,ACUITE,Short-Term Loan,A 4,2025-12-26,6.93,Energy,HOT,Standard,D365,Q1 2027,2026-12-26,Dec 2026,Sep 2026 — RM,Tier 2 — Dual Agency,2,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Short-Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,3.0,False
Shrishaila Electricals (India) Pvt. Ltd.,ACUITE,Term Loan,B,2025-12-26,0.07,Energy,HOT,Standard,D365,Q1 2027,2026-12-26,Dec 2026,Sep 2026 — RM,Tier 2 — Dual Agency,2,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,5.0,False
T B E A Energy (India) Pvt. Ltd.,ACUITE,Short-Term Loan,A 4+,2025-12-30,71.25,Energy,LOW/MEDIUM,Standard,D365,Q1 2027,2026-12-30,Dec 2026,Sep 2026 — RM,Tier 2 — Dual Agency,2,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your Short-Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,3.0,False
T B E A Energy (India) Pvt. Ltd.,ACUITE,Term Loan,BB-,2025-12-30,35.0,Energy,LOW/MEDIUM,Standard,D365,Q1 2027,2026-12-30,Dec 2026,Sep 2026 — RM,Tier 2 — Dual Agency,2,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,5.0,False
Luker Electric Technologies Pvt. Ltd.,CARE,NCD/Bond,BBB/A3,2025-12-08,9.0,Energy,HOT,NCD — SEBI License Required,D365,Q1 2027,2026-12-08,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 3 — NCD Priority,1,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,20.0,True
Senvion Wind Technology Pvt. Ltd.,CARE,NCD/Bond,BB/A4,2026-03-10,3000.0,Energy,LOW/MEDIUM,NCD — SEBI License Required,D365,Q1 2027,2027-03-10,Mar 2027,Dec 2026 – Jan 2027,Tier 3 — NCD Priority,1,INC rating hits ULTRA HOT on 2027-03-10 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,20.0,True
