Company Name,Agency,Pipeline_Window,Instruments,Rating,Rating_Date,Amt_Cr,Urgency,Call_Window,Fee_Avg_Lakhs,NCD,Why_Target,Pitch,Energy_Subsector
Senvion Wind Technology Pvt. Ltd.,CARE,Q1 2027,NCD/Bond,BB/A4,2026-03-10,3000.0,LOW/MEDIUM,Dec 2026 – Jan 2027,20.0,True,INC rating hits ULTRA HOT on 2027-03-10 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Renewable / Green
Vidarbha Industries Power Ltd.,ICRA,Q2 2027,Non-fund-based financial facility/instrument | Term loans,D,2026-04-10,2764.24,LOW (<90 days),HOT by Jan 2027,8.0,False,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-fund-based financial facility/instrument at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
G M R Rajahmundry Energy Ltd.,CARE,Q2 2027,Bank Guarantee | Term loans,D,2026-04-08,2490.41,LOW (<90 days),HOT by Jan 2027,9.0,False,"INC since Apr 2026 (81 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
S K S Power Generation (Chhattisgarh) Ltd.,ICRA,Q2 2027,Non-fund-based financial facility/instrument | Term loans,D,2026-04-02,2135.0,LOW (<90 days),HOT by Jan 2027,8.0,False,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-fund-based financial facility/instrument at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Thermal / Conventional
T B E A Energy (India) Pvt. Ltd.,BRICKWORK,Q1 2027,Non-Fund-Based | Fund-Based,A 4,2025-12-15,1352.64,HOT,Sep 2026 — RM,8.0,False,INC rating hits ULTRA HOT on 2026-12-15 — prime Q1 2027 renewal target,Your Non-Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Madhya Pradesh Power Generating Company Limited,Infomerics,Q1 2027,Long Term Bank Facility,IVR B+ (INC)(Downgraded),2025-12-31,1300.0,LOW/MEDIUM,Sep–Oct 2026 — Call 3 months ahead,5.0,False,INC rating hits ULTRA HOT on 2026-12-31 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Thermal / Conventional
Hubli Electricity Supply Co. Ltd.,CRISIL,Q2 2027,Long term Loans | Short-term loan | Letter Of credit,D,2026-04-28,1108.78,LOW (<90 days),HOT by Jan 2027,11.0,False,"INC since Apr 2026 (61 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Utility / Discom
I L & F S Energy Development Co. Ltd.,CARE,Q2 2027,Bank Guarantee | Term loans,D,2026-04-14,1087.85,LOW (<90 days),HOT by Jan 2027,9.0,False,"INC since Apr 2026 (75 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Bhoruka Power Corpn. Ltd.,IND-RA,Q2 2027,Term loans,BB-,2026-04-02,1012.82,LOW (<90 days),HOT by Jan 2027,5.0,False,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Thermal / Conventional
T B E A Energy (India) Pvt. Ltd.,ACUITE,Q1 2027,Bank Guarantee | Short-Term Loan | Term Loan,A 4+,2025-12-30,784.75,LOW/MEDIUM,Sep 2026 — RM,12.0,False,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
