Sector,Records,Unique_Cos,Rev_Avg_Lakhs,Rev_High_Lakhs
Other,3823,1806,22028.0,29262.0
Construction,1026,489,5674.0,7503.0
Agro & Food,854,450,4570.5,6177.0
Steel & Metals,654,304,3426.0,4578.0
Manufacturing,587,283,3337.5,4432.0
Chemicals & Pharma,488,217,2718.0,3613.0
Automobiles,480,224,2622.0,3547.0
IT/Technology,377,169,2119.0,2805.0
Textiles,361,162,1996.5,2677.0
Energy,305,150,1732.0,2301.0
Healthcare,214,115,1168.5,1577.0
Paper/Packaging,196,101,1068.5,1425.0
Logistics,168,95,1004.0,1328.0
Mining & Minerals,78,32,540.5,707.0
Energy/Power,77,37,495.0,650.0
Hotels & Tourism,95,55,449.5,612.0
BFSI,74,43,429.0,577.0
Jewellery/Gems,52,38,402.0,524.0
Trading/Exports,48,29,257.0,344.0
Jewellery,30,17,235.0,304.0
Infrastructure,39,20,176.0,237.0
BFSI/NBFC,22,12,131.0,174.0
Education,9,5,82.5,106.0
Media/Retail,17,9,79.0,108.0
Mining,19,10,73.0,97.0
