Company Name,Agency,Sector,Pipeline_Window,Instruments,Rev_Avg_Lakhs,Rev_High_Lakhs,Amt_Cr,NCD,Call_Window,Current_Urgency
Everrenew Energy Pvt. Ltd.,IND-RA,Energy,October 2026,NCD / Bond | Non-Fund-Based,66.0,83.0,538.0,1,Oct Wk4 (Oct 22-31),MEDIUM
Rajasthan Liquors Ltd.,ICRA,Other,October 2026,Term Loan | NCD / Bond,65.0,82.0,70.0,1,Nov Wk4 (Nov 22-30),MEDIUM
Jayesh Industries Ltd.,BRICKWORK,Manufacturing,October 2026,NCD / Bond | Bank Guarantee,64.0,80.0,13.95,1,Nov Wk3 (Nov 15-21),LOW
Shree Hari Infraprojects Pvt. Ltd.,CARE,Construction,October 2026,NCD / Bond | Letter of Credit,63.0,79.0,420.0,1,Oct Wk2 (Oct 8-14),LOW
Samkit Diamond Export Pvt. Ltd.,ICRA,Jewellery,Q1 2027,NCD / Bond | Non-Fund-Based,63.0,79.0,10.0,1,Sep–Oct 2026 — Call 3 months ahead,HOT
Vimal Coal Pvt. Ltd.,CARE,Mining & Minerals,Q2 2027,Letter of Credit | NCD / Bond,63.0,79.0,149.95,1,HOT by Jan 2027,LOW (<90 days)
Shree Hari Infraprojects Pvt. Ltd.,CARE,Construction,Q2 2027,Letter of Credit | NCD / Bond,63.0,79.0,420.0,1,HOT by Jan 2027,LOW (<90 days)
Vimal Coal Pvt. Ltd.,CARE,Energy,October 2026,NCD / Bond | Letter of Credit,63.0,79.0,149.95,1,Oct Wk2 (Oct 8-14),LOW
Karnataka Commercial & Indl. Corpn. Pvt. Ltd.,ICRA,Other,October 2026,NCD / Bond | Term Loan | Fund-Based Facilities,60.0,78.0,45.0,1,Nov Wk4 (Nov 22-30),MEDIUM
Indian Additives Ltd.,CARE,Other,October 2026,NCD / Bond,60.0,75.0,15.5,1,Nov Wk2 (Nov 8-14),LOW
S & I B Services Pvt. Ltd.,ICRA,Other,October 2026,NCD / Bond,60.0,75.0,50.83,1,Nov Wk3 (Nov 15-21),MEDIUM
Pyrotech Workspace Solutions Pvt. Ltd.,CARE,IT/Technology,October 2026,NCD / Bond,60.0,75.0,52.0,1,Oct Wk4 (Oct 22-31),LOW
Kerafibertex International Pvt. Ltd.,CARE,Textiles,October 2026,NCD / Bond | Term Loan | Letter of Credit | Bank Guarantee,52.0,66.0,77.75,1,Nov Wk4 (Nov 22-30),LOW
Premier Polyfilm Ltd.,ICRA,Other,October 2026,NCD / Bond | Letter of Credit | Term Loan,51.0,65.0,59.0,1,Oct Wk4 (Oct 22-31),LOW
Premier Polyfilm Ltd.,ICRA,Other,Q2 2027,Letter of Credit | NCD / Bond | Term Loan,51.0,65.0,59.0,1,HOT by Jan 2027,LOW (<90 days)
Gowthami Solvent Oils Pvt. Ltd.,CARE,Chemicals & Pharma,October 2026,Term Loan | NCD / Bond,50.0,64.0,81.12,1,Oct Wk1 (Oct 1-7),LOW
Anjalee Granites Pvt. Ltd.,ICRA,Mining & Minerals,Q2 2027,Fund-Based Facilities | NCD / Bond | Term Loan,50.0,64.0,46.0,1,HOT by Jan 2027,LOW (<90 days)
Anjalee Granites Pvt. Ltd.,ICRA,Mining & Minerals,October 2026,NCD / Bond | Fund-Based Facilities | Term Loan,50.0,64.0,46.0,1,Oct Wk2 (Oct 8-14),LOW
Technobit Industries Pvt. Ltd.,CARE,IT/Technology,October 2026,Term Loan | NCD / Bond,50.0,64.0,9.02,1,Nov Wk2 (Nov 8-14),LOW
Vapi Care Pharma Pvt. Ltd.,CARE,Chemicals & Pharma,October 2026,NCD / Bond | Bank Guarantee | Term Loan,49.0,62.0,10.87,1,Oct Wk3 (Oct 15-21),MEDIUM
Kothari Metsol Pvt. Ltd.,ICRA,Other,October 2026,NCD / Bond | Term Loan | Non-Fund-Based,48.0,61.0,14.25,1,Oct Wk3 (Oct 15-21),MEDIUM
Madhu Industries Ltd.,CARE,Manufacturing,October 2026,NCD / Bond | Term Loan | Non-Fund-Based,48.0,61.0,21.21,1,Nov Wk1 (Nov 1-7),MEDIUM
Kay Jay Forgings Ltd.,ICRA,Steel & Metals,October 2026,NCD / Bond | Term Loan | Non-Fund-Based,48.0,61.0,180.0,1,Oct Wk4 (Oct 22-31),MEDIUM
K B K Biotech Pvt. Ltd.,CARE,Chemicals & Pharma,Q2 2027,NCD / Bond | Term Loan,45.0,57.0,216.0,1,HOT by Jan 2027,LOW (<90 days)
Aimco Pesticides Ltd.,CARE,Agro & Food,October 2026,NCD / Bond | Term Loan,45.0,57.0,24.0,1,Oct Wk1 (Oct 1-7),MEDIUM
Vijai Electricals Ltd.,CARE,Energy/Power,Q2 2027,NCD / Bond | Term Loan,45.0,57.0,496.05999999999995,1,HOT by Jan 2027,LOW (<90 days)
A S Motors Pvt. Ltd.,CARE,Other,Q1 2027,NCD / Bond | Term Loan,45.0,57.0,47.69,1,Dec 2026 – Jan 2027,LOW/MEDIUM
Machino Plastics Ltd.,ICRA,Chemicals & Pharma,Q1 2027,Term Loan | NCD / Bond,45.0,57.0,168.0,1,Sep 2026 — RM,LOW/MEDIUM
Eneroil Offshore Drilling Ltd.,CARE,Energy,Q1 2027,NCD / Bond | Fund-Based Facilities,45.0,57.0,30.0,1,Dec 2026 – Jan 2027,LOW/MEDIUM
Alfa Flexitubes Pvt. Ltd.,CARE,Other,Q2 2027,NCD / Bond | Term Loan,45.0,57.0,15.5,1,HOT by Jan 2027,LOW (<90 days)
R P A Unibakes Pvt. Ltd.,ICRA,Other,Q2 2027,NCD / Bond | Term Loan,45.0,57.0,81.0,1,HOT by Jan 2027,LOW (<90 days)
Excelsource International Pvt. Ltd.,CARE,Other,Q1 2027,NCD / Bond | Term Loan,45.0,57.0,137.79,1,Sep–Oct 2026 — Call 3 months ahead,HOT
Vijai Electricals Ltd.,CARE,Energy,October 2026,NCD / Bond | Term Loan,45.0,57.0,496.05999999999995,1,Oct Wk1 (Oct 1-7),LOW
Preeti Buildcon Pvt. Ltd.,CARE,Construction,October 2026,NCD / Bond | Term Loan,45.0,57.0,69.0,1,Nov Wk2 (Nov 8-14),LOW
Premier Plasmotec Pvt. Ltd.,CARE,Other,Q1 2027,NCD / Bond | Term Loan,45.0,57.0,207.47,1,Dec 2026 – Jan 2027,LOW/MEDIUM
Pragati Infra Solutions Pvt. Ltd.,CARE,Construction,October 2026,NCD / Bond | Term Loan,45.0,57.0,233.26,1,Nov Wk4 (Nov 22-30),LOW
Alfa Flexitubes Pvt. Ltd.,CARE,Steel & Metals,October 2026,NCD / Bond | Term Loan,45.0,57.0,15.5,1,Oct Wk1 (Oct 1-7),LOW
Syndicate Wiper Systems Pvt. Ltd.,CARE,Other,October 2026,NCD / Bond | Fund-Based Facilities,45.0,57.0,10.5,1,Oct Wk1 (Oct 1-7),MEDIUM
Siflon Pharma Pvt. Ltd.,ICRA,Chemicals & Pharma,October 2026,NCD / Bond | Term Loan,45.0,57.0,90.0,1,Nov Wk2 (Nov 8-14),MEDIUM
Sekhani Industries Pvt. Ltd.,CARE,Manufacturing,October 2026,Term Loan | NCD / Bond,45.0,57.0,35.3,1,Oct Wk2 (Oct 8-14),MEDIUM
Sanauto Engineers (India) Pvt. Ltd.,CARE,Manufacturing,October 2026,Term Loan | NCD / Bond,45.0,57.0,21.529999999999998,1,Nov Wk1 (Nov 1-7),LOW
Pes Installations Pvt. Ltd.,CARE,Other,October 2026,NCD / Bond | Term Loan,45.0,57.0,18.5,1,Nov Wk4 (Nov 22-30),MEDIUM
I G W India Technologies Pvt. Ltd.,CARE,IT/Technology,Q1 2027,NCD / Bond | Term Loan,45.0,57.0,154.20999999999998,1,Sep–Oct 2026 — Call 3 months ahead,HOT
Aarti Distilleries Pvt. Ltd.,ICRA,Other,October 2026,Term Loan | NCD / Bond,45.0,57.0,235.0,1,Nov Wk4 (Nov 22-30),MEDIUM
Viswaat Chemicals Ltd.,CARE,Chemicals & Pharma,Q1 2027,NCD / Bond | Term Loan,45.0,57.0,108.46000000000001,1,Sep–Oct 2026 — Call 3 months ahead,HOT
T I Medical Pvt. Ltd.,BRICKWORK,Healthcare,October 2026,NCD / Bond | Term Loan,45.0,57.0,28.72,1,Oct Wk3 (Oct 15-21),LOW
R P A Unibakes Pvt. Ltd.,ICRA,Other,October 2026,Term Loan | NCD / Bond,45.0,57.0,81.0,1,Oct Wk4 (Oct 22-31),LOW
Bagpoly International Pvt. Ltd.,CARE,Other,Q2 2027,Bank Guarantee | NCD / Bond,44.0,55.0,16.35,1,HOT by Jan 2027,LOW (<90 days)
Ktex Nonwovens Pvt. Ltd.,CARE,Other,Q1 2027,NCD / Bond | Bank Guarantee,44.0,55.0,133.48,1,Sep–Oct 2026 — Call 3 months ahead,HOT
Bagpoly International Pvt. Ltd.,CARE,Paper/Packaging,October 2026,Bank Guarantee | NCD / Bond,44.0,55.0,16.35,1,Oct Wk2 (Oct 8-14),LOW
Homera Tanning Inds. Pvt. Ltd.,ICRA,Other,October 2026,Non-Fund-Based | NCD / Bond,43.0,54.0,16.86,1,Nov Wk3 (Nov 15-21),LOW
Haryana Conductors Pvt. Ltd.,CARE,Other,October 2026,Letter of Credit | NCD / Bond,43.0,54.0,19.5,1,Oct Wk3 (Oct 15-21),LOW
Everrenew Energy Pvt. Ltd.,IND-RA,Energy/Power,Q2 2027,Other/Unknown | NCD / Bond,43.0,55.0,269.0,1,HOT by Jan 2027,LOW (<90 days)
Meena Agency Ltd.,CARE,Other,Q1 2027,NCD / Bond | Letter of Credit,43.0,54.0,29.5,1,Dec 2026 – Jan 2027,LOW/MEDIUM
S P G V Petrochem (India) Pvt. Ltd.,CARE,Chemicals & Pharma,Q2 2027,NCD / Bond,40.0,50.0,24.8,1,HOT by Jan 2027,LOW (<90 days)
Dwarka Gems Ltd.,CARE,Jewellery/Gems,October 2026,NCD / Bond,40.0,50.0,10.379999999999999,1,Nov Wk4 (Nov 22-30),LOW
Standard Infratech India Pvt. Ltd.,IND-RA,Construction,October 2026,NCD / Bond,40.0,50.0,326.1,1,Oct Wk1 (Oct 1-7),MEDIUM
Creations Jewellery Mfg. Pvt. Ltd.,ICRA,Jewellery/Gems,October 2026,NCD / Bond,40.0,50.0,54.5,1,Oct Wk4 (Oct 22-31),LOW
Bombay Super Hybrid Seeds Ltd.,CARE,Other,Q1 2027,NCD / Bond,40.0,50.0,105.0,1,Dec 2026 – Jan 2027,LOW/MEDIUM
Sunplast Electronics Pvt. Ltd.,BRICKWORK,Other,Q2 2027,NCD / Bond,40.0,50.0,49.0,1,HOT by Jan 2027,LOW (<90 days)
Alleppey Company Ltd.,CARE,Other,October 2026,NCD / Bond,40.0,50.0,16.2,1,Oct Wk3 (Oct 15-21),MEDIUM
Para Products Pvt. Ltd.,ICRA,Manufacturing,October 2026,NCD / Bond,40.0,50.0,10.0,1,Oct Wk4 (Oct 22-31),LOW
Envirad Projects Pvt. Ltd.,CARE,Construction,October 2026,NCD / Bond,40.0,50.0,35.0,1,Oct Wk3 (Oct 15-21),LOW
Flyjac Logistics Pvt. Ltd.,ICRA,Logistics,Q1 2027,NCD / Bond,40.0,50.0,10.0,1,Sep–Oct 2026 — Call 3 months ahead,HOT
Associated Works Infra Pvt. Ltd.,ICRA,Construction,October 2026,NCD / Bond,40.0,50.0,6.0,1,Oct Wk4 (Oct 22-31),MEDIUM
Para Products Pvt. Ltd.,ICRA,Other,Q2 2027,NCD / Bond,40.0,50.0,10.0,1,HOT by Jan 2027,LOW (<90 days)
Sunplast Electronics Pvt. Ltd.,BRICKWORK,Other,October 2026,NCD / Bond,40.0,50.0,49.0,1,Oct Wk1 (Oct 1-7),LOW
Krishna Buildestates Pvt. Ltd.,CARE,Construction,Q1 2027,NCD / Bond,40.0,50.0,275.1,1,Dec 2026 – Jan 2027,LOW/MEDIUM
Chetana Education Ltd.,ICRA,Education,October 2026,NCD / Bond,40.0,50.0,35.1,1,Oct Wk3 (Oct 15-21),LOW
Envirad Projects Pvt. Ltd.,CARE,Other,Q2 2027,NCD / Bond,40.0,50.0,35.0,1,HOT by Jan 2027,LOW (<90 days)
Medipol Pharmaceutical India Pvt. Ltd.,CARE,Chemicals & Pharma,Q1 2027,NCD / Bond,40.0,50.0,30.5,1,Dec 2026 – Jan 2027,LOW/MEDIUM
Sikko Industries Ltd.,IND-RA,Other,Q2 2027,NCD / Bond,40.0,50.0,14.0,1,HOT by Jan 2027,LOW (<90 days)
Sarvani Tradelink Pvt. Ltd.,CARE,Other,Q1 2027,NCD / Bond,40.0,50.0,30.0,1,Sep–Oct 2026 — Call 3 months ahead,HOT
B T W-Atlanta Transformers India Pvt. Ltd.,CARE,Other,October 2026,NCD / Bond,40.0,50.0,75.0,1,Nov Wk4 (Nov 22-30),LOW
R M N Infrastructures Ltd.,CARE,Construction,Q1 2027,NCD / Bond,40.0,50.0,160.0,1,Dec 2026 – Jan 2027,LOW/MEDIUM
J R Transformers Pvt. Ltd.,BRICKWORK,Other,Q1 2027,NCD / Bond,40.0,50.0,30.0,1,Dec 2026 – Jan 2027,LOW/MEDIUM
Telawne Power Equipments Pvt. Ltd.,IND-RA,Manufacturing,October 2026,NCD / Bond,40.0,50.0,56.0,1,Oct Wk4 (Oct 22-31),LOW
Bahl Builders Pvt. Ltd.,CARE,Construction,October 2026,NCD / Bond,40.0,50.0,35.0,1,Oct Wk4 (Oct 22-31),LOW
B N R Infrastructure Projects Pvt. Ltd.,CARE,Construction,Q1 2027,NCD / Bond,40.0,50.0,80.0,1,Oct–Nov 2026 — Call now (HOT by Oct),LOW/MEDIUM
Manohar Lal Sarraf & Sons Jewellers Pvt. Ltd.,CARE,Jewellery,Q1 2027,NCD / Bond,40.0,50.0,86.5,1,Sep–Oct 2026 — Call 3 months ahead,HOT
Bahl Builders Pvt. Ltd.,CARE,Construction,Q2 2027,NCD / Bond,40.0,50.0,35.0,1,HOT by Jan 2027,LOW (<90 days)
Vijai Construction (India) Pvt. Ltd.,IND-RA,Construction,October 2026,NCD / Bond,40.0,50.0,104.0,1,Oct Wk2 (Oct 8-14),LOW
J P Sortex Pvt. Ltd.,ICRA,Other,October 2026,NCD / Bond,40.0,50.0,40.0,1,Oct Wk2 (Oct 8-14),MEDIUM
Needle Industries (India) Pvt. Ltd.,ICRA,Manufacturing,October 2026,Non-Fund-Based | Fund-Based Facilities | NCD / Bond | Letter of Credit,36.0,47.0,3.45,1,Oct Wk3 (Oct 15-21),MEDIUM
Wellcare Oil Tools Pvt. Ltd.,CARE,Energy,October 2026,NCD / Bond | Term Loan | Fund-Based Facilities,35.0,46.0,7.89,1,Oct Wk2 (Oct 8-14),MEDIUM
