Rank,Sector,Unique_Companies,Records,Total_Revenue_Avg_Cr,Revenue_per_Company_Lakhs,Total_Amount_Cr,Amount_per_Company_Cr,NCD_Records,NCD_Rate_Pct,Revenue_Density_Score,Reliability
1,Education,5,9,0.82,16.5,252.02,50.4,3,33.3,68.0,LOW (n<15)
2,Other,1806,3823,220.28,12.2,103561.87,57.34,371,9.7,61.4,HIGH
3,Mining & Minerals,32,78,5.4,16.89,2036.17,63.63,13,16.7,60.5,MEDIUM (n<50)
4,Energy,170,382,22.27,13.1,35675.87,209.86,39,10.2,39.1,HIGH
5,Jewellery,53,82,6.37,12.02,2238.4900000000002,42.24,18,22.0,38.6,HIGH
6,Chemicals & Pharma,217,488,27.18,12.53,6902.3,31.81,44,9.0,36.2,HIGH
7,Construction,489,1026,56.74,11.6,85324.83,174.49,86,8.4,35.5,HIGH
8,IT/Technology,169,377,21.19,12.54,6663.41,39.43,33,8.8,35.3,HIGH
9,Textiles,162,361,19.96,12.32,8162.63,50.39,27,7.5,33.3,HIGH
10,Manufacturing,283,587,33.38,11.79,9391.12,33.18,51,8.7,33.3,HIGH
11,Automobiles,224,480,26.22,11.71,7178.14,32.05,25,5.2,29.8,HIGH
12,Steel & Metals,304,654,34.26,11.27,12482.1,41.06,43,6.6,29.6,HIGH
13,Agro & Food,450,854,45.7,10.16,17890.59,39.76,46,5.4,25.6,HIGH
14,Logistics,95,168,10.04,10.57,2965.87,31.22,17,10.1,24.6,HIGH
15,BFSI/NBFC,12,22,1.31,10.92,1396.96,116.41,2,9.1,24.5,LOW (n<15)
16,Paper/Packaging,101,196,10.68,10.58,2359.73,23.36,16,8.2,23.6,HIGH
17,BFSI,43,74,4.29,9.98,1876.86,43.65,7,9.5,20.3,MEDIUM (n<50)
18,Healthcare,115,214,11.68,10.16,3917.06,34.06,12,5.6,20.1,HIGH
19,Trading/Exports,29,48,2.57,8.86,598.95,20.65,3,6.2,12.3,MEDIUM (n<50)
20,Infrastructure,20,39,1.76,8.8,1883.54,94.18,1,2.6,9.6,MEDIUM (n<50)
21,Media/Retail,9,17,0.79,8.78,277.94,30.88,0,0.0,7.8,LOW (n<15)
22,Hotels & Tourism,55,95,4.5,8.17,4339.97,78.91,1,1.1,6.0,HIGH
23,Mining,10,19,0.73,7.3,478.2,47.82,0,0.0,0.1,LOW (n<15)
