Company Name,Current Rater,Instrument,Rating,Rating Date,Amount Cr,Sector,Urgency,NCD_Flag,Pipeline_Window,Call_Window,Why Target,ACER Pitch Angle
Manohar Lal Sarraf & Sons Jewellers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4,2025-12-02,83.0,Jewellery,HOT,NCD — SEBI License Required,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Osia Gems Pvt. Ltd.,BRICKWORK,Non-Fund-Based,A 4,2025-12-23,38.94,Jewellery,HOT,Standard,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Non-Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jaipur Jewels Global Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-24,25.0,Jewellery,HOT,Standard,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Samkit Diamond Export Pvt. Ltd.,ICRA,NCD/Bond,B/A4,2025-12-17,8.0,Jewellery,HOT,NCD — SEBI License Required,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kamadhenu Jewellery Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-22,7.5,Jewellery,HOT,Standard,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Babulal Becharbhai Zaveri Golds & Diamonds Pvt. Ltd.,CRISIL,Term Loan,BB-,2025-12-16,4.2,Jewellery,HOT,Standard,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,INC rating hits ULTRA HOT on 2026-12-16 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Global Jewellery Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-02,0.5,Jewellery,HOT,Standard,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mehta Brothers Gems Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-22,0.0,Jewellery,HOT,Standard,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Goldenglobe Hotels Pvt. Ltd.,ACUITE,Term Loan,BB,16-Oct-2025,125.0,Jewellery,MEDIUM,Standard,October 2026,Oct Wk3 (Oct 15-21),INC rating hits ULTRA HOT threshold on 2026-10-16 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Mohit Diamonds Pvt. Ltd.,CRISIL,Fund-Based,BB+,29-Oct-2025,108.78,Jewellery,MEDIUM,Standard,October 2026,Oct Wk4 (Oct 22-31),INC rating hits ULTRA HOT threshold on 2026-10-29 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Ranka Jewellers Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),17-Oct-2025,97.95,Jewellery,MEDIUM,Standard,October 2026,Oct Wk3 (Oct 15-21),INC rating hits ULTRA HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Silvertoan Papers Ltd.,CARE,Term Loan,BB,21-Nov-2025,62.71,Jewellery,MEDIUM,Standard,October 2026,Nov Wk3 (Nov 15-21),INC rating hits ULTRA HOT threshold on 2026-11-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Green Gold Timbers Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,09-Oct-2025,33.5,Jewellery,MEDIUM,Standard,October 2026,Oct Wk2 (Oct 8-14),INC rating hits ULTRA HOT threshold on 2026-10-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Patdiam Jewellery Ltd.,IND-RA,NCD/Bond,B-/A4,24-Nov-2025,21.0,Jewellery,MEDIUM,NCD — SEBI License Required,October 2026,Nov Wk4 (Nov 22-30),INC rating hits ULTRA HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
