Company Name,Current Rater,Instrument,Rating,Rating Date,Amount Cr,Sector,Urgency,Aug_Week,RM_Tier,Call_Window,Why Target,ACER Pitch Angle,Recommended_Action
Magnite Developers Private Limited,Infomerics,Non - Convertible Debentures,IVR BB+ (INC) (Downgraded),2026-01-01,800.0,Other,LOW/MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct–Nov 2026 — Call now (HOT by Oct),INC rating hits ULTRA HOT on 2027-01-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Bangalore Electricity Supply Co. Ltd.,CARE,NCD/Bond,BB+/A4,20-Oct-2025,600.0,Energy,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk3 (Oct 15-21),INC rating hits ULTRA HOT threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Shashi Cables Ltd.,IND-RA,NCD/Bond,BB-/A4+,12-Jan-2026,457.11,Infrastructure,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
U M S L Ltd.,ICRA,NCD/Bond,B+/A4,27-Oct-2025,172.0,Other,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk4 (Oct 22-31),INC rating hits ULTRA HOT threshold on 2026-10-27 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Standard Infratech India Pvt. Ltd.,IND-RA,NCD/Bond,BB+/A4+,06-Oct-2025,163.05,Construction,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk1 (Oct 1-7),INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Lok Chemicals Pvt. Ltd.,CARE,NCD/Bond,BB+/A4,01-Oct-2025,151.0,Chemicals & Pharma,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk1 (Oct 1-7),INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
S G G D Projects Devp. Pvt. Ltd.,BRICKWORK,NCD/Bond,PP-MLD D,09-Oct-2025,127.5,Construction,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits ULTRA HOT threshold on 2026-10-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
A R L Infratech Ltd.,CARE,NCD/Bond,A/A1,01-Oct-2025,110.0,Construction,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk1 (Oct 1-7),INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Tamilnadu Transmission Corpn. Ltd.,BRICKWORK,NCD/Bond,B+/A4,30-Oct-2025,90.0,Other,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk4 (Oct 22-31),INC rating hits ULTRA HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Kay Jay Forgings Ltd.,ICRA,NCD/Bond,B+/A4,29-Oct-2025,87.0,Steel & Metals,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk4 (Oct 22-31),INC rating hits ULTRA HOT threshold on 2026-10-29 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
