Company Name,Current Rater,Instrument,Rating,Rating Date,Amount Cr,Sector,Urgency,Pipeline_Window,Call_Window,Captured_In_Aug_RM_Plan,Why Target,ACER Pitch Angle,Recommended_Action
Chemi Tech Engineers Pvt. Ltd.,BRICKWORK,NCD/Bond,C/A4,25-Feb-2026,74.0,Manufacturing,LOW,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits HOT threshold on 2026-11-22 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Akhil Shipbreakers Pvt. Ltd.,BRICKWORK,NCD/Bond,C/A4,23-Jan-2026,30.0,Other,LOW,October 2026,Oct Wk3 (Oct 15-21),False,INC rating hits HOT threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Shubha Proteins Pvt. Ltd.,BRICKWORK,NCD/Bond,C/A4,25-Feb-2026,30.0,Other,LOW,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits HOT threshold on 2026-11-22 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Hind Tradex Ltd.,BRICKWORK,NCD/Bond,C/A4,04-Mar-2026,20.0,Trading/Exports,LOW,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits HOT threshold on 2026-11-29 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Amartex Industries Ltd.,BRICKWORK,NCD/Bond,B/A4,19-Feb-2026,19.21,Manufacturing,LOW,October 2026,Nov Wk3 (Nov 15-21),False,INC rating hits HOT threshold on 2026-11-16 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Sakshi Markfin Pvt. Ltd.,BRICKWORK,NCD/Bond,C/A4,06-Feb-2026,19.0,Other,LOW,October 2026,Nov Wk1 (Nov 1-7),False,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Euro Leder Fashion Ltd.,BRICKWORK,NCD/Bond,A 4,24-Feb-2026,18.0,Textiles,LOW,October 2026,Nov Wk3 (Nov 15-21),False,INC rating hits HOT threshold on 2026-11-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
T I Medical Pvt. Ltd.,BRICKWORK,NCD/Bond,B,19-Jan-2026,17.5,Healthcare,LOW,October 2026,Oct Wk3 (Oct 15-21),False,INC rating hits HOT threshold on 2026-10-16 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Sahyog Ginning & Pressing Pvt. Ltd.,BRICKWORK,NCD/Bond,C/A4,24-Feb-2026,15.0,Hotels & Tourism,LOW,October 2026,Nov Wk3 (Nov 15-21),False,INC rating hits HOT threshold on 2026-11-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Cabisco Plast Pvt. Ltd.,BRICKWORK,NCD/Bond,C/A4,23-Feb-2026,9.0,Other,LOW,October 2026,Nov Wk3 (Nov 15-21),False,INC rating hits HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
