Company Name,Conflicting Sectors,Detail,Detection_Method
Gowthami Solvent Oils Pvt. Ltd.,Agro & Food vs Chemicals & Pharma,Agro & Food: Q2 2027; Chemicals & Pharma: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Safal Seeds & Biotech Ltd.,Agro & Food vs Chemicals & Pharma,Agro & Food: October 2026; Chemicals & Pharma: Q2 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Suyash Chemical & Fertilizer Pvt. Ltd.,Agro & Food vs Chemicals & Pharma,Agro & Food: October 2026; Chemicals & Pharma: Q2 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Sri Venkata Srinivasa Oils Pvt. Ltd.,Agro & Food vs Energy,Agro & Food: Q2 2027; Energy: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Chhabeela Energy Foods Pvt. Ltd.,Agro & Food vs Energy,Agro & Food: October 2026; Energy: Q2 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
K K V Agro Powers Ltd.,Agro & Food vs Energy,Agro & Food: October 2026; Energy: Q2 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Shreyans Oils Pvt. Ltd.,Agro & Food vs Energy,Agro & Food: Q2 2027; Energy: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Diamond Beverages Pvt. Ltd.,Agro & Food vs Jewellery/Gems,Agro & Food: Q2 2027; Jewellery/Gems: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Katyayini Paper Mills Private Limited,Agro & Food vs Paper/Packaging,Agro & Food: Q1 2027; Paper/Packaging: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Sri Balambika Textile Mills Pvt. Ltd.,Agro & Food vs Textiles,Agro & Food: Q1 2027; Textiles: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Shri Mahesh Co-operative Spinning Mills Limited,Agro & Food vs Textiles,Agro & Food: Q1 2027; Textiles: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Divya Spinning Mill Pvt. Ltd.,Agro & Food vs Textiles,Agro & Food: Q1 2027; Textiles: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Ashok Textile Mills Pvt. Ltd.,Agro & Food vs Textiles,Agro & Food: Q1 2027; Textiles: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Sambandam Spinning Mills Ltd.,Agro & Food vs Textiles,Agro & Food: Q1 2027; Textiles: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Auto Hitech Pvt. Ltd.,Automobiles vs IT/Technology,Automobiles: Q2 2027; IT/Technology: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Cyber Automobiles Pvt. Ltd.,Automobiles vs Manufacturing,Automobiles: Q2 2027; Manufacturing: Q1 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Orange Auto Private Limited,Automobiles vs Manufacturing,Automobiles: October 2026; Manufacturing: Q1 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Sangram Auto Components Pvt. Ltd.,Automobiles vs Manufacturing,Automobiles: Q2 2027; Manufacturing: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Gajraj Automobiles Pvt. Ltd.,Automobiles vs Manufacturing,Automobiles: October 2026; Manufacturing: Q1 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
JS Auto Cast Foundry India Private Limited,Automobiles vs Manufacturing,Automobiles: October 2026; Manufacturing: Q1 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Sainath Autolinks Pvt. Ltd.,Automobiles vs Manufacturing,Automobiles: October 2026; Manufacturing: Q1 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Nash Robotics & Automation Pvt. Ltd.,Automobiles vs Manufacturing,Automobiles: October 2026; Manufacturing: Q1 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Plus Medicare Hospitals Pvt. Ltd.,Chemicals & Pharma vs Healthcare,Chemicals & Pharma: Q2 2027; Healthcare: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Q-Line Biotech Ltd.,Chemicals & Pharma vs Healthcare,Chemicals & Pharma: Q2 2027; Healthcare: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Hajra Medical Agency Pvt. Ltd.,Chemicals & Pharma vs Healthcare,Chemicals & Pharma: Q2 2027; Healthcare: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Criyagen Agri & Biotech Pvt. Ltd.,Chemicals & Pharma vs Healthcare,Chemicals & Pharma: Q2 2027; Healthcare: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
K B K Biotech Pvt. Ltd.,Chemicals & Pharma vs Healthcare,Chemicals & Pharma: Q2 2027; Healthcare: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Taiko Plastic Technologies Pvt. Ltd.,Chemicals & Pharma vs IT/Technology,Chemicals & Pharma: October 2026; IT/Technology: Q2 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Supreme Road Transport Pvt. Ltd.,Construction vs Logistics,Construction: Q1 2027; Logistics: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Antony Road Transport Solutions Pvt. Ltd.,Construction vs Logistics,Construction: Q2 2027; Logistics: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
M M Shawl Engineers & Contractors Pvt. Ltd.,Construction vs Manufacturing,Construction: Q1 2027; Manufacturing: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Metaguard Engineers and Contractors,Construction vs Manufacturing,Construction: Q1 2027; Manufacturing: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Encore Projects Pvt. Ltd.,Construction vs Mining & Minerals,Construction: October 2026; Mining & Minerals: Q2 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Saam Textiles Pvt. Ltd.,Construction vs Textiles,Construction: October 2026; Textiles: Q2 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Adil Textiles Pvt. Ltd.,Construction vs Textiles,Construction: October 2026; Textiles: Q2 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Just Textiles Ltd.,Construction vs Textiles,Construction: October 2026; Textiles: Q2 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Sri Varadaraja Textiles Pvt. Ltd.,Construction vs Textiles,Construction: October 2026; Textiles: Q1 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Marut Nandan Textiles Ltd.,Construction vs Textiles,Construction: October 2026; Textiles: Q2 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Shanmugappriya Textiles Pvt. Ltd.,Construction vs Textiles,Construction: October 2026; Textiles: Q2 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Chelsea Textiles Pvt. Ltd.,Construction vs Textiles,Construction: October 2026; Textiles: Q2 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
C M C Textiles Pvt. Ltd.,Construction vs Textiles,Construction: October 2026; Textiles: Q1 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Shivmahal Textiles Pvt. Ltd.,Construction vs Textiles,Construction: October 2026; Textiles: Q2 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Telawne Power Equipments Pvt. Ltd.,Energy vs Manufacturing,Energy: Q2 2027; Manufacturing: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Power Engineering (India) Private Limited,Energy vs Manufacturing,Energy: Q1 2027; Manufacturing: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Vimal Coal Pvt. Ltd.,Energy vs Mining & Minerals,Energy: October 2026; Mining & Minerals: Q2 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Clean Coal Enterprises Pvt. Ltd.,Energy vs Mining & Minerals,"Energy: October 2026; Mining & Minerals: Q1 2027, Q2 2027",Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Chakkra Coal India Pvt. Ltd.,Energy vs Mining & Minerals,Energy: October 2026; Mining & Minerals: Q1 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Goldenglobe Hotels Pvt. Ltd.,Hotels & Tourism vs Jewellery/Gems,Hotels & Tourism: Q2 2027; Jewellery/Gems: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Omnitech Engineering Ltd.,IT/Technology vs Manufacturing,IT/Technology: Q2 2027; Manufacturing: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
R M Drip & Sprinklers Systems Ltd.,IT/Technology vs Paper/Packaging,IT/Technology: Q2 2027; Paper/Packaging: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Technoplast Packaging Pvt. Ltd.,IT/Technology vs Paper/Packaging,"IT/Technology: October 2026, Q1 2027; Paper/Packaging: Q2 2027",Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Ankit Pulps & Boards Pvt. Ltd.,IT/Technology vs Paper/Packaging,IT/Technology: Q2 2027; Paper/Packaging: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Campari Exports Pvt. Ltd.,Logistics vs Trading/Exports,Logistics: October 2026; Trading/Exports: Q1 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Swelore Engineering Pvt. Ltd.,Manufacturing vs Mining & Minerals,Manufacturing: October 2026; Mining & Minerals: Q2 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Travancore Titanium Products Ltd.,Manufacturing vs Mining & Minerals,Manufacturing: October 2026; Mining & Minerals: Q2 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Pioneer Fabricators Ltd.,Manufacturing vs Textiles,Manufacturing: October 2026; Textiles: Q1 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Vardhman Textile Components Ltd.,Manufacturing vs Textiles,Manufacturing: October 2026; Textiles: Q2 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Swapna Printing Works Pvt. Ltd.,Paper/Packaging vs Steel & Metals,Paper/Packaging: Q2 2027; Steel & Metals: October 2026,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Shakambari Kniting Pvt. Ltd.,Steel & Metals vs Textiles,Steel & Metals: October 2026; Textiles: Q1 2027,Cross-window sector inconsistency (same company tagged differently by source pipeline window)
Wave Beverages Pvt. Ltd.,Other vs Agro & Food,"Name contains '\bbeverages?\b' strongly indicating Agro & Food, but tagged Other",Keyword mismatch (same method as Session 40 Jewellery finding)
Silvertoan Papers Ltd.,Jewellery/Gems vs Paper/Packaging,"Name contains '\bpapers?\b' strongly indicating Paper/Packaging, but tagged Jewellery/Gems",Keyword mismatch (same method as Session 40 Jewellery finding)
Inditrade Fincorp Ltd.,Trading/Exports vs BFSI,"Name contains '\bfincorp\b' strongly indicating BFSI, but tagged Trading/Exports",Keyword mismatch (same method as Session 40 Jewellery finding)
C K S Medicare Pvt. Ltd.,Automobiles vs Healthcare,"Name contains '\bmedicare\b' strongly indicating Healthcare, but tagged Automobiles",Keyword mismatch (same method as Session 40 Jewellery finding)
S M V Beverages Pvt. Ltd.,Other vs Agro & Food,"Name contains '\bbeverages?\b' strongly indicating Agro & Food, but tagged Other",Keyword mismatch (same method as Session 40 Jewellery finding)
Diamond Shipping Agencies Pvt. Ltd.,Logistics vs Jewellery/Gems,"Name contains '\bdiamonds?\b' strongly indicating Jewellery/Gems, but tagged Logistics",Keyword mismatch (same method as Session 40 Jewellery finding)
Sai Tech Medicare Pvt. Ltd.,IT/Technology vs Healthcare,"Name contains '\bmedicare\b' strongly indicating Healthcare, but tagged IT/Technology",Keyword mismatch (same method as Session 40 Jewellery finding)
Sentini Hospitals Pvt. Ltd.,Steel & Metals vs Healthcare,"Name contains '\bhospitals?\b' strongly indicating Healthcare, but tagged Steel & Metals",Keyword mismatch (same method as Session 40 Jewellery finding)
Associated Broadcasting Co. Pvt. Ltd.,Steel & Metals vs Media/Retail,"Name contains '\bbroadcast(ing)?\b' strongly indicating Media/Retail, but tagged Steel & Metals",Keyword mismatch (same method as Session 40 Jewellery finding)
Kafila Hospitality & Travels Pvt. Ltd.,Healthcare vs Hotels & Tourism,"Name contains '\bhospitality\b' strongly indicating Hotels & Tourism, but tagged Healthcare",Keyword mismatch (same method as Session 40 Jewellery finding)
Fibremarx Papers Pvt. Ltd.,Textiles vs Paper/Packaging,"Name contains '\bpapers?\b' strongly indicating Paper/Packaging, but tagged Textiles",Keyword mismatch (same method as Session 40 Jewellery finding)
Universal Import Export & Hospitality Pvt. Ltd.,Healthcare vs Hotels & Tourism,"Name contains '\bhospitality\b' strongly indicating Hotels & Tourism, but tagged Healthcare",Keyword mismatch (same method as Session 40 Jewellery finding)
Adwalpalkar Constructions & Resorts Pvt. Ltd.,Construction vs Hotels & Tourism,"Name contains '\bresorts?\b' strongly indicating Hotels & Tourism, but tagged Construction",Keyword mismatch (same method as Session 40 Jewellery finding)
Medicare Spryness (I) Pvt. Ltd.,Automobiles vs Healthcare,"Name contains '\bmedicare\b' strongly indicating Healthcare, but tagged Automobiles",Keyword mismatch (same method as Session 40 Jewellery finding)
Ambuj Hotel and Real Estate Private Limited,Construction vs Hotels & Tourism,"Name contains '\bhotels?\b' strongly indicating Hotels & Tourism, but tagged Construction",Keyword mismatch (same method as Session 40 Jewellery finding)
Vamica Resorts Infra Limited,Construction vs Hotels & Tourism,"Name contains '\bresorts?\b' strongly indicating Hotels & Tourism, but tagged Construction",Keyword mismatch (same method as Session 40 Jewellery finding)
