Company Name,Agency,Instrument Type,Rating,Rating Date,Amount Cr,Sector,Current Urgency,Pipeline_Window,Call_Window,NCD_Linked,Captured_In_Aug_RM_Plan,Why Target,ACER Pitch Angle,Recommended_Action
Kaleshwaram Irrigation Project Corpn. Ltd.,ACUITE,Term Loan,B+,17-Oct-2025,18751.38,Construction,MEDIUM,October 2026,Oct Wk3 (Oct 15-21),False,False,₹18751 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
I H B Ltd.,IND-RA,Term Loan,A+,2026-03-31,6725.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,False,₹6725 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term Loan at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Senvion Wind Technology Pvt. Ltd.,CARE,NCD/Bond,BB/A4,2026-03-10,3000.0,Energy,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,True,False,₹3000 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your NCD/Bond at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Power Company Of Karnataka Ltd.,BRICKWORK,Term Loan,BB,19-Nov-2025,2944.3,Energy,MEDIUM,October 2026,Nov Wk3 (Nov 15-21),False,False,₹2944 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
Sew Infrastructure Ltd.,BRICKWORK,Non-fund-based financial facility/instrument,D,2026-04-01,2800.0,Construction,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹2800 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Non-fund-based financial facility/instrument at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Gupta Power Infrastructure Limited,Infomerics,Short Term Bank Facilities,IVR D (INC) (Reaffirmed),2026-01-14,2780.0,Construction,LOW/MEDIUM,Q1 2027,Oct–Nov 2026 — Call now (HOT by Oct),False,True,₹2780 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but found in Aug RM deployment plan,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,Already in RM plan — no action
Vidarbha Industries Power Ltd.,ICRA,Term loans,D,2026-04-10,2654.24,Energy/Power,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹2654 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term loans at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Divyasree N S L Infrastructure Pvt. Ltd.,ICRA,Term Loan,B+,25-Feb-2026,2402.0,Construction,LOW,October 2026,Nov Wk4 (Nov 22-30),False,False,₹2402 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
G M R Rajahmundry Energy Ltd.,CARE,Term loans,D,2026-04-08,2352.39,Energy/Power,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹2352 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Bangalore Electricity Supply Co. Ltd.,CARE,Term Loan,BB+,20-Oct-2025,2257.09,Energy,MEDIUM,October 2026,Oct Wk3 (Oct 15-21),True,False,₹2257 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
I L & F S Engg. & Construction Co. Ltd.,CARE,Non-fund based working capital limit,D,2026-04-16,2188.52,Construction,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹2189 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Non-fund based working capital limit at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Telangana Fiber Grid Corpn. Ltd.,IND-RA,Term Loan,BBB,08-Oct-2025,2183.53,Textiles,MEDIUM,October 2026,Oct Wk2 (Oct 8-14),False,False,₹2184 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
Jaymala Infrastructure Pvt. Ltd.,IND-RA,Term Loan,BBB-,2026-03-30,1986.53,Construction,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,True,₹1987 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but found in Aug RM deployment plan,Your Term Loan at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Already in RM plan — no action
L & W Construction Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-31,1830.0,Construction,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,True,True,₹1830 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but found in Aug RM deployment plan,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Already in RM plan — no action
Pink City Expressway Pvt. Ltd.,CARE,Term loans,D,2026-04-08,1760.55,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹1761 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Cloudtail India Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2026-03-31,1750.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,True,False,₹1750 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Tier 1 Senior RM — high-value trigger missed
S K S Power Generation (Chhattisgarh) Ltd.,ICRA,Term loans,D,2026-04-02,1600.0,Energy/Power,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹1600 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term loans at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Schwing Stetter (India) Pvt. Ltd.,CRISIL,Fund-Based,BB+,2025-12-12,1555.0,Other,HOT,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,₹1555 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but found in Aug RM deployment plan,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Already in RM plan — no action
Madhya Pradesh Power Generating Company Limited,Infomerics,Long Term Bank Facility,IVR B+ (INC)(Downgraded),2025-12-31,1300.0,Energy,LOW/MEDIUM,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,False,₹1300 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,ADD to Tier 1 Senior RM — high-value trigger missed
