Company Name,RM_Tier,Aug_Week,Amt_Cr,NCD,Rev_Avg_Lakhs,Sector,Agency,Windows,Window_Count,Urgency,Why_Target,Pitch
Kaleshwaram Irrigation Project Corpn. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),18751.38,0,5.0,Construction,ACUITE,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
I H B Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),6725.0,0,5.0,Other,IND-RA,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Senvion Wind Technology Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),3000.0,1,20.0,Energy,CARE,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2027-03-10 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Power Company Of Karnataka Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),2944.3,0,5.0,Energy,BRICKWORK,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Sew Infrastructure Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),2800.0,0,3.0,Construction,BRICKWORK,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (88 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-fund-based financial facility/instrument at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Gupta Power Infrastructure Limited,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),2780.0,0,2.5,Construction,Infomerics,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2027-01-14 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.
Vidarbha Industries Power Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),2654.24,0,5.0,Energy/Power,ICRA,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Divyasree N S L Infrastructure Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),2402.0,0,5.0,Construction,ICRA,October 2026,1,LOW,INC rating hits HOT threshold on 2026-11-22 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
G M R Rajahmundry Energy Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),2352.39,0,5.0,Energy/Power,CARE,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (81 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Bangalore Electricity Supply Co. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),2257.09,1,5.0,Energy,CARE,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
