Company Name,Amt_Cr,NCD,Window_Count,Windows,Urgency,N_Instruments,Sector,Agencies,Tier,Aug_Week
Kaleshwaram Irrigation Project Corpn. Ltd.,18751.38,0,1,October 2026,MEDIUM,1,Construction,ACUITE,TIER 1 — Senior RM,Aug Wk1
I H B Ltd.,6725.0,0,1,Q1 2027,LOW/MEDIUM,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Gupta Power Infrastructure Limited,3960.0,0,1,Q1 2027,LOW/MEDIUM,2,Construction,Infomerics,TIER 1 — Senior RM,Aug Wk1
Sew Infrastructure Ltd.,3400.0,0,1,Q2 2027,LOW (<90 days),2,Construction,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
Senvion Wind Technology Pvt. Ltd.,3000.0,1,1,Q1 2027,LOW/MEDIUM,1,Energy,CARE,TIER 1 — Senior RM,Aug Wk1
Power Company Of Karnataka Ltd.,2944.3,0,1,October 2026,MEDIUM,1,Energy,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
Bangalore Electricity Supply Co. Ltd.,2857.09,1,1,October 2026,MEDIUM,2,Energy,CARE,TIER 1 — Senior RM,Aug Wk1
Vidarbha Industries Power Ltd.,2764.24,0,1,Q2 2027,LOW (<90 days),2,Energy/Power,ICRA,TIER 1 — Senior RM,Aug Wk1
I L & F S Engg. & Construction Co. Ltd.,2541.33,0,1,Q2 2027,LOW (<90 days),2,Construction,CARE,TIER 1 — Senior RM,Aug Wk1
G M R Rajahmundry Energy Ltd.,2490.41,0,1,Q2 2027,LOW (<90 days),2,Energy/Power,CARE,TIER 1 — Senior RM,Aug Wk1
Divyasree N S L Infrastructure Pvt. Ltd.,2402.0,0,1,October 2026,LOW,1,Construction,ICRA,TIER 1 — Senior RM,Aug Wk1
Schwing Stetter (India) Pvt. Ltd.,2206.82,0,1,Q1 2027,HOT,2,Other,CRISIL,TIER 1 — Senior RM,Aug Wk1
Telangana Fiber Grid Corpn. Ltd.,2183.53,0,1,October 2026,MEDIUM,1,Textiles,IND-RA,TIER 1 — Senior RM,Aug Wk1
T B E A Energy (India) Pvt. Ltd.,2137.39,0,1,Q1 2027,HOT,5,Energy,ACUITE; BRICKWORK,TIER 1 — Senior RM,Aug Wk1
S K S Power Generation (Chhattisgarh) Ltd.,2135.0,0,1,Q2 2027,LOW (<90 days),2,Energy/Power,ICRA,TIER 1 — Senior RM,Aug Wk1
Gensol Engineering Ltd.,2050.0,1,1,Q2 2027,LOW (<90 days),3,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Jaymala Infrastructure Pvt. Ltd.,1986.53,0,1,Q1 2027,LOW/MEDIUM,1,Construction,IND-RA,TIER 1 — Senior RM,Aug Wk1
L & W Construction Pvt. Ltd.,1900.0,1,1,Q1 2027,LOW/MEDIUM,2,Construction,ICRA,TIER 1 — Senior RM,Aug Wk1
Pink City Expressway Pvt. Ltd.,1790.55,0,1,Q2 2027,LOW (<90 days),2,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Cloudtail India Pvt. Ltd.,1750.0,1,1,Q1 2027,LOW/MEDIUM,1,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Pushpit Steels Pvt. Ltd.,1380.76,0,3,October 2026; Q1 2027; Q2 2027,HOT,5,Steel & Metals,ACUITE; BRICKWORK,TIER 1 — Senior RM,Aug Wk1
Pace Digitek Infra Pvt. Ltd.,1313.0,0,1,October 2026,MEDIUM,3,Construction,ACUITE,TIER 1 — Senior RM,Aug Wk1
Madhya Pradesh Power Generating Company Limited,1300.0,0,1,Q1 2027,LOW/MEDIUM,1,Energy,Infomerics,TIER 1 — Senior RM,Aug Wk1
Iron Triangle Ltd.,1227.79,0,1,October 2026,MEDIUM,4,Steel & Metals,CRISIL; ICRA,TIER 1 — Senior RM,Aug Wk1
Sintex Prefab & Infra Ltd.,1222.26,0,2,October 2026; Q1 2027,LOW/MEDIUM,4,Construction,ACUITE,TIER 1 — Senior RM,Aug Wk1
Hubli Electricity Supply Co. Ltd.,1208.78,0,2,October 2026; Q2 2027,LOW (<90 days),4,Energy/Power,CRISIL,TIER 1 — Senior RM,Aug Wk1
Energo Engineering Projects Ltd.,1172.75,0,1,Q2 2027,LOW (<90 days),2,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Future Enterprises Ltd.,1152.0,0,1,Q2 2027,LOW (<90 days),2,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Vijai Electricals Ltd.,1150.66,1,3,October 2026; Q1 2027; Q2 2027,HOT,5,Energy,CARE; IND-RA,TIER 1 — Senior RM,Aug Wk1
Kundli Manesar Expressway Ltd.,1114.16,0,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
I L & F S Energy Development Co. Ltd.,1087.85,0,1,Q2 2027,LOW (<90 days),2,Energy/Power,CARE,TIER 1 — Senior RM,Aug Wk1
Bhoruka Power Corpn. Ltd.,1012.82,0,1,Q2 2027,LOW (<90 days),1,Energy/Power,IND-RA,TIER 1 — Senior RM,Aug Wk1
