Company Name,Tier_v1_overallmax (Session42 REBUILT),Amt_Cr_v1_overallmax,Aug_Week_v1_overallmax,Tier_v2_suminstrument (recommended),Amt_Cr_v2_suminstrument,Aug_Week_v2_suminstrument
Nilkanth Mining Co.,TIER 2 — Mid-RM,488.49,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,590.99,Aug Wk1
MEP Longjian CLR Private Limited,TIER 2 — Mid-RM,480.05,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,550.05,Aug Wk1
Pushpit Steels Pvt. Ltd.,TIER 2 — Mid-RM,464.13,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,1380.76,Aug Wk1
Garden Court Distilleries Private Limited,TIER 2 — Mid-RM,421.0,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,517.67,Aug Wk1
Goel Ganga India Pvt. Ltd.,TIER 2 — Mid-RM,417.65,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,879.61,Aug Wk1
Right Tight Fastners Pvt. Ltd.,TIER 2 — Mid-RM,406.52,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,848.02,Aug Wk1
Candeur Constructions Pvt. Ltd.,TIER 2 — Mid-RM,400.0,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,600.0,Aug Wk1
Nectar Lifesciences Ltd.,TIER 2 — Mid-RM,352.44,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,586.19,Aug Wk1
K G Flexx Pvt. Ltd.,TIER 2 — Mid-RM,318.0,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,650.5,Aug Wk1
Southern Power Distribution Co. Of Telangana Ltd.,TIER 2 — Mid-RM,300.0,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,548.53,Aug Wk1
Gama Infraprop Pvt. Ltd.,TIER 2 — Mid-RM,282.99,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,963.17,Aug Wk1
Ambica Jute Mills Ltd.,TIER 2 — Mid-RM,259.61,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,559.22,Aug Wk1
