Company Name,Original_Tier,Rebuilt_Tier,Amt_Cr,NCD,Window_Count
Pushpit Steels Pvt. Ltd.,TIER 1 — Senior RM,TIER 2 — Mid-RM,464.13,0,3
Garden Court Distilleries Private Limited,TIER 1 — Senior RM,TIER 2 — Mid-RM,421.0,0,2
Goel Ganga India Pvt. Ltd.,TIER 1 — Senior RM,TIER 2 — Mid-RM,417.65,0,2
Right Tight Fastners Pvt. Ltd.,TIER 1 — Senior RM,TIER 2 — Mid-RM,406.52,0,2
Assam Electronics Development Corporation Limited,TIER 1 — Senior RM,TIER 2 — Mid-RM,400.0,0,2
Nectar Lifesciences Ltd.,TIER 1 — Senior RM,TIER 2 — Mid-RM,352.44,0,1
K G Flexx Pvt. Ltd.,TIER 1 — Senior RM,TIER 2 — Mid-RM,318.0,0,2
Sitwanto Devi Mahila Kalyan Sansthan,TIER 1 — Senior RM,TIER 2 — Mid-RM,302.5,0,2
Gama Infraprop Pvt. Ltd.,TIER 1 — Senior RM,TIER 2 — Mid-RM,282.99,0,3
The Seksaria Biswan Sugar Factory Limited,TIER 1 — Senior RM,TIER 2 — Mid-RM,278.35,0,2
Ambica Jute Mills Ltd.,TIER 1 — Senior RM,TIER 2 — Mid-RM,259.61,0,2
P C Patel Infra Pvt. Ltd.,TIER 1 — Senior RM,TIER 2 — Mid-RM,235.0,0,2
Mahendra Sponge & Power Ltd.,TIER 1 — Senior RM,TIER 2 — Mid-RM,214.0,0,2
Dodhia Synthetics Limited,TIER 1 — Senior RM,TIER 2 — Mid-RM,203.3,0,1
QuadGen Wireless Solutions Private limited,TIER 1 — Senior RM,TIER 2 — Mid-RM,200.0,0,2
Surya Processors Private Limited,TIER 1 — Senior RM,TIER 2 — Mid-RM,138.0,0,2
Dembla Valves Ltd.,TIER 2 — Mid-RM,TIER 1 — Senior RM,100.0,1,1
M M Yarns Pvt. Ltd.,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,99.0,0,1
Shree Shiddhanath Cotex Private Limited,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,97.59,0,1
Manohar Infrastructure & Constructions Pvt. Ltd.,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,90.0,0,1
Creative Minerals India Private Limited,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,88.0,0,1
Worlds Window Infrastructure and Logistics Private Limited,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,85.5,0,1
MFAR Constructions Private Limited,TIER 1 — Senior RM,TIER 2 — Mid-RM,81.8,0,2
V R P Telematics Pvt. Ltd.,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,80.0,0,1
Global Infonet Distribution Pvt. Ltd.,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,75.0,0,1
Sir Shadi Lal Enterprises Ltd.,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,74.99,0,1
Mahalaxmi Automotives Pvt. Ltd.,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,73.5,0,1
Srijan Realty Pvt. Ltd.,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,68.6,0,1
Swarnaa Techno Constructions Pvt. Ltd.,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,66.0,0,1
M/s Niranjan Rai,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,65.0,0,1
Manisha Projects Pvt. Ltd.,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,59.5,0,1
Gowra Ventures Pvt. Ltd.,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,58.7,0,1
Castor Girnar Industries Private Limited,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,57.0,0,1
Meenakshi Ammal Trust,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,55.0,0,1
Vasupujya Filaments,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,52.91,0,1
A K Das Associates Ltd.,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,52.0,0,1
Vishal Nirmiti Ltd.,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,45.0,0,1
Sattva Engineering Construction Private Limited,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,44.5,0,1
Sai Shreeja Cars Pvt. Ltd.,TIER 2 — Mid-RM,TIER 3 — Junior RM / Tele-sales,42.6,0,1
