Company Name,Tier_v1_overallmax (Session42 REBUILT),Amt_Cr_v1_overallmax,Aug_Week_v1_overallmax,Tier_v2_suminstrument (recommended),Amt_Cr_v2_suminstrument,Aug_Week_v2_suminstrument
Nilkanth Mining Co.,TIER 2 — Mid-RM,488.49,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,590.99,Aug Wk1
MEP Longjian CLR Private Limited,TIER 2 — Mid-RM,480.05,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,550.05,Aug Wk1
Pushpit Steels Pvt. Ltd.,TIER 2 — Mid-RM,464.13,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,1380.76,Aug Wk1
Garden Court Distilleries Private Limited,TIER 2 — Mid-RM,421.0,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,517.67,Aug Wk1
Goel Ganga India Pvt. Ltd.,TIER 2 — Mid-RM,417.65,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,879.61,Aug Wk1
Right Tight Fastners Pvt. Ltd.,TIER 2 — Mid-RM,406.52,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,848.02,Aug Wk1
Candeur Constructions Pvt. Ltd.,TIER 2 — Mid-RM,400.0,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,600.0,Aug Wk1
Nectar Lifesciences Ltd.,TIER 2 — Mid-RM,352.44,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,586.19,Aug Wk1
K G Flexx Pvt. Ltd.,TIER 2 — Mid-RM,318.0,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,650.5,Aug Wk1
Southern Power Distribution Co. Of Telangana Ltd.,TIER 2 — Mid-RM,300.0,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,548.53,Aug Wk1
Gama Infraprop Pvt. Ltd.,TIER 2 — Mid-RM,282.99,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,963.17,Aug Wk1
Ambica Jute Mills Ltd.,TIER 2 — Mid-RM,259.61,Aug Wk2 (Aug 10-14),TIER 1 — Senior RM,559.22,Aug Wk1
Stellar Autohaus Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,99.35,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,101.18,Aug Wk2
S M L Films Ltd.,TIER 3 — Junior RM / Tele-sales,99.18,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,109.87,Aug Wk2
Shakti Precision Components (India) Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,99.13,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,101.13,Aug Wk2
M M Yarns Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,99.0,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,128.43,Aug Wk2
Khayati Steel Inds. Ltd.,TIER 3 — Junior RM / Tele-sales,98.14,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,113.14,Aug Wk2
Sivanssh Infrastructure Development Private Limited,TIER 3 — Junior RM / Tele-sales,97.75,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,120.0,Aug Wk2
Shree Shiddhanath Cotex Private Limited,TIER 3 — Junior RM / Tele-sales,97.59,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,100.0,Aug Wk2
Star Agro Marine Exports Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,96.0,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,113.45,Aug Wk2
Dalmia Laminators Ltd.,TIER 3 — Junior RM / Tele-sales,95.4,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,132.4,Aug Wk2
Ganges Internationale Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,95.0,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,100.5,Aug Wk2
Sneh Polymers Private Limited,TIER 3 — Junior RM / Tele-sales,94.82,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,122.02,Aug Wk2
Shree Automotive Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,94.5,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,102.5,Aug Wk2
M G Housing Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,92.36,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,112.21,Aug Wk2
Swastik Pipe Limited,TIER 3 — Junior RM / Tele-sales,90.81,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,192.21,Aug Wk2
R K S Motor Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,89.25,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,101.75,Aug Wk2
Kalika Steel Alloys Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,88.15,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,178.15,Aug Wk2
Creative Minerals India Private Limited,TIER 3 — Junior RM / Tele-sales,88.0,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,115.0,Aug Wk2
Worlds Window Infrastructure and Logistics Private Limited,TIER 3 — Junior RM / Tele-sales,85.5,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,130.0,Aug Wk2
Vaswani Industries Ltd.,TIER 3 — Junior RM / Tele-sales,85.2,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,150.2,Aug Wk2
Saraswati Agro Chemicals (India) Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,85.0,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,112.05,Aug Wk2
Ketul Chem Private Limited,TIER 3 — Junior RM / Tele-sales,84.0,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,150.0,Aug Wk2
Ayoki Fabricon Private Limited,TIER 3 — Junior RM / Tele-sales,81.0,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,110.0,Aug Wk2
J B Rolling Mills Ltd.,TIER 3 — Junior RM / Tele-sales,80.38,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,115.08,Aug Wk2
Bhagwati Fats & Edible Oils Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,80.0,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,108.7,Aug Wk2
Kanpur Fertilizers & Chemicals Ltd.,TIER 3 — Junior RM / Tele-sales,80.0,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,128.12,Aug Wk2
V R P Telematics Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,80.0,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,120.0,Aug Wk2
Aavri Overseas Private Limited (erstwhile Logan Minerals Private Limited),TIER 3 — Junior RM / Tele-sales,76.14,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,106.38,Aug Wk2
R A H Infotech Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,75.7,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,129.7,Aug Wk2
Express Publications (Madurai) Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,75.58,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,110.58,Aug Wk2
T P S Infrastructure Ltd.,TIER 3 — Junior RM / Tele-sales,75.5,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,112.84,Aug Wk2
Active Clothing Company Limited,TIER 3 — Junior RM / Tele-sales,75.0,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,101.74,Aug Wk2
Global Infonet Distribution Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,75.0,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,135.0,Aug Wk2
N K Power & Infrastructure Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,71.0,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,103.0,Aug Wk2
Modern India Concast Ltd.,TIER 3 — Junior RM / Tele-sales,70.0,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,106.0,Aug Wk2
Tab India Granites Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,70.0,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,113.0,Aug Wk2
Promac Engineering Inds. Ltd.,TIER 3 — Junior RM / Tele-sales,68.0,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,116.8,Aug Wk2
Swarnaa Techno Constructions Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,66.0,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,116.84,Aug Wk2
Astron Paper & Board Mill Limited,TIER 3 — Junior RM / Tele-sales,65.0,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,127.0,Aug Wk2
Gajanan Oil Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,65.0,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,125.0,Aug Wk2
M/s Niranjan Rai,TIER 3 — Junior RM / Tele-sales,65.0,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,100.0,Aug Wk2
Lineage Power Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,63.0,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,115.8,Aug Wk2
A K R Industries Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,61.02,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,118.7,Aug Wk2
Manisha Projects Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,59.5,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,113.0,Aug Wk2
Gowra Ventures Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,58.7,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,108.7,Aug Wk2
RP Multimetals Private Limited,TIER 3 — Junior RM / Tele-sales,56.47,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,106.47,Aug Wk2
Shrushti Contech Private Limited,TIER 3 — Junior RM / Tele-sales,52.51,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,155.0,Aug Wk2
A K Das Associates Ltd.,TIER 3 — Junior RM / Tele-sales,52.0,Aug Wk3 (Aug 17-21),TIER 2 — Mid-RM,132.0,Aug Wk2
Exicom Technologies India Pvt. Ltd.,TIER 3 — Junior RM / Tele-sales,52.0,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,100.0,Aug Wk2
Vimla Fuels & Metals Limited,TIER 3 — Junior RM / Tele-sales,50.3,Aug Wk4 (Aug 24-31),TIER 2 — Mid-RM,100.0,Aug Wk2
