Company Name,Detection_Method,Sector_Before,Sector_After_Canonical,Keyword_Case_Now_Matches_Expected
Gowthami Solvent Oils Pvt. Ltd.,Cross-window sector inconsistency (same company tagged differently by source pipeline window),Agro & Food / Chemicals & Pharma,Agro & Food,
Safal Seeds & Biotech Ltd.,Cross-window sector inconsistency (same company tagged differently by source pipeline window),Agro & Food / Chemicals & Pharma,Agro & Food,
Suyash Chemical & Fertilizer Pvt. Ltd.,Cross-window sector inconsistency (same company tagged differently by source pipeline window),Agro & Food / Chemicals & Pharma,Agro & Food,
Sri Venkata Srinivasa Oils Pvt. Ltd.,Cross-window sector inconsistency (same company tagged differently by source pipeline window),Agro & Food / Energy,Agro & Food,
Chhabeela Energy Foods Pvt. Ltd.,Cross-window sector inconsistency (same company tagged differently by source pipeline window),Agro & Food / Energy,Energy,
K K V Agro Powers Ltd.,Cross-window sector inconsistency (same company tagged differently by source pipeline window),Agro & Food / Energy,Agro & Food,
Shreyans Oils Pvt. Ltd.,Cross-window sector inconsistency (same company tagged differently by source pipeline window),Agro & Food / Energy,Agro & Food,
Diamond Beverages Pvt. Ltd.,Cross-window sector inconsistency (same company tagged differently by source pipeline window),Agro & Food / Jewellery/Gems,Agro & Food,
Katyayini Paper Mills Private Limited,Cross-window sector inconsistency (same company tagged differently by source pipeline window),Agro & Food / Paper/Packaging,Paper/Packaging,
Sri Balambika Textile Mills Pvt. Ltd.,Cross-window sector inconsistency (same company tagged differently by source pipeline window),Agro & Food / Textiles,Textiles,
Shri Mahesh Co-operative Spinning Mills Limited,Cross-window sector inconsistency (same company tagged differently by source pipeline window),Agro & Food / Textiles,Textiles,
Divya Spinning Mill Pvt. Ltd.,Cross-window sector inconsistency (same company tagged differently by source pipeline window),Agro & Food / Textiles,Textiles,
Ashok Textile Mills Pvt. Ltd.,Cross-window sector inconsistency (same company tagged differently by source pipeline window),Agro & Food / Textiles,Textiles,
Sambandam Spinning Mills Ltd.,Cross-window sector inconsistency (same company tagged differently by source pipeline window),Agro & Food / Textiles,Textiles,
Auto Hitech Pvt. Ltd.,Cross-window sector inconsistency (same company tagged differently by source pipeline window),Automobiles / IT/Technology,Automobiles,
Cyber Automobiles Pvt. Ltd.,Cross-window sector inconsistency (same company tagged differently by source pipeline window),Automobiles / Manufacturing,Automobiles,
