Company Name,Windows_Involved,Sector_By_Window,Instrument_Type_By_Window,Sector_Internally_Consistent_Per_Window
Adil Textiles Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Construction'] | Q2 2027=['Textiles'],October 2026=['Term Loan'] | Q2 2027=['Term loans'],True
Ankit Pulps & Boards Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Paper/Packaging'] | Q2 2027=['IT/Technology'],"October 2026=['Term Loan'] | Q2 2027=['Long term Loans', 'Term loans']",True
Antony Road Transport Solutions Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Logistics'] | Q2 2027=['Construction'],October 2026=['Term Loan'] | Q2 2027=['Term loans'],True
Ashok Textile Mills Pvt. Ltd.,October 2026 | Q1 2027,October 2026=['Textiles'] | Q1 2027=['Agro & Food'],October 2026=['Term Loan'] | Q1 2027=['NCD/Bond'],True
Auto Hitech Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['IT/Technology'] | Q2 2027=['Automobiles'],October 2026=['Term Loan'] | Q2 2027=['Term loans'],True
C M C Textiles Pvt. Ltd.,October 2026 | Q1 2027,October 2026=['Construction'] | Q1 2027=['Textiles'],"October 2026=['NCD/Bond'] | Q1 2027=['Bank Guarantee', 'Term Loan']",True
Campari Exports Pvt. Ltd.,October 2026 | Q1 2027,October 2026=['Logistics'] | Q1 2027=['Trading/Exports'],"October 2026=['Letter of Credit'] | Q1 2027=['Fund-Based', 'Term Loan']",True
Chakkra Coal India Pvt. Ltd.,October 2026 | Q1 2027,October 2026=['Energy'] | Q1 2027=['Mining'],"October 2026=['Letter of Credit'] | Q1 2027=['Letter of Credit', 'Term Loan']",True
Chelsea Textiles Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Construction'] | Q2 2027=['Textiles'],October 2026=['Term Loan'] | Q2 2027=['Long term Loans'],True
Chhabeela Energy Foods Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Agro & Food'] | Q2 2027=['Energy/Power'],"October 2026=['Fund-Based', 'Term Loan'] | Q2 2027=['Fund based financial facility/instrument', 'Long term Loans']",True
Clean Coal Enterprises Pvt. Ltd.,October 2026 | Q1 2027 | Q2 2027,October 2026=['Energy'] | Q1 2027=['Mining'] | Q2 2027=['Mining & Minerals'],"October 2026=['Bank Guarantee', 'Fund-Based', 'Term Loan'] | Q1 2027=['Fund-Based'] | Q2 2027=['Bank Guarantee', 'Fund based financial facility/instrument', 'Long term Loans']",True
Criyagen Agri & Biotech Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Healthcare'] | Q2 2027=['Chemicals & Pharma'],October 2026=['Term Loan'] | Q2 2027=['Term loans'],True
Cyber Automobiles Pvt. Ltd.,Q1 2027 | Q2 2027,Q1 2027=['Manufacturing'] | Q2 2027=['Automobiles'],"Q1 2027=['Bank Guarantee', 'Term Loan'] | Q2 2027=['Bank Guarantee', 'Term loans']",True
Diamond Beverages Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Jewellery/Gems'] | Q2 2027=['Agro & Food'],"October 2026=['Bank Guarantee', 'Term Loan'] | Q2 2027=['Bank Guarantee', 'Term loans']",True
Divya Spinning Mill Pvt. Ltd.,October 2026 | Q1 2027,October 2026=['Textiles'] | Q1 2027=['Agro & Food'],"October 2026=['Fund-Based', 'Letter of Credit'] | Q1 2027=['Letter of Credit', 'Term Loan']",True
Encore Projects Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Construction'] | Q2 2027=['Mining & Minerals'],"October 2026=['Bank Guarantee', 'NCD/Bond'] | Q2 2027=['Bank Guarantee', 'Non-government debt']",True
