Company Name,Agency,Instrument Type,Rating,Rating Date,Amount Cr,Sector,Current Urgency,Pipeline_Window,Call_Window,NCD_Linked,Captured_In_Aug_RM_Plan,Why_Target_Note,Recommended_Action,Trigger
Nilkanth Mining Co.,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),13-Nov-2025,488.49,Mining & Minerals,MEDIUM,October 2026,Nov Wk2 (Nov 8-14),False,False,₹488 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
K M Toll Road Pvt. Ltd.,BRICKWORK,Term loans,D,2026-04-02,481.03,Construction,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹481 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Telangana Fiber Grid Corpn. Ltd.,IND-RA,Term Loan,BBB,08-Oct-2025,480.67,Textiles,MEDIUM,October 2026,Oct Wk2 (Oct 8-14),False,False,₹481 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
MEP Longjian CLR Private Limited,Infomerics,Long Term - Proposed Term Loan,IVR C- (INC)(Downgraded),29-Oct-2025,480.05,Other,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,False,₹480 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Shree Maheshwar Hydel Power Corpn. Ltd.,CARE,Term loans,D,2026-04-15,451.0,Energy/Power,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹451 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Tamilnadu Transmission Corpn. Ltd.,BRICKWORK,Term Loan,B+,30-Oct-2025,448.87,Other,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,False,₹449 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
C S Construction Co. Pvt. Ltd.,CRISIL,Non-Fund-Based,BB+,30-Oct-2025,446.0,Construction,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,False,₹446 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Sadbhav Bhavnagar Highway Ltd.,CRISIL,Term Loan,B,27-Feb-2026,434.49,Construction,LOW,October 2026,Nov Wk4 (Nov 22-30),False,False,₹434 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
K M C Constructions Ltd.,ICRA,Non-Fund-Based,B+,19-Jan-2026,426.0,Construction,LOW,October 2026,Oct Wk3 (Oct 15-21),False,False,₹426 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Khalghat Sendhwa Tollways Pvt. Ltd.,BRICKWORK,Term Loan,B-,2026-03-24,416.51,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,False,₹417 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
MEP Longjian ACR Private Limited,Infomerics,Long Term Bank Facilities - Proposed,IVR C- (INC)(Downgraded),03-Nov-2025,407.34,Other,MEDIUM,October 2026,Nov Wk1 (Nov 1-7),False,False,₹407 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Gensol Engineering Ltd.,ICRA,Bank Guarantee,D,2026-04-23,406.5,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹406 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Candeur Constructions Pvt. Ltd.,ICRA,Fund-Based,B+,13-Feb-2026,400.0,Construction,LOW,October 2026,Nov Wk2 (Nov 8-14),False,False,₹400 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Prompt Enterprises Pvt. Ltd.,BRICKWORK,Fund-Based,BB,2026-03-17,395.97,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,False,₹396 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Shri S M Autade Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-03-24,390.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,False,₹390 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Fabworth Promoters Pvt. Ltd.,CARE,Term Loan,BB+,04-Nov-2025,380.0,Other,MEDIUM,October 2026,Nov Wk1 (Nov 1-7),False,False,₹380 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Supreme Manor Wada Bhiwandi Infrastructure Pvt. Ltd.,CRISIL,Term loans,D,2026-04-06,377.0,Construction,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹377 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
